ID,CMN,CYM,PoS,score
1,城镇,dinas,nouns,3.11
2,成熟地,yn gyfiawn,adverbs,0.84
3,足球,hwyl,nouns,0.2
4,调查,archwilio,verbs,3.21
5,事实,prawf,nouns,0.81
6,飞机场,darn,nouns,0.0
7,粘性,sblash,nouns,0.04
8,允许,cyfreithiol,adjectives,2.47
9,母亲,gwraig,nouns,2.04
10,坦白,gwadu,nouns,0.15
11,男人,ewythr,nouns,1.64
12,戏法,gêm,nouns,0.82
13,评估,dadansoddi,verbs,4.17
14,追求,archwilio,verbs,0.18
15,半岛,ynys,nouns,3.26
16,保龄,bowliwr,nouns,1.25
17,不清楚,amwys,adjectives,4.44
18,犯罪,lladrad,nouns,2.73
19,钱,arian parod,nouns,4.0
20,吉他,brithyll,nouns,0.0
21,座舱,cyd-beilot,nouns,0.32
22,恶魔,angel,nouns,0.18
23,胸部,corff,nouns,1.5
24,神经,perfedd,nouns,0.24
25,牛肉,gwartheg,nouns,2.96
26,钱,diemwnt,nouns,1.04
27,离开,disgwyl,verbs,0.18
28,选举权,allanfa,nouns,0.23
29,家伙,partner,nouns,1.64
30,苹果,deiet,nouns,0.71
31,说谎,esgus,verbs,1.79
32,高速公路,car,nouns,0.45
33,古老,modern,adjectives,0.0
34,尾巴,bowlen,nouns,0.0
35,木,blanced,nouns,0.0
36,积极地,yn hapus,adverbs,0.32
37,看来,yn syml,adverbs,0.7
38,坏,ofnadwy,adjectives,3.52
39,说话,clywed,verbs,0.57
40,有趣,difrifol,adjectives,0.0
41,拿,gadael,verbs,0.05
42,歌曲,stori,nouns,0.68
43,笨,enfawr,adjectives,0.04
44,学生,disgybl,nouns,4.45
45,庆祝,seremoni,nouns,2.19
46,行星,lleuad,nouns,2.46
47,打中,methu,verbs,0.23
48,厨房,drws,nouns,0.1
49,停止,rheoli,verbs,0.29
50,鸵鸟,perllan,nouns,0.0
51,打碎,torri,verbs,4.16
52,成年人,rhiant,nouns,2.49
53,小心地,yn ddiogel,adverbs,2.27
54,摩天大楼,palas,nouns,0.28
55,武士,dyn,nouns,0.43
56,借,gwerthu,verbs,0.43
57,跳跃,ffens,nouns,0.0
58,雷达,ffon reoli,nouns,0.1
59,普通,anhygoel,adjectives,0.0
60,手臂,garddwrn,nouns,0.7
61,沟通,gweddïo,verbs,0.72
62,阳光,awyr,nouns,0.8
63,裙带关系,brenin,nouns,0.33
64,糖,mêl,nouns,2.17
65,大,trwm,adjectives,0.72
66,饮品,cwrw,nouns,2.42
67,讨厌,beirniadu,verbs,0.68
68,庆祝,syfrdanu,verbs,0.23
69,发抖,rhewi,verbs,0.98
70,沙拉,finegr,nouns,0.29
71,步行,sefyll,verbs,0.63
72,资本,arian,nouns,3.27
73,携带,dod â,verbs,2.45
74,年,pen-blwydd,nouns,0.86
75,怀疑,arestio,verbs,0.23
76,天花板,llawr,nouns,0.1
77,米饭,cyw iâr,nouns,0.1
78,罗盘,eliffant,nouns,0.04
79,草莓,ceirios,nouns,1.27
80,拒绝,osgoi,verbs,1.18
81,呕吐,cau,verbs,0.0
82,疯狂,ardderchog,adjectives,0.23
83,信念,blodyn,nouns,0.09
84,鸟,iâr,nouns,1.97
85,电影,ffilm,nouns,4.09
86,镜片,camera,nouns,1.13
87,找到,lleoli,verbs,1.21
88,羞愧,diymhongar,adjectives,0.18
89,刀口,glaswellt,nouns,0.3
90,马,ci,nouns,0.86
91,演出,cyfarch,verbs,0.0
92,血液学,patholeg,nouns,1.94
93,元,pobl,nouns,0.0
94,自豪,gwael,adjectives,0.1
95,坏,canolig,adjectives,0.15
96,云,tarth,nouns,2.44
97,马上,unwaith,adverbs,0.55
98,走,mynd i mewn,verbs,1.5
99,摔碎,chwalu,verbs,4.16
100,脸颊,tafod,nouns,0.35
101,显然,yn lleol,adverbs,0.0
102,异常地,fel arfer,adverbs,0.15
103,血液,corff,nouns,0.96
104,携带,dosbarthu,verbs,2.68
105,岛,llynges,nouns,0.15
106,受伤,troi drosodd,verbs,0.04
107,毯,tymestl,nouns,0.0
108,公寓,gwesty,nouns,0.46
109,四轮货运马车,cynhwysydd,nouns,0.09
110,依赖,ymddiried,verbs,4.04
111,大方,cyfeillgar,adjectives,2.25
112,平庸,diflas,adjectives,0.51
113,减少,disgyn,verbs,0.44
114,成年人,gwarcheidwad,nouns,2.02
115,读,cnoi,verbs,0.0
116,说服,dadlau,verbs,1.98
117,鼻子,pen,nouns,0.54
118,做,ennill,verbs,0.18
119,火鸡,aderyn,nouns,2.08
120,地板,dec,nouns,2.18
121,神职人员,mynach,nouns,2.27
122,建造,dinistr,nouns,0.18
123,聚酯纤维,cotwm,nouns,1.25
124,操纵杆,radar,nouns,0.1
125,报纸,gwybodaeth,nouns,1.42
126,死气沉沉的,yn hapus,adverbs,0.18
127,任务,ynys,nouns,0.0
128,地区,parth,nouns,4.97
129,图解,siart,nouns,3.64
130,争论,cwyno,verbs,1.59
131,花,llwyn,nouns,0.87
132,稻草,tasg,nouns,0.0
133,分子,aer,nouns,0.43
134,合法,anghyfreithlon,adjectives,0.14
135,锤,dannedd,nouns,0.0
136,弯曲,ongl,nouns,1.15
137,草原,dôl,nouns,3.31
138,工具,swydd,nouns,0.18
139,决定,dewis,verbs,4.06
140,肘,asgwrn,nouns,0.83
141,调查,canlyn,verbs,0.18
142,便条,aseiniad,nouns,0.53
143,球,sffer,nouns,4.05
144,衣服,cadach,nouns,1.13
145,流言蜚语,newyddion,nouns,2.49
146,安全,diflas,adjectives,0.0
147,河,nant,nouns,3.88
148,朋友,mam,nouns,0.73
149,观看,arsylwi,verbs,3.68
150,母马,ceffyl,nouns,4.07
151,监护人,mam,nouns,2.56
152,冷静地,yn gynnil,adverbs,0.57
153,第五,da,adjectives,0.04
154,胎压计,car,nouns,0.18
155,雕塑,cerflun,nouns,5.23
156,无知,deallusrwydd,nouns,0.05
157,行李,cylchfordaith,nouns,0.0
158,布料,dillad,nouns,1.13
159,注意,pwyll,nouns,3.23
160,眼泪,llygad,nouns,0.68
161,杀,dinistrio,verbs,3.19
162,未预见到,annisgwyl,adjectives,4.69
163,乐队,gwirod,nouns,0.0
164,枫树,coeden,nouns,3.58
165,保留,anghofio,verbs,0.09
166,甲板,cwch,nouns,0.96
167,懊恼,dicter,nouns,1.98
168,未公开,amlwg,adjectives,0.09
169,创造性地,yn wreiddiol,adverbs,0.7
170,韵律,cerdd,nouns,0.78
171,肌肉,tafod,nouns,1.31
172,发动机,peiriant,nouns,3.13
173,汽车,stryd,nouns,0.48
174,熵,gwybodaeth,nouns,0.38
175,忘记,dysgu,verbs,0.15
176,屋,carped,nouns,0.2
177,安慰,bychanu,verbs,0.09
178,踝,asgwrn,nouns,0.88
179,兴奋,wedi ei dychryn,adjectives,1.23
180,等待,ymadael,verbs,0.18
181,棒球,brawdgarwch,nouns,0.0
182,疾病,perygl,nouns,0.33
183,粗暴,oeraidd,adjectives,0.39
184,男人,brawdgarwch,nouns,1.23
185,精灵,lamp,nouns,0.0
186,选择,pennod,nouns,0.04
187,宠物,cath,nouns,3.03
188,拥有,cymryd,verbs,0.68
189,煮,cymysgu,verbs,0.58
190,气球,pobl,nouns,0.0
191,枯燥,llwm,adjectives,3.35
192,晚上,gwawr,nouns,0.2
193,薄雾,cwmwl,nouns,3.06
194,优雅地,yn hyfryd,adverbs,2.9
195,窗,drws,nouns,0.63
196,卡,pont,nouns,0.18
197,恶意软件,mwydyn,nouns,0.46
198,天空,breuddwyd,nouns,0.19
199,病人,sesiwn,nouns,0.18
200,当然,weithiau,adverbs,0.0
201,僧侣,croes,nouns,0.39
202,牛油,tatws,nouns,0.24
203,读者,awdur,nouns,0.38
204,糟糕,drwg,adjectives,3.52
205,连接,gwahanu,verbs,0.23
206,伤心,ofnadwy,adjectives,1.27
207,岛,gorynys,nouns,3.26
208,罕见,hurt,adjectives,0.0
209,篱笆,neidio,nouns,0.0
210,犹豫,llidiog,adjectives,0.28
211,大声地,yn dawel,adverbs,0.0
212,监狱,bar,nouns,0.38
213,一致地,weithiau,adverbs,0.0
214,椅子,soffa,nouns,2.39
215,叔叔,cefnder,nouns,0.48
216,谦虚,pur,adjectives,1.1
217,老鹰,hebog,nouns,2.79
218,伤害,cwympo,verbs,1.08
219,戒指,dyweddïad,nouns,1.39
220,白色,cul,adjectives,0.18
221,罪人,sant,nouns,0.39
222,滑雪板,sgïo,nouns,1.63
223,乱,hyll,adjectives,0.92
224,教练,chwaraewr,nouns,0.2
225,坚硬,gwydn,adjectives,2.94
226,理解,gwybod,verbs,2.94
227,结婚,dyweddïo,verbs,1.73
228,律师,oriel,nouns,0.0
229,给,amherchnogi,verbs,0.5
230,教室,cyntedd,nouns,0.29
231,安然,yn ddigynnwrf,adverbs,2.6
232,欠,mynd i mewn,verbs,0.1
233,裙子,gwyliadwraeth,nouns,0.0
234,悄悄地,yn naturiol,adverbs,0.38
235,木,papur,nouns,0.43
236,尺寸,tric,nouns,0.0
237,减肥,salad,nouns,0.68
238,苹果,losin,nouns,0.2
239,异常,yn rhyfedd,adverbs,3.81
240,目标,saeth,nouns,0.67
241,人们,parti,nouns,0.64
242,任务,swydd,nouns,3.23
243,正牙医生,deintydd,nouns,3.94
244,灵活,symudol,adjectives,1.07
245,雪,storm,nouns,0.96
246,手术,algebra,nouns,0.2
247,恢复,dod â,verbs,0.04
248,台风,seiclon,nouns,3.54
249,见面,casglu,verbs,0.72
250,毁灭,pydru,verbs,1.97
251,苹果,saws,nouns,0.29
252,男人,merch,nouns,0.54
253,自由,gwerddon,nouns,0.39
254,肉,brechdan,nouns,0.33
255,牙齿,asgwrn,nouns,0.72
256,香芹,myffin,nouns,0.05
257,胆大,balchder,adjectives,0.96
258,闷,canolig,adjectives,0.51
259,发生,gwneud,verbs,0.35
260,抖动,cymysgu,verbs,1.9
261,作证,barnu,verbs,0.49
262,碟,bowlen,nouns,1.56
263,尊严,arwyddluniau,nouns,0.0
264,秘书,menyw,nouns,0.52
265,主教,archesgob,nouns,3.63
266,相机,gweithiwr,nouns,0.04
267,死亡,claddedigaeth,nouns,0.92
268,满足,deall,verbs,0.53
269,主板,mamfwrdd,nouns,2.94
270,两次,unwaith,adverbs,0.62
271,肝,ysgyfaint,nouns,0.77
272,大笑,canu,verbs,0.2
273,游戏,gweithred,nouns,0.1
274,干旱,dŵr,nouns,0.1
275,争论,mynychu,verbs,0.09
276,美丽地,yn gain,adverbs,2.9
277,三文治,cinio,nouns,0.64
278,货币,cydsyniad,nouns,0.04
279,抓住,hel,verbs,1.74
280,广口瓶,potel,nouns,3.53
281,食物,rhaglen,nouns,0.05
282,课程,stumog,nouns,0.0
283,盐,dŵr,nouns,0.38
284,统计资料,tenis,nouns,0.0
285,厂,car,nouns,0.14
286,资料,llyfr,nouns,1.4
287,船,angor,nouns,0.78
288,理解,bodloni,verbs,0.53
289,辣,gwan,adjectives,0.0
290,练习,ailadrodd,verbs,1.27
291,脾气,meddyg,nouns,0.0
292,联合,cansen siwgr,nouns,0.0
293,出席,danfon,verbs,0.0
294,信,paragraff,nouns,0.54
295,骨头,gwddf,nouns,0.29
296,士兵,heddwch,nouns,0.15
297,高度,tröedigaeth,nouns,0.04
298,手册,teithlyfr,nouns,2.26
299,说明,clariffeio,verbs,3.82
300,鳟鱼,gitâr,nouns,0.0
301,充电器,disg,nouns,0.04
302,审判,dyfarniad,nouns,1.86
303,电脑,disg,nouns,0.68
304,愤怒,petrusgar,adjectives,0.28
305,桥,cerdyn,nouns,0.18
306,门,ffenestr,nouns,0.63
307,哨兵,dyn,nouns,1.3
308,团结,rhannu,verbs,0.23
309,有时,pryd bynnag,adverbs,0.43
310,不定期地,fel arfer,adverbs,0.28
311,生物学,anatomeg,nouns,2.72
312,声明,cyhoeddi,verbs,4.49
313,候选人,enillydd,nouns,1.49
314,比较,dadansoddi,verbs,2.42
315,陷害,ergyd,nouns,0.04
316,给,cadw,verbs,0.14
317,教堂,cebl,nouns,0.0
318,工作者,cyflogwr,nouns,0.43
319,意料之外,anrhagweledig,adjectives,4.69
320,喉,tafod,nouns,0.61
321,山,silff,nouns,0.0
322,篱笆,rheilffordd,nouns,0.05
323,职业,coleg,nouns,0.2
324,盗窃,trosedd,nouns,2.73
325,公寓,dodrefn,nouns,0.34
326,大炮,gwn,nouns,2.01
327,不显眼地,yn amlwg,adverbs,0.18
328,字典,gwyddoniadur,nouns,1.71
329,煤,siarcol,nouns,2.65
330,机器人技术,efelychiad,nouns,0.43
331,奇怪地,yn anarferol,adverbs,3.81
