ID,CMN,ENG,PoS,score
1,员工,vocalist,nouns,0.18
2,知道,understand,verbs,3.09
3,儿童,boy,nouns,2.47
4,疾病,fever,nouns,2.41
5,毛,woman,nouns,0.0
6,屏幕,phonology,nouns,0.0
7,膝盖,bone,nouns,0.87
8,手术,algebra,nouns,0.31
9,脊柱,neck,nouns,0.99
10,火山,magma,nouns,1.27
11,街,alley,nouns,3.06
12,自豪,arrogant,adjectives,3.3
13,貂,oil,nouns,0.0
14,紧紧地,incredibly,adverbs,0.0
15,法庭,justice,nouns,1.46
16,存在,winner,nouns,0.0
17,激情,emotion,nouns,2.9
18,孤独,poor,adjectives,0.18
19,便条,assignment,nouns,0.34
20,信用,borrower,nouns,0.56
21,手臂,wrist,nouns,0.66
22,稻草,task,nouns,0.0
23,退出,absorb,verbs,0.0
24,线,sunset,nouns,0.0
25,重大,minor,adjectives,0.13
26,生气,fury,nouns,4.62
27,朋友,buddy,nouns,4.46
28,癌症,sickness,nouns,3.23
29,空出,evict,verbs,1.11
30,给予,lend,verbs,2.39
31,争论,criticism,nouns,1.47
32,木材,log,nouns,3.35
33,参与,say,verbs,0.15
34,女人,secretary,nouns,0.4
35,游戏,trick,nouns,0.67
36,预言家,priest,nouns,0.79
37,冷淡,fragile,adjectives,0.0
38,错误,precise,adjectives,0.09
39,病理学,hematology,nouns,1.9
40,分析,evaluate,verbs,4.54
41,笔直,curved,adjectives,0.16
42,班级,college,nouns,0.4
43,足球,soccer,nouns,4.9
44,实现,succeed,verbs,2.66
45,攻击,blitz,nouns,3.23
46,打破,crack,verbs,2.42
47,页,paragraph,nouns,0.84
48,出现,become,verbs,0.22
49,伟大,awful,adjectives,0.08
50,苹果,lemon,nouns,0.24
51,大灾变,fire,nouns,0.6
52,天神,father,nouns,0.39
53,学校,grade,nouns,0.7
54,读,comprehend,verbs,1.21
55,灌木,flower,nouns,0.98
56,突变体,sociobiology,nouns,0.23
57,冬天,season,nouns,1.95
58,冷静地,subtly,adverbs,0.82
59,出租车,taxi,nouns,5.8
60,污染,president,nouns,0.12
61,恶魔,angel,nouns,0.25
62,巧妙的,calmly,adverbs,0.82
63,距离,perspective,nouns,0.82
64,米饭,bean,nouns,0.61
65,说谎,pretend,verbs,2.59
66,自然地,unnaturally,adverbs,0.22
67,之前,after,adverbs,0.22
68,暴风雨,hurricane,nouns,2.98
69,石,wood,nouns,0.08
70,淋透,reduce,verbs,0.0
71,野兽,animal,nouns,3.77
72,狭窄,dirty,adjectives,0.0
73,角,area,nouns,0.54
74,帽子,coat,nouns,0.79
75,信心十足地,secretly,adverbs,0.27
76,教授,doctor,nouns,1.53
77,被动地,actively,adverbs,0.22
78,银行家,lawyer,nouns,0.36
79,军官,deputy,nouns,1.52
80,狡诈,untrustworthy,adjectives,2.86
81,稻草,wife,nouns,0.09
82,按下,release,verbs,0.0
83,进入,owe,verbs,0.0
84,蓝色,red,adjectives,0.4
85,肉,sandwich,nouns,0.29
86,映像,image,nouns,2.5
87,赞成,permit,verbs,4.29
88,哭,sob,verbs,5.1
89,私人,personal,adjectives,4.09
90,晚餐,soup,nouns,0.77
91,满足,comprehend,verbs,0.3
92,股票,asset,nouns,3.04
93,需要,arrange,verbs,0.0
94,软管,car,nouns,0.04
95,忽略,ask,verbs,0.09
96,同音词,photophone,nouns,0.04
97,独立地,responsibly,adverbs,0.89
98,裙子,dance,nouns,0.09
99,呼吸,choke,verbs,0.32
100,瘦,slender,adjectives,4.92
101,给,put,verbs,0.29
102,沙拉,vinegar,nouns,0.13
103,搅拌,shake,verbs,1.53
104,离开,take,verbs,0.04
105,病人,session,nouns,0.26
106,让,allow,verbs,4.07
107,段,letter,nouns,0.21
108,刺激,dull,adjectives,0.13
109,纸,cardboard,nouns,2.84
110,来,go,verbs,0.54
111,线索,word,nouns,0.09
112,公国,princedom,nouns,1.65
113,雕塑家,mansion,nouns,0.0
114,轻蔑,scornful,adjectives,4.42
115,纸币,payment,nouns,0.85
116,宣告,declare,verbs,4.67
117,月,august,nouns,2.25
118,兄弟会,men,nouns,1.02
119,好心地,generously,adverbs,2.86
120,重新安葬,tomb,nouns,0.47
121,品质,umbrella,nouns,0.04
122,电视,cinema,nouns,1.92
123,大,flexible,adjectives,0.14
124,课程,stomach,nouns,0.0
125,运送,accept,verbs,0.0
126,无礼,crude,adjectives,1.04
127,爸爸,mother,nouns,0.78
128,阿姨,nephew,nouns,0.25
129,离开,separate,verbs,1.64
130,丈夫,man,nouns,2.31
131,警长,cop,nouns,3.72
132,公寓,hotel,nouns,0.79
133,沐浴,trick,nouns,0.0
134,精确地,inaccurately,adverbs,0.22
135,家伙,friend,nouns,1.05
136,救援,save,verbs,4.83
137,狂怒,anger,nouns,4.62
138,脊柱,body,nouns,0.87
139,情绪,passion,nouns,2.9
140,争论,convince,verbs,2.04
141,壁,castle,nouns,0.39
142,屋顶,floor,nouns,0.2
143,冷静地,peacefully,adverbs,3.61
144,可靠,responsibly,adverbs,3.23
145,接受,deliver,verbs,0.0
146,偷,take,verbs,1.54
147,牧师,prophet,nouns,0.79
148,离开,arrive,verbs,0.18
149,灵活,easy,adjectives,1.15
150,水,ice,nouns,2.02
151,同意,differ,verbs,0.04
152,男孩,kid,nouns,2.75
153,山,ledge,nouns,0.27
154,便宜,inexpensive,adjectives,4.53
155,有时,whenever,adverbs,0.55
156,上衣,hat,nouns,0.79
157,看来,simply,adverbs,0.82
158,高速公路,car,nouns,0.2
159,男人,fraternity,nouns,1.02
160,内疚,ashamed,adjectives,4.14
161,没用过,new,adjectives,4.09
162,拒绝,withdraw,verbs,0.86
163,出口,doorway,nouns,2.98
164,借款人,credit,nouns,0.56
165,聚会,convocation,nouns,3.29
166,蛋白质,handle,nouns,0.0
167,自信,attitude,nouns,1.59
168,直觉,sense,nouns,4.39
169,脏,narrow,adjectives,0.0
170,死,disintegrate,verbs,0.29
171,政治家,policeman,nouns,0.12
172,房间,building,nouns,0.4
173,机器,computer,nouns,2.33
