ID,CMN,EST,PoS,score
1,教学大纲,eksam,nouns,0.88
2,停,vilistama,verbs,0.15
3,妻子,auk,nouns,0.37
4,云,ilm,nouns,1.84
5,硬纸板,paber,nouns,2.9
6,主教,moslem,nouns,0.81
7,足球,jalgpall,nouns,3.58
8,枪,koidik,nouns,0.05
9,知道,unustama,verbs,0.2
10,薄荷,muuseum,nouns,0.0
11,机器人技术,simulatsioon,nouns,0.97
12,门,aken,nouns,0.82
13,书,lugu,nouns,2.27
14,闻名,riiklik,adjectives,0.5
15,生物学,anatoomia,nouns,2.32
16,共和国,hertsog,nouns,0.35
17,酒,sajand,nouns,0.0
18,人们,pidu,nouns,0.58
19,奇怪,veider,adjectives,4.88
20,清醒,ratsionaalne,adjectives,3.51
21,神经官能症,meel,nouns,0.69
22,体操,vehklemine,nouns,1.26
23,轻松,stressis,adjectives,0.3
24,主教,peapiiskop,nouns,4.08
25,明天,täna õhtul,adverbs,0.29
26,尖,nüri,adjectives,0.44
27,作者,looja,nouns,4.65
28,讨论,seletama,verbs,2.15
29,攻击,haiget tegema,verbs,2.79
30,律师,galerii,nouns,0.0
31,蔑视,vihkama,verbs,3.5
32,做,teenima,verbs,0.53
33,照耀,hõõguma,verbs,3.01
34,显然,ilmselge,adjectives,4.91
35,付款,ostma,verbs,2.61
36,调查,kontrollima,verbs,2.91
37,喝,tõstma,verbs,0.4
38,灵活,lahtine,adjectives,1.81
39,乳制品,mesi,nouns,0.33
40,形象,idee,nouns,0.35
41,脏,odav,adjectives,0.97
42,小旅馆,motell,nouns,3.73
43,训斥,nõudma,verbs,0.39
44,大厅,vahekäik,nouns,0.64
45,想,pärima,verbs,0.49
46,可能,optimistlikult,adverbs,0.83
47,病人,sessioon,nouns,0.58
48,疯狂,õnnelik,adjectives,1.3
49,疾病,nakkus,nouns,2.37
50,电缆,võlur,nouns,0.0
51,卡,sild,nouns,0.33
52,情侣,paar,nouns,3.63
53,日落,keel,nouns,0.05
54,大方,kena,adjectives,2.1
55,玫瑰,liblikas,nouns,0.48
56,原木,vann,nouns,0.0
57,书,kirjandus,nouns,2.2
58,手掌,sõrm,nouns,1.31
59,后缀,järelliide,nouns,2.92
60,问,aitama,verbs,0.54
61,崇拜,imetlema,verbs,4.53
62,强大,vägev,adjectives,4.53
63,同音词,fotofon,nouns,0.1
64,否认,tunnistama,verbs,0.53
65,团结,jagama,verbs,0.73
66,燕麦,põld,nouns,1.03
67,帮手,teenijanna,nouns,2.58
68,锡,alumiinium,nouns,1.06
69,警察,šerif,nouns,3.66
70,收到,saatma,verbs,0.62
71,乐器,viiul,nouns,2.92
72,衣服,riie,nouns,2.23
73,糟糕,halb,adjectives,3.17
74,笨,juhm,adjectives,5.32
75,布,riided,nouns,2.23
76,名单,rivi,nouns,1.08
77,追求,uurima,verbs,0.73
78,公平,ebaausalt,adverbs,0.43
79,幸福,kurbus,nouns,0.5
80,说话,tunnistama,verbs,1.02
81,蜜蜂,sipelgas,nouns,0.78
82,鼓,kitarr,nouns,0.78
83,漫游,uitama,verbs,3.2
84,混合,jooma,verbs,0.3
85,提醒,unustama,verbs,0.53
86,忽略,avastama,verbs,0.05
87,书,õnnetus,nouns,0.05
88,恶魔,koletis,nouns,3.21
89,全球化,viisa,nouns,0.86
90,纽扣,riided,nouns,0.63
91,理解,teadma,verbs,3.09
92,狗,kass,nouns,0.92
93,短,pikk,adjectives,0.34
94,沙拉,dieet,nouns,0.73
95,手臂,lihas,nouns,1.29
96,伤心,hirmus,adjectives,0.73
97,原木,puitmaterjal,nouns,3.65
98,拥抱,lämmatama,verbs,0.35
99,优胜者,tšempion,nouns,5.32
100,草,sammal,nouns,1.67
101,灵活,tagasihoidlik,adjectives,0.67
102,结构,topoloogia,nouns,0.75
103,女人,sekretär,nouns,1.02
104,办公室,tööline,nouns,0.53
105,字,vihje,nouns,0.44
106,击中,sihtima,verbs,1.96
107,参加竞选,ahv,nouns,0.05
108,给,panema,verbs,0.43
109,踝,aken,nouns,0.0
110,一分钱,suurus,nouns,0.35
111,血液,keha,nouns,1.1
112,草,tera,nouns,0.25
113,力量,võimekus,nouns,2.96
114,腐烂,hävitama,verbs,2.27
115,僵硬,kerge,adjectives,0.14
116,给予,panus,nouns,2.21
117,糟糕,tagasihoidlikult,adverbs,0.55
118,得罪,tüütama,verbs,1.35
119,法律,kool,nouns,0.38
120,女人,ülesanne,nouns,0.05
121,付款,paberraha,nouns,1.2
122,经常,harva,adverbs,0.48
123,赢家,värav,nouns,0.4
124,总统,õpilane,nouns,0.2
125,承认,aktsepteerima,verbs,3.29
126,争论,arutlema,verbs,2.84
127,歌剧,kino,nouns,0.96
128,威士忌酒,alkohol,nouns,3.02
129,等待,peatama,verbs,1.88
130,收缩,kaduma,verbs,0.98
131,俱乐部,ühiskond,nouns,0.4
132,导演,kinematograafia,nouns,1.29
133,溶解,ühendama,verbs,0.57
134,自信,ise,nouns,0.88
135,清洁,sassis,adjectives,0.29
136,交谈,suhtlus,nouns,4.26
137,卖,laenama,verbs,0.57
138,加入,omandama,verbs,0.29
139,家伙,täkk,nouns,1.16
140,叫喊,kiljuma,verbs,3.42
141,喷泉,allikas,nouns,3.71
142,铁,vitamiin,nouns,0.81
143,诗,rütm,nouns,0.83
144,蔗糖,süsivesik,nouns,3.28
145,明显,ilmne,adjectives,4.91
146,准许,heaks kiitma,verbs,3.76
147,手臂,kael,nouns,0.54
148,闻,rikkuma,verbs,0.0
149,钢笔,tähestik,nouns,0.3
150,洞察力,fakt,nouns,0.69
151,获得,võtma,verbs,2.88
152,工人,mehaanik,nouns,2.33
153,草药,kanep,nouns,2.07
154,在场,puudumine,nouns,0.54
155,电视,stsenarist,nouns,0.88
156,湿,kleepuv,adjectives,1.9
157,乏味,turvaline,adjectives,0.25
158,晚餐,hommikusöök,nouns,0.96
159,正常,veider,adjectives,0.39
160,冷淡,habras,adjectives,0.25
161,手工业,traditsioon,nouns,1.79
162,新,hiljutine,adjectives,3.37
163,岛,printsess,nouns,0.0
164,现实,fantaasia,nouns,1.0
165,准确地,aktiivselt,adverbs,0.57
166,走,sisenema,verbs,1.15
167,发出气味,haisema,verbs,2.58
168,神话,satiir,nouns,0.68
169,毛,naine,nouns,0.2
170,成功,võitma,verbs,3.96
171,紫罗兰,lill,nouns,2.83
172,警长,võmm,nouns,3.66
173,嘴巴,huul,nouns,2.38
174,膝盖,luu,nouns,1.23
175,大致,imlselgelt,adverbs,0.38
176,座位,pank,nouns,0.29
177,声明放弃,suruma,verbs,0.0
178,保护,päästma,verbs,2.28
179,探索,avastama,verbs,2.86
180,收到,võtma,verbs,1.67
181,网球,statistika,nouns,0.2
182,总统,kaamera,nouns,0.2
183,怪异,kummaline,adjectives,4.88
184,油,naarits,nouns,0.2
185,解释,tõestama,verbs,2.83
186,游泳,kohtuma,verbs,0.0
187,溅,sisehõõrdumine,nouns,0.15
188,歇斯底里,segadus,nouns,2.72
189,牛,kits,nouns,0.78
190,残酷,karm,adjectives,3.78
191,无知,intelligentsus,nouns,0.3
192,纸,poster,nouns,1.75
193,雾,pilv,nouns,2.38
194,歌曲,esineja,nouns,0.73
195,理解,rahuldama,verbs,0.33
196,机场,lennuk,nouns,1.25
197,男人,kahtlusalune,nouns,0.73
198,开始,minema,verbs,0.39
199,鼻子,suu,nouns,0.7
200,难以置信,tavaline,adjectives,0.3
201,柑橘,apelsin,nouns,3.29
202,需求,vaidlema,verbs,0.89
203,职业,kolledž,nouns,0.39
204,气旋,taifuun,nouns,3.09
205,信,lõik,nouns,0.44
206,糟糕,suurepärane,adjectives,0.29
207,谦逊地,kehvasti,adverbs,0.55
208,侵蚀,kandma,verbs,0.73
209,高高兴兴地,surmavalt,adverbs,0.23
210,大,paindlik,adjectives,0.34
211,成年人,laps,nouns,0.78
212,门口,väljapääs,nouns,3.47
213,雨,uduvihm,nouns,3.68
214,使心烦,heidutama,verbs,1.98
215,教堂,kaabel,nouns,0.0
