ID,CMN,FIN,PoS,score
1,纸,pahvi,nouns,3.1
2,歌曲,esiintyjä,nouns,0.58
3,大象,dinosaurus,nouns,0.84
4,宽,tuore,adjectives,0.0
5,救,suojella,verbs,2.03
6,容易,joustava,adjectives,0.72
7,判决书,oikeudenkäynti,nouns,1.52
8,大,laaja,adjectives,3.79
9,偷,antaa,verbs,0.33
10,神圣,kallisarvoinen,adjectives,2.02
11,红酒,brandy,nouns,2.17
12,残忍,epäreilu,adjectives,1.07
13,维他命,rauta,nouns,0.86
14,不同,normaali,adjectives,0.2
15,理解,sisäistää,verbs,4.58
16,农业,monokulttuuri,nouns,0.79
17,运动员,juoksija,nouns,3.08
18,擦,heikentyä,verbs,0.05
19,木,tukki,nouns,3.84
20,检察官,lakimies,nouns,2.27
21,不公平,reilusti,adverbs,0.38
22,盒子,koju,nouns,0.05
23,家伙,ystävä,nouns,1.04
24,男人,veljeskunta,nouns,1.43
25,感觉到,uskoa,verbs,1.21
26,井井有条,sekava,verbs,0.38
27,学生,oppilas,nouns,4.6
28,打鼾,herättää,verbs,0.33
29,货车,paketti,nouns,0.1
30,疯狂,järjetön,adjectives,4.79
31,瞇,mulkoilla,verbs,0.73
32,拥抱,puristaa,verbs,0.97
33,生态系统,talous,nouns,0.4
34,神经,aivot,nouns,1.86
35,来,mennä,verbs,0.68
36,云,utu,nouns,2.65
37,按下,vapauttaa,verbs,0.0
38,需要,järjestää,verbs,0.0
39,交易,myydä,verbs,3.06
40,面包,jauho,nouns,1.56
41,倒,tippua,verbs,0.86
42,中性,rauhallinen,adjectives,0.54
43,大声地,hienovaraisesti,adverbs,0.05
44,提醒,kertoa,verbs,2.21
45,善良,antelias,adjectives,1.3
46,说话,kuulla,verbs,0.53
47,装作,kuvata,verbs,0.2
48,侵蚀,pitää päällä,verbs,0.14
49,歌剧,elokuvateatteri,nouns,1.21
50,干旱,vesi,nouns,0.2
51,微晶片,kursori,nouns,0.04
52,明显,ilmeinen,adjectives,5.25
53,摩天大楼,palatsi,nouns,0.83
54,服装,pallo,nouns,0.04
55,身体,selkäranka,nouns,1.28
56,豆,riisi,nouns,0.82
57,飞机场,pala,nouns,0.0
58,逻辑,laskuoppi,nouns,1.74
59,大多,syvästi,adverbs,0.48
60,词元,tavu,nouns,0.9
61,湖,suo,nouns,0.97
62,神职人员,munkki,nouns,1.97
63,拿,takavarikoida,verbs,2.42
64,发现,olla peräisin,verbs,0.29
65,记得,ajatella,verbs,0.68
66,舌头,lihas,nouns,0.97
67,人类学,arkeologia,nouns,1.21
68,肚子,vyötärö,nouns,2.4
69,电影,ooppera,nouns,1.21
70,模仿,kuvata,verbs,0.68
71,韵律,aritmetiikka,nouns,0.15
72,欠,käydä sisään,verbs,0.0
73,信念,vaikutelma,nouns,0.94
74,湿,tahmea,adjectives,1.5
75,西洋棋,tarkistus,nouns,0.09
76,遇见,tervehtiä,verbs,1.18
77,跳跃,aita,nouns,0.1
78,句法,hakusana,nouns,0.78
79,妻子,sentti,nouns,0.18
80,医生,lääkäri,nouns,4.96
81,讽刺,myytti,nouns,0.43
82,进入,olla velkaa,verbs,0.0
83,手,jalkaterä,nouns,0.92
84,章,häntä,nouns,0.0
85,听,oppia,verbs,0.57
86,坏,moraaliton,adjectives,3.06
87,走,myydä,verbs,0.1
88,察觉,kuulla,verbs,1.74
89,被动地,aktiivisesti,adverbs,0.38
90,鸡,pihvi,nouns,0.49
91,刺激,tylsä,adjectives,0.29
92,受害者,luuri,nouns,0.0
93,木材,tukki,nouns,3.59
94,携带,tuoda,verbs,2.4
95,打招呼,tavata,verbs,1.18
96,描绘,matkia,verbs,0.68
97,舱,leiri,nouns,0.34
98,精确地,epätäsmällisesti,adverbs,0.38
99,断绝亲子关系,laimilyödä,verbs,0.3
100,澄清,selittää,verbs,3.92
101,伞,lämmitin,nouns,0.1
102,携带,toimittaa,verbs,2.03
