ID,CMN,RUS,PoS,score
1,种族主义,ксенофобия,nouns,3.04
2,现代,старинный,adjectives,0.05
3,自由,цензура,nouns,0.39
4,支气管炎,ацетаминофен,nouns,0.49
5,男孩,ребенок,nouns,3.08
6,按下,освобождать,verbs,0.0
7,收到,достигать,verbs,0.6
8,相信,знать,verbs,0.71
9,无聊,усталый,adjectives,0.34
10,失去,получать,verbs,0.18
11,医院,койка,nouns,0.72
12,除法,умножение,nouns,0.8
13,徽章,достоинство,nouns,0.15
14,竿,занавеска,nouns,0.54
15,容易,трудный,adjectives,0.17
16,内疚,честный,adjectives,0.04
17,款待,платить,verbs,0.19
18,洗手间,спальня,nouns,0.53
19,搏斗,противоречить,verbs,0.25
20,偷,брать,verbs,0.75
21,方法,манера,nouns,3.98
22,指控,осуждать,verbs,3.83
23,木,одеяло,nouns,0.0
24,雪,шторм,nouns,0.91
25,容器,платформа,nouns,0.14
26,一分钱,жена,nouns,0.18
27,学习,слушать,verbs,0.63
28,旧,смешанный,adjectives,0.0
29,婴儿,дочь,nouns,2.06
30,头,плечо,nouns,0.39
31,立方体,игрушка,nouns,0.44
32,母亲,отец,nouns,0.83
33,高速公路,дорога,nouns,4.17
34,首领,мэр,nouns,3.18
35,同音词,фотофон,nouns,0.1
36,创造者,изготовитель,nouns,3.77
37,大学,кампус,nouns,2.16
38,手臂,шея,nouns,0.39
39,企业,корпорация,nouns,4.22
40,罪犯,правонарушитель,nouns,4.81
41,迅速地,срочно,adverbs,2.94
42,诈骗,преступление,nouns,2.36
43,页,абзац,nouns,0.95
44,平滑,острый,adjectives,0.14
45,资料,книга,nouns,1.7
46,挂,класть,verbs,0.71
47,货币,совпадение,nouns,0.04
48,木,камень,nouns,0.15
49,猫,собака,nouns,0.43
50,周末,гонка,nouns,0.0
51,大学,класс,nouns,0.54
52,书,библия,nouns,1.98
53,开心,рассерженный,adjectives,0.51
54,明亮地,слегка,adverbs,0.0
55,写,строчить,verbs,2.73
56,理想地,реалистично,adverbs,0.29
57,问,помогать,verbs,0.19
58,桥,карта,nouns,0.68
59,海军,остров,nouns,0.39
60,最佳,пятый,adjectives,0.04
61,乱七八糟,порядоченный,adjectives,0.29
62,未公开,открытый,adjectives,0.24
63,保护,сохранять,verbs,1.78
64,骨头,шея,nouns,0.34
65,大厦,скульптор,nouns,0.25
66,听,слышать,verbs,3.58
67,前进,продвигать,verbs,1.52
68,世纪,год,nouns,1.4
69,毁灭,построение,nouns,0.29
70,僧侣,крест,nouns,0.84
71,道德,легенда,nouns,0.3
72,原谅,понимать,verbs,1.32
73,得罪,беспокоить,verbs,1.21
74,兄弟会,мужчины,nouns,0.88
75,帮手,наставник,nouns,1.46
76,吉他,скрипка,nouns,0.77
77,除,умножать,verbs,0.33
78,未预见到,неожиданный,adjectives,5.39
79,装作,лгать,verbs,2.69
80,任务,пустяк,nouns,0.05
81,流感,жар,nouns,1.59
82,床,одеяло,nouns,0.65
83,屏幕,фонология,nouns,0.0
84,乱,чистый,adjectives,0.04
85,喉,язык,nouns,0.81
86,坏,безнравственный,adjectives,2.51
87,母马,лошадь,nouns,3.98
88,律师,галерея,nouns,0.0
89,喇叭,автомобиль,nouns,0.54
90,说,подтверждать,verbs,0.3
91,信用,заёмщик,nouns,1.36
92,通常,ежедневно,adverbs,2.44
93,给,красть,verbs,0.18
94,工作者,работодатель,nouns,0.64
95,马,жеребенок,nouns,2.98
96,选择,хотеть,verbs,0.71
97,钟,башня,nouns,0.72
98,公寓,дом,nouns,4.23
99,冻结,дрожать,verbs,0.83
100,阴谋家,стратег,nouns,2.41
101,玩具,куб,nouns,0.44
102,原谅,помиловать,verbs,3.81
103,乐队,износоустойчивость,nouns,0.0
104,画,создавать,verbs,0.54
105,静脉,рука,nouns,0.45
106,天神,отец,nouns,0.7
107,创建,разрушать,verbs,0.23
108,缺乏信心,нуждающийся,adjectives,0.04
109,读者,писатель,nouns,0.58
110,地板,потолок,nouns,0.34
111,教堂,шпиль,nouns,1.02
112,自豪,бедный,adjectives,0.1
113,保持,обнимать,verbs,0.2
114,伪装,маскировать,verbs,3.5
115,假,искусственный,adjectives,3.45
116,毁灭,спасти,verbs,0.09
117,公主,остров,nouns,0.0
118,盒子,лифт,nouns,0.35
119,讨厌,критиковать,verbs,0.63
120,逻辑,арифметика,nouns,1.65
121,伙伴,парень,nouns,1.98
122,行为主义,терапия,nouns,0.25
123,抱怨,ругаться,verbs,1.4
124,匆忙,мчаться,verbs,3.5
125,老板,директор,nouns,4.38
126,没用过,новый,adjectives,3.22
127,选举,выбирать,verbs,3.31
128,大笑,хихикать,verbs,3.69
129,參加,покидать,verbs,0.18
130,案件,электричество,nouns,0.34
131,蓝色,красный,adjectives,0.14
132,插图,волдырь,nouns,0.0
133,服从,слушаться,verbs,3.7
134,通知,информировать,verbs,4.03
135,社会,культура,nouns,0.99
136,慷慨地,никогда,adverbs,0.0
137,合法,безопасный,adjectives,0.88
138,退出,отвергать,verbs,1.17
139,豆,бекон,nouns,0.1
140,读,укусить,verbs,0.0
141,拿,доставлять,verbs,0.29
142,樱桃,клубника,nouns,1.13
143,歌剧,кино,nouns,0.66
144,词元,слог,nouns,0.75
145,判断,давать показания,verbs,0.14
146,金属,олово,nouns,2.17
147,教堂,хор,nouns,0.74
148,成功,достигать,verbs,2.4
149,海岸,берег,nouns,3.21
150,结婚,обручаться,verbs,2.08
151,虚无主义,фильм,nouns,0.28
152,传感器,радиатор,nouns,0.38
153,心烦,пристыженный,adjectives,0.58
154,订婚,кольцо,nouns,1.24
155,大方,дружелюбный,adjectives,2.91
156,细胞质,цифра,nouns,0.0
157,国会,парламент,nouns,2.31
158,煮,потерять,verbs,0.0
159,散热器,датчик,nouns,0.38
160,极好,рассерженный,adjectives,0.43
161,机场,самолет,nouns,1.1
162,教堂,мозаика,nouns,0.15
163,伤心,ужасный,adjectives,0.57
164,同意,противоречить,verbs,0.23
165,权利,правосудие,nouns,0.88
166,否认,лгать,verbs,0.87
167,生态系统,экономика,nouns,0.35
168,天神,дьявол,nouns,0.24
169,危险地,внимательно,adverbs,0.28
170,贫穷,одинокий,adjectives,0.29
171,屋顶,окно,nouns,0.54
172,方案,идея,nouns,2.31
173,腰部,трапеза,nouns,0.0
174,叔叔,кузен,nouns,0.93
175,钟,дверь,nouns,0.5
176,汽车,завод,nouns,0.29
177,需要,устраивать,verbs,0.0
178,地区,угол,nouns,0.23
179,女孩,ребенок,nouns,2.25
180,女仆,помощница,nouns,3.02
181,难以置信地,плотно,adverbs,0.0
182,刺激,скучный,adjectives,0.14
183,首词,синтаксис,nouns,0.38
184,攻击,преступление,nouns,0.71
185,枪,тетрадь,nouns,0.0
186,溅,вязкость,nouns,0.24
187,汽车,шланг,nouns,0.45
188,基督教,протестант,nouns,2.21
