ID,CMN,SPA,PoS,score
1,紧急情况,accidente,nouns,3.55
2,基本上,completamente,adverbs,0.92
3,再热,precalentamiento,nouns,1.12
4,孤独,pobre,adjectives,0.29
5,粗糙,feo,adjectives,0.47
6,美丽,maravilloso,adjectives,3.23
7,乱,feo,adjectives,0.67
8,忘记,conservar,verbs,0.24
9,行星,estrella,nouns,2.88
10,离开,desalojar,verbs,2.48
11,老鼠,envase,nouns,0.05
12,追求,persuadir,verbs,0.29
13,男人,mujer,nouns,0.93
14,攻击,delito,nouns,1.3
15,限制,reducir,verbs,2.33
16,飞行,aviación,nouns,2.6
17,线索,palabra,nouns,0.19
18,摇动,recoger,verbs,0.24
19,座舱,copiloto,nouns,0.67
20,重大,menor,adjectives,0.19
21,脑,nervio,nouns,1.41
22,不诚实,veraz,adjectives,0.1
23,折断,crujir,verbs,2.1
24,车,autopista,nouns,0.74
25,治疗,behaviorismo,nouns,0.45
26,失败,bancarrota,nouns,1.56
27,医生,profesor,nouns,0.85
28,接受,disminuir,verbs,0.18
29,使满意,satisfacer,verbs,4.72
30,轻轻地,brillantemente,adverbs,0.0
31,异常地,normalmente,adverbs,0.1
32,书,texto,nouns,2.52
33,沙发,béisbol,nouns,0.1
34,敬佩,adorar,verbs,4.28
35,能力,competencia,nouns,3.54
36,老鼠,gato,nouns,0.39
37,墙壁,decoración,nouns,0.72
38,杜松子酒,alcohol,nouns,3.01
39,焦急地,nerviosamente,adverbs,3.96
40,难得,raro,adjectives,4.04
41,电话,cabina,nouns,0.6
42,摩天大楼,palacio,nouns,0.48
43,公寓,mueble,nouns,0.29
44,律师,banquero,nouns,0.79
45,加,multiplicar,verbs,0.88
46,牛,cabra,nouns,0.88
47,薄荷,goma,nouns,0.37
48,窗帘,barra,nouns,0.34
49,报纸,información,nouns,1.86
50,脚,cabeza,nouns,0.34
51,枪,piel,nouns,0.05
52,鹰,pájaro,nouns,2.19
53,有弹性,flexible,adjectives,3.83
54,决定,retratar,verbs,0.3
55,帮忙,pedir,verbs,0.34
56,字母,bolígrafo,nouns,0.4
57,找到,desaparecer,verbs,0.15
58,愤怒,estado animico,nouns,2.73
59,徘徊,salir,verbs,0.7
60,病菌,patógeno,nouns,3.18
61,戒除,hacer,verbs,0.2
62,不可能,simpático,adverbs,0.09
63,军队,legión,nouns,3.83
64,简直,aparentemente,adverbs,0.8
65,瞇,deslumbrar,verbs,0.43
66,手臂,hombro,nouns,0.64
67,包皮,circuncisión,nouns,1.32
68,稻草,esposa,nouns,0.24
69,运动员,corredor,nouns,3.29
70,短,largo,adjectives,0.19
71,相信,saber,verbs,0.91
72,聪明,tonto,adjectives,0.15
73,使灰心,desalentar,verbs,4.12
74,警察,político,nouns,0.24
75,远足,escalar,verbs,0.83
76,车,coche,nouns,5.66
77,培根,desayuno,nouns,0.38
78,实际地,idealmente,adverbs,0.44
79,汽车,automóvil,nouns,5.66
80,房间,bañera,nouns,0.39
81,服装,pelota,nouns,0.15
82,不可說出口的,extramatrimonial,adjectives,1.01
83,温和地,amablemente,adverbs,2.73
84,山,repisa,nouns,0.2
85,走,vender,verbs,0.05
86,灌木,flor,nouns,1.37
87,订婚,anillo,nouns,1.64
88,高速公路,coche,nouns,0.74
89,砖,pared,nouns,0.97
90,留,obtener,verbs,0.04
91,布,ropa,nouns,2.38
92,哥哥,padre,nouns,0.34
93,控制,detener,verbs,0.64
94,演员,actriz,nouns,3.73
95,困扰,susto,verbs,0.33
96,成功,ganar,verbs,3.42
97,赚,hacer,verbs,0.43
98,钻石,dinero,nouns,0.9
99,王座,espada,nouns,0.43
100,宪法,emperador,nouns,0.65
101,候选人,ganador,nouns,1.94
102,争论,probar,verbs,1.17
103,车辆,autobús,nouns,2.75
104,征服,batalla,nouns,1.27
105,笨,estúpido,adjectives,5.36
106,淹,salvar,verbs,0.2
107,教堂,mosaico,nouns,0.2
108,扭曲,curvo,adjectives,3.48
109,杯子,cono,nouns,1.06
110,运送,aceptar,verbs,0.2
111,草莓,cereza,nouns,1.38
112,米,yarda,nouns,2.24
113,加,unirse,verbs,3.31
114,智力,visión,nouns,1.78
115,主意,esquema,nouns,2.96
116,罪人,smo,nouns,0.04
117,车,bote,nouns,0.48
118,电影,filme,nouns,4.89
119,灵活,fácil,adjectives,1.13
120,发动机,máquina,nouns,2.63
121,种族,fin de semana,nouns,0.0
122,智力,ignorancia,nouns,0.35
123,害怕,tímido,adjectives,1.6
124,正文,libro,nouns,2.52
125,铝,estaño,nouns,0.92
126,减少,restringir,verbs,2.33
127,尝试,pensar,verbs,0.63
128,干旱,agua,nouns,0.55
129,高速公路,carretera,nouns,3.96
130,应用,galaxia,nouns,0.1
131,锁匙,corona,nouns,0.1
132,奇怪,astuto,adjectives,0.47
133,血液,cuerpo,nouns,0.71
134,搂抱,abrazo,verbs,4.89
135,建造,hacer,verbs,2.92
136,容易,grande,adjectives,0.0
137,显然,en la zona,adverbs,0.0
138,可笑,aburrido,adjectives,0.05
139,断绝亲子关系,renunciar,verbs,1.08
140,墙,ladrillo,nouns,0.97
141,读者,autor,nouns,0.58
142,搅拌,sacudir,verbs,2.4
143,安全地,cuidadosamente,adverbs,3.22
144,世纪,año,nouns,1.65
145,骨头,tobillo,nouns,0.78
146,冰,nieve,nouns,2.83
147,罕见,raro,adjectives,3.94
148,粗暴,frígido,adjectives,0.45
149,进入,deber,verbs,0.0
150,害羞,asustado,adjectives,1.6
151,死亡,catástrofe,nouns,1.79
152,词性变化,infección,nouns,0.1
153,甲板,ratón,nouns,0.0
154,理论,teorema,nouns,3.91
155,脊柱,cuello,nouns,0.47
156,地带,área,nouns,4.97
157,毛,visón,nouns,1.18
158,床,manta,nouns,0.6
159,无知,regular,adjectives,0.04
160,慷慨地,amablemente,adverbs,2.97
161,课程,estómago,nouns,0.05
162,礼物,escritor,nouns,0.05
163,国王,nepotismo,nouns,1.03
164,犯罪者,criminal,nouns,4.66
165,不负责任,inmaduro,adjectives,2.46
166,弱,picante,adjectives,0.0
167,推荐,asesorar,verbs,4.3
168,航空学,aviónica,nouns,3.04
169,精确,incorrecto,adjectives,0.14
170,电影,nihilismo,nouns,0.38
171,谨慎地,cuidadosamente,adverbs,4.47
172,作家,compositor,nouns,2.47
173,混合,remover,verbs,3.33
174,推,tirar,verbs,1.18
175,狡猾,extraño,adjectives,0.47
176,灰濛蒙,pronóstico,nouns,0.7
177,珍贵,perezoso,adjectives,0.04
178,沙文主义,prejuicio,nouns,1.34
179,歌曲,historia,nouns,0.43
180,改变,cambiar,verbs,4.01
181,插图,ampolla,nouns,0.0
182,选择,capítulo,nouns,0.29
183,闷,mediocre,adjectives,0.85
184,成年人,guardián,nouns,1.97
185,安全,tedioso,adjectives,0.05
186,自行车,habitación,nouns,0.15
187,世纪,década,nouns,0.44
188,强大,poderoso,adjectives,4.03
189,家伙,semental,nouns,0.71
190,比较,analizar,verbs,2.71
191,器官,hígado,nouns,2.47
192,离开,deambular,verbs,0.7
193,聪慧,tonto,adjectives,0.39
194,恐吓,cazar,verbs,0.33
195,区域,zona,nouns,4.54
196,下面,lado,nouns,0.59
197,沙丘,desierto,nouns,2.66
198,流,deambular,verbs,1.25
199,犯罪,robo,nouns,3.28
200,发现,originar,verbs,0.89
201,铁,vitamina,nouns,0.66
202,死气沉沉的,felizmente,adverbs,0.23
203,松动,flexible,adjectives,1.56
204,中性,indeciso,adjectives,1.22
205,断绝亲子关系 or...,dar,verbs,0.05
206,保护,salvar,verbs,2.58
207,给予,contribución,nouns,3.06
208,锁起来,célula,nouns,0.8
209,手机,teléfono,nouns,4.82
210,真诚地,honestamente,adverbs,4.5
211,心脏,cirugía,nouns,0.59
212,今天晚上,mañana,adverbs,0.34
213,脾气,médico,nouns,0.15
214,头盔,arma,nouns,0.83
215,带来,venir,verbs,1.17
216,蜜糖,lácteos,nouns,0.43
217,发现,darse cuenta de,verbs,4.21
218,敌意,agresión,nouns,2.32
219,僧侣,cruzar,nouns,0.14
220,毛毛虫,gusano de seda,nouns,2.55
221,自豪,pobre,adjectives,0.15
222,沙发,cama,nouns,1.46
223,屋,granero,nouns,0.68
224,戏法,tamaño,nouns,0.0
225,作家,novela,nouns,0.7
226,抓住,lanzar,verbs,0.34
227,除,añadir,verbs,0.38
228,坏,genial,adjectives,0.05
229,侧面,fondo,nouns,0.59
230,可行,imposible,adjectives,0.24
231,巧妙,maduro,adverbs,0.88
232,伞,calibre,nouns,0.15
233,喉咙,nariz,nouns,0.34
234,暴风雨,huracán,nouns,2.87
235,警告,detener,verbs,0.39
236,救,proteger,verbs,2.58
237,活动,movimiento,nouns,2.91
238,巫师,cable,nouns,0.0
239,换算,altitud,nouns,0.39
240,外套,suéter,nouns,2.84
241,球,cesta,nouns,0.2
242,律师,galería,nouns,0.1
243,懒,ocupado,adjectives,0.2
244,强烈地,oficialmente,adverbs,0.32
245,飞机场,pieza,nouns,0.0
246,掩盖,enterrar,verbs,2.92
247,行为主义,terapia,nouns,0.45
248,电脑,disco,nouns,0.93
249,程序,comida,nouns,0.05
250,赢得,realizar,verbs,2.04
251,大学,clase,nouns,0.84
252,幸运,avergonzado,adjectives,0.04
253,正牙医生,dentista,nouns,4.0
254,云,niebla,nouns,2.42
255,波浪,clima,nouns,0.34
256,撤退,descender,verbs,0.49
257,吸引,golpear,verbs,0.05
258,车,cuerno,nouns,0.09
259,取得,adquirir,verbs,4.54
260,收缩,reducir,verbs,3.83
261,发现,explorar,verbs,2.96
262,床,hospital,nouns,0.57
263,旧,nuevo,adjectives,0.24
264,暴风雪,lluvia,nouns,0.67
265,微妙地,actualmente,adverbs,0.0
266,极好,malo,adjectives,0.14
267,收集,sacudir,verbs,0.24
268,小孩,niña,nouns,3.06
269,签证,globalismo,nouns,0.77
270,等待,pausa,verbs,2.63
271,靠不住的,tortuoso,adjectives,1.59
272,拇指,uña,nouns,1.07
273,米饭,niño,nouns,0.0
274,之后,antes de,adverbs,0.23
275,拒绝,evitar,verbs,0.78
276,阳光,cielo,nouns,0.96
277,岛,tarea,nouns,0.05
278,判断,decidir,verbs,2.9
279,圣经,libro,nouns,2.18
280,坚固,astuto,adjectives,0.2
281,无家可归,multimillonario,nouns,0.1
282,建造,destrucción,nouns,0.29
283,无礼,crítico,adjectives,0.77
284,扫帚,polvo,nouns,0.63
285,路径,túnel,nouns,2.52
286,情侣,par,nouns,3.98
287,音系学,pantalla,nouns,0.05
288,跑,montar,verbs,0.38
289,女演员,actor,nouns,3.73
290,衬衣,cárdigan,nouns,1.28
291,教堂,catedral,nouns,4.97
292,新鲜,amplio,adjectives,0.05
293,男人,fraternidad,nouns,1.23
294,支气管炎,acetaminofeno,nouns,0.49
295,通常,irregularmente,adverbs,0.53
296,退出,absorber,verbs,0.1
297,儿童,chico,nouns,3.65
298,吉他,trucha,nouns,0.0
299,通常,sinceramente,adverbs,0.4
300,苹果,sol,nouns,0.34
301,茅屋,cabina,nouns,2.12
302,大声地,sutilmente,adverbs,0.05
303,成熟,inteligentemente,adverbs,0.88
304,满足,comprender,verbs,0.57
305,学习,olvidar,verbs,0.05
306,发动机,pistón,nouns,1.69
307,不公平,cruel,adjectives,1.18
308,缺席,presencia,nouns,0.24
309,辩解,verificar,verbs,1.08
310,基底,pie,nouns,2.74
311,驱逐,salir,verbs,2.48
312,手指,palma,nouns,1.26
313,忽略,explorar,verbs,0.1
314,营地,cabina,nouns,0.59
315,晚餐,pollo,nouns,0.94
316,报纸,palabra,nouns,1.37
317,宽大,estrecho,adjectives,0.24
318,鼓,guitarra,nouns,0.58
319,最近,de manera realista,adverbs,0.0
320,大教堂,techo,nouns,0.24
321,年级,colegio,nouns,1.29
322,战役,conquista,nouns,1.27
323,踝,hueso,nouns,0.78
324,常规地,normalmente,adverbs,4.14
325,男孩,pareja,nouns,0.43
326,同意,aceptar,verbs,3.81
327,满足,complacer,verbs,4.72
328,协议,condición,nouns,2.49
329,门,portón,nouns,5.22
330,乐队,resistencia,nouns,0.05
331,谷仓,casa,nouns,0.68
332,全球化,visado,nouns,0.77
333,衣服,cajón,nouns,0.7
334,成年人,bebé,nouns,0.57
335,公主,novia,nouns,0.64
336,携带,entregar,verbs,2.53
337,厨房,baño,nouns,0.39
338,清醒,borracho,adjectives,0.19
339,总统,contaminación,nouns,0.25
340,偏见,chauvinista,nouns,1.34
341,解剖学,biología,nouns,2.42
342,电车,tren,nouns,2.36
343,文学,palabra,nouns,2.2
