ID,CMN,SWA,PoS,score
1,敬重,pongezi,nouns,0.92
2,目标,mshindi,nouns,0.05
3,避免,kukataa,verbs,1.43
4,违反,uhalifu,nouns,3.38
5,紫罗兰,ua,nouns,3.77
6,建造,uharibifu,nouns,0.18
7,快,wa kasi,adjectives,4.9
8,肥料,samadi,nouns,0.33
9,想,kujaribu,verbs,0.28
10,大灾难,ajali,nouns,2.45
11,谢绝,kukataa,verbs,0.28
12,代码,alama,nouns,2.41
13,安慰,kufaraja,verbs,0.09
14,明显,wa kuonekana,adjectives,4.91
15,汽车旅馆,hoteli,nouns,2.98
16,退出,kukataa,verbs,0.36
17,混乱,vurugu,nouns,0.0
18,任务,kazi,nouns,3.13
19,玫瑰,waridi,nouns,0.33
20,帝制,ufalme,nouns,0.55
21,钱,almasi,nouns,0.8
22,牛,mifugo,nouns,3.17
23,大薄片,gombo,nouns,0.14
24,成年人,mtoto,nouns,0.43
25,倒,kumwaga,verbs,0.71
26,好心地,kiupole,adverbs,2.42
27,公司,biashara,nouns,2.3
28,预热,pasha kabla,nouns,0.42
29,分钟,sekunde,nouns,2.44
30,根,nyasi,nouns,0.38
31,尝试,kufanikiwa,verbs,0.58
32,海滩,bahari,nouns,2.58
33,冬天,msimu wa joto,nouns,0.2
34,阳光,matofaa,nouns,0.14
35,公寓,fanicha,nouns,0.1
36,胆大,wa kujivunia,adjectives,0.52
37,轻轻的,kwa upole,adverbs,0.0
38,理解,kujua,verbs,3.74
39,副驾驶,rubani msaidizi,nouns,0.62
40,坏,mbaya,adjectives,0.33
41,起泡,malengelenge,nouns,0.0
42,雕塑,sanamu,nouns,4.88
43,雪,hali ya hewa,nouns,1.17
44,学习,kusikiliza,verbs,0.38
45,小孩,mtu mzima,nouns,0.43
46,并发,mapatano,nouns,0.04
47,积极地,kikamilifu,adverbs,0.32
48,使心烦,kuhuzunika,verbs,0.04
49,聪明,mpumbavu,adjectives,0.1
50,门,jiko,nouns,0.05
51,故事,hadithi,nouns,0.14
52,合法,halali,adjectives,0.33
53,视力,utambuzi,nouns,1.23
54,天气,wingu,nouns,1.84
55,可靠地,pasipo tu,adverbs,0.0
56,无助,hoi,adjectives,0.97
57,日落,machweo,nouns,0.0
58,车辆,basi,nouns,3.65
59,古老,wa kisasa,adjectives,0.05
60,节目,onyesha,nouns,0.0
61,坏,poa,adjectives,0.05
62,轻轻的,kwa ulaini,adverbs,0.0
63,身体,bega,nouns,0.71
64,有时,mara nyingine,adverbs,0.33
65,避免,kujiweka mbali,verbs,1.13
66,稻草,jukumu,nouns,0.0
67,尖,kali,adjectives,0.0
68,蚂蚁,nyuki,nouns,0.53
69,生物学,biolojia,nouns,0.94
70,多面体,pembe zaidi ya sita,nouns,0.0
71,门,kengele,nouns,0.15
72,遇见,kusalimia,verbs,0.73
73,作者,msomaji,nouns,0.28
74,篮球,baseball,nouns,0.42
75,沐浴,mke,nouns,0.0
76,存在,mlango,nouns,0.0
77,街,gari,nouns,0.14
78,第五,wa tano,adjectives,0.04
79,财富,umaarufu,nouns,0.6
80,巧克力,keki,nouns,0.68
81,尾巴,bakuli,nouns,0.0
82,马,farasi wa kiume,nouns,3.73
83,骑,kuendesha,verbs,0.18
84,雾,wingu,nouns,3.17
85,苔藓,nyasi,nouns,1.57
86,抽屉,nguo,nouns,0.39
87,衣服,jaketi,nouns,3.24
88,年轻,mwenye furaha,adjectives,0.15
89,灰濛蒙,kivuli cha mawingu,nouns,0.2
90,拒绝,kupa,verbs,0.05
91,学生,mwanafunzi,nouns,0.78
92,恶意软件,programu hatarishi,nouns,0.51
93,宪法,katiba,nouns,0.48
94,肚子,njia,nouns,0.05
95,犯罪,uhalifu,nouns,0.96
96,海滩,kisiwa,nouns,0.98
97,怪兽,pepo,nouns,2.12
98,踢,kupiga,verbs,0.41
99,数字,tarakimu,nouns,5.07
100,羞愧,mwenye kiasi,adjectives,0.18
101,勺子,kikombe,nouns,0.39
102,炒,kukaanga,verbs,1.35
103,猫,simba,nouns,0.76
104,极好,ana hasira,adjectives,0.18
105,手臂,misuli,nouns,0.74
106,欠,kuingia,verbs,0.0
107,幸福,amani,nouns,1.83
108,父亲,mtoto wa kike,nouns,0.19
109,辩解,kuhakikisha,verbs,0.33
110,装饰,ukuta,nouns,0.47
111,基本上,kimsingi,adverbs,0.23
112,艺术品,mchoro,nouns,0.81
113,覆盖着的,funikwa,adjectives,0.19
114,指控,kushtaki,verbs,1.11
115,费用,mshahara,nouns,0.6
116,空出,kuondoka,verbs,0.23
117,傍晚,machweo,nouns,5.38
118,牛仔裤,jinzi,nouns,0.04
119,门,undugu,nouns,0.0
120,驱逐,kufukuza,verbs,0.23
121,女孩,mfanyakazi wa nyumbani,nouns,1.35
122,成为,kufanikisha,verbs,0.67
123,困难,bila jasho,adjectives,0.12
124,田,uwanja,nouns,0.23
125,撞击,kugongana,verbs,3.44
126,音节,silabu,nouns,0.7
127,带来,kulalamika,verbs,0.14
128,光线电话机,picha,nouns,0.0
129,轻信,kukubali kirahisi,adjectives,0.18
130,忽略,kuuliza,verbs,0.14
131,子程序,subroutine,nouns,0.36
132,可能,inawezekana,adverbs,0.68
133,存在,mshindi,nouns,0.05
134,讨论,kueleza,verbs,1.75
135,发现,kufanya utafiti,verbs,2.71
136,航空,safari ya angani,nouns,3.35
137,成年人,mzazi,nouns,2.94
138,快乐,mwenye furaha,adjectives,5.22
139,成为,kujitokeza,verbs,0.78
140,搏斗,pigana,verbs,1.01
141,酒,divai,nouns,3.96
142,乱七八糟,chafu,adjectives,0.14
143,开朗,inayotoka,adjectives,0.59
144,甘蔗,muwa,nouns,0.0
145,讨厌,chukia,verbs,0.18
146,成长,kupanua,verbs,1.25
147,柠檬,chai,nouns,0.15
148,一分钱,mke,nouns,0.18
149,搜索,tafuta,verbs,0.83
150,离开,kuchukua,verbs,0.0
151,上校,daktari wa meno,nouns,0.14
152,丈夫,mke,nouns,0.34
153,来,kwenda,verbs,0.28
154,奖章,medali,nouns,0.34
155,分子,atomu,nouns,2.58
156,亲王国,mfalme,nouns,1.83
157,做,kuchuma,verbs,0.38
158,喜爱,kufurahia,verbs,0.09
159,离开,kubaki,verbs,0.14
160,静脉,chaguo,nouns,0.1
161,律师,mfanyakazi wa benki,nouns,0.34
162,争论,kupinga,verbs,0.09
163,简单,ngumu,adjectives,0.1
164,联合,changanya,nouns,0.0
165,意见,chaguo,nouns,1.35
166,缺乏信心,sio salama,adjectives,0.04
167,稍微地,mara kwa mara,adverbs,1.25
168,成功,kufeli,verbs,0.23
169,留,kupata,verbs,0.15
170,傻笑,kukenua,verbs,3.19
171,老师,mwalimu,nouns,0.78
172,站立,kusimama,verbs,0.23
173,剑,sime,nouns,0.23
174,传说,hadithi,nouns,0.0
175,自行车,chumba cha kulala,nouns,0.0
176,皇帝,mtawala,nouns,0.2
177,洞察力,akili,nouns,2.53
178,背景,mandharinyuma,nouns,2.35
179,记得,kukumbuka,verbs,1.03
180,箭头,lengo,nouns,0.71
181,弱,dhaifu,adjectives,0.0
182,放走,kukutolewa,verbs,0.14
183,海军,jeshi,nouns,3.86
184,求情,kuuliza,verbs,0.83
185,肌肉,mfupa,nouns,0.43
186,摔碎,kuharibu,verbs,3.71
187,灵活,flexibo,adjectives,0.53
188,戏法,kuoga,nouns,0.0
189,提醒,kuuza,verbs,0.0
190,嫌疑人,mshukiwa,nouns,0.28
191,手套,mpira,nouns,0.79
192,锚,boti,nouns,0.78
193,打扰,kusumbua,verbs,0.0
194,偏见,ubaguzi,nouns,1.69
195,选择,mshipa,nouns,0.1
196,歌剧,opera,nouns,1.1
197,明亮地,kwa ukali,adverbs,0.0
198,需求,hitaji,verbs,0.14
199,象征,ishara,nouns,4.45
200,词元,lemma,nouns,0.7
201,埋葬,kuzikwa,verbs,1.99
202,日历,tarehe,nouns,3.12
203,男人,undugu,nouns,1.08
204,忽略,kufanya utafiti,verbs,0.05
205,笔直,nyooka,adjectives,0.19
206,地区,mkoa,nouns,4.69
207,探索,kugundua,verbs,2.71
208,使惊奇,kushangaza,verbs,0.23
209,保护,kuweka,verbs,0.24
210,女人,mke,nouns,3.59
211,电梯,nyanyua,verbs,0.97
212,完成,kumaliza,verbs,0.91
213,推荐,kukubali,verbs,0.39
214,描绘,kuamua,verbs,0.05
215,必须,muhimu,adjectives,3.31
216,非法,haramu,adjectives,0.19
217,渴,kua na kiu,adjectives,1.11
218,蝴蝶,kipepeo,nouns,0.33
219,跑,kimbia,verbs,0.18
220,自由,uhuru,nouns,0.12
221,复杂,kisasa,adjectives,0.23
222,有趣,mwenye huzuni,adjectives,0.1
223,朋友,mwalimu,nouns,0.61
224,购买,kupata,verbs,0.56
225,申请,maombi,nouns,1.78
226,原谅,kusahau,verbs,0.57
227,正直地,kwa ,adverbs,0.55
228,坚固地,kiukakamavu,adverbs,0.33
229,灵魂,kaka,nouns,0.05
230,两次,mara mbili,adverbs,0.29
231,页,aya,nouns,0.5
232,危险,tishio,nouns,4.01
233,决定,kuamua,verbs,2.8
234,排球,mpira wa wavu,nouns,3.32
235,纽扣,nguo,nouns,0.53
236,擦亮,kung'arisha,verbs,0.0
237,加剧,kukuza,verbs,0.0
238,伤心地,kwa huzuni,adverbs,1.16
239,木材,gogo,nouns,3.34
240,牛奶,juisi,nouns,0.62
241,字典,neno,nouns,1.07
242,害怕,ogopa,adjectives,0.71
243,沐浴,puto,nouns,0.0
244,伪装,kufunika,verbs,3.55
245,交谈,mawasiliano,nouns,4.81
246,公寓,nyumba,nouns,4.08
247,离开,kuingia,verbs,0.23
248,脚,mguu,nouns,0.04
249,装作,kuonyesha,verbs,0.2
250,复诊,kikao,nouns,0.18
251,金,dhahabu,nouns,0.91
252,偷,kununua,verbs,0.28
253,大炮,mpira,nouns,0.1
254,魔鬼,mungu,nouns,0.04
255,地板,dari,nouns,0.15
256,全球化,utandawazi,nouns,0.41
257,失去,kupata,verbs,0.28
258,膝盖,mfupa,nouns,0.88
259,拿,kuiba,verbs,1.05
260,说话,kusikia,verbs,0.43
261,锁匙,kifunguo,nouns,0.0
262,统治者,mtawala,nouns,4.85
263,指甲,mkono,nouns,0.53
264,有时候,mara nyingine,adverbs,1.54
265,战役,ushindi,nouns,0.38
266,老板,bosi,nouns,4.13
267,扫帚,ufagio,nouns,0.38
268,允许,mkubalika,adjectives,2.42
269,晚饭,chakula,nouns,3.46
270,锤,nyundo,nouns,0.0
271,发展,maendeleo,nouns,0.15
272,副手,msaidizi,nouns,0.98
273,海岸,ufuko,nouns,3.08
274,信,aya,nouns,0.34
275,一般,kwa kawaida,adverbs,0.0
276,笨,mjinga,adjectives,2.65
277,棚屋,kibanda,nouns,0.33
278,乘,kujumlisha,verbs,0.57
279,出现,kuwa,verbs,0.78
280,香槟酒,bia,nouns,2.67
281,创新,bunifu,adjectives,4.3
282,频繁,mara kwa mara,adjectives,0.04
283,草,mwani,nouns,1.57
284,分离,kutenganisha,verbs,0.18
285,水,barafu,nouns,2.34
286,赛跑,mbio,nouns,0.0
287,带来,kutuma,verbs,0.1
288,感觉到,kuhisi,verbs,0.71
289,任务,kisiwa,nouns,0.0
290,波浪,wimbi,nouns,0.45
291,特别,makusudi,adverbs,2.6
292,踝,kiwiko,nouns,0.57
293,湖,ziwa,nouns,0.1
294,虚无主义,kutoamini dini,nouns,0.28
295,医生,tabia,nouns,0.0
296,床,kiti,nouns,0.48
297,割礼,tohara,nouns,1.27
298,沙拉,siki,nouns,0.19
299,遇见,kupatana,verbs,0.18
300,认识到,kugundua,verbs,4.51
301,手,kifundo,nouns,1.25
302,盐,maji,nouns,0.33
303,生活方式,mtindo wa maisha,nouns,1.67
304,退休,kustaafu,verbs,1.11
305,头脑,akili,nouns,4.83
306,雨,mvua,nouns,0.61
307,借,kutaka,verbs,0.43
308,贪污,rushwa,nouns,1.63
309,教,kufundisha,verbs,2.61
310,百万富翁,milionea,nouns,0.75
311,歌曲,hadithi,nouns,0.63
312,积极地,kwa juhudi,adverbs,0.52
313,韵律,mahadhi,nouns,0.58
314,组合,mjumuiko,nouns,2.33
315,卧室,kitanda,nouns,0.96
316,问,kusihi,verbs,0.83
317,推,kusukuma,verbs,0.72
318,毛毛虫,kiwavi,nouns,1.35
319,杂乱无章,kutopangilia,verbs,0.18
320,徘徊,kuondoka,verbs,0.39
321,奇特地,kimaajabu,adverbs,3.64
322,才能,uelekevu,nouns,3.54
323,离开,kufika,verbs,0.18
324,房间,kitanda,nouns,0.29
325,谨慎地,kwa usiri,adverbs,0.32
326,煮熟的,pikwa,adjectives,3.27
327,早餐,chakula cha usiku,nouns,0.56
328,肉,steki,nouns,4.5
329,搅拌,koroga,verbs,2.15
330,保护,kuokoa,verbs,1.73
331,知道,kupa,verbs,0.0
332,酸,asidi,nouns,0.39
333,开心,mchanga,adjectives,0.15
334,公共的,hadharani,adjectives,0.09
335,教授,daktari,nouns,0.96
336,新闻,vyombo vya habari,nouns,2.09
337,聚酯纤维,pamba,nouns,0.55
338,不耐烦地,bila subira,adverbs,0.05
339,拒绝,kutoa,verbs,0.36
340,工具,kitendea kazi,nouns,0.88
341,参与,kujiunga,verbs,4.24
342,悲伤,huzuni,nouns,0.1
343,描绘,kujifanya,verbs,0.2
344,相反,kinyume,adjectives,0.14
345,一尘不染,bila doa,adjectives,5.16
346,成熟地,kiukomavu,adverbs,0.55
347,评估,kuchanganua,verbs,4.28
348,副驾驶,rubani msaidizi,nouns,0.04
349,口香糖,fizi,nouns,0.32
350,法官,hakimu,nouns,1.46
351,强调,kusisitiza,adjectives,0.0
352,应用,programu tumishi,nouns,0.0
353,管理,kazi,nouns,0.53
354,干旱,ukame,nouns,0.24
355,高高兴兴,kwa furaha,adverbs,0.32
356,成熟,kukomaa,adjectives,0.23
357,改变,kubadilisha,verbs,4.56
358,蚕,mnyoo wa nyuzi,nouns,1.35
359,咬,uma,verbs,0.0
360,妻子,senti,nouns,0.18
361,枪,bunduki,nouns,0.49
362,腿,mkono,nouns,1.03
363,衬衣,shati,nouns,1.58
364,携带,kuchukua,verbs,3.01
365,毁灭,kujenga,verbs,0.23
366,帽子,sanduku,nouns,0.05
367,拯救,kuokoa,verbs,4.77
368,难看,mbaya,adjectives,0.92
369,锥形蛋筒,kikombe,nouns,0.51
370,恢复,kuleta,verbs,0.7
371,飞机,uwanja wa ndege,nouns,1.4
372,信用,mkopo,nouns,0.91
373,无家可归,wasio na makazi,nouns,0.0
374,公寓,hoteli,nouns,0.67
375,窗帘,nguzo,nouns,0.18
376,威士忌酒,jini,nouns,2.17
377,政府,serikali,nouns,0.0
378,绝望,taabu,nouns,2.33
379,伟大,mbaya,adjectives,0.05
380,妻子,tundu,nouns,0.32
381,援助,kufadhili,verbs,4.27
382,死,kufariki,verbs,1.99
383,尖顶,kanisa dogo,nouns,0.46
384,球,kikapu,nouns,0.2
385,侧面,chini,nouns,0.39
386,伴侣,mpenzi,nouns,4.74
387,派对,watu,nouns,0.34
388,理想地,walau,adverbs,0.44
389,成长,kukua,verbs,1.3
390,头脑,akili,nouns,0.59
391,啤酒,kinywaji,nouns,3.17
392,教堂,kwaya,nouns,0.84
393,哲学家,mphilisophia,nouns,0.0
394,片,kipande,nouns,0.0
395,完成,kuwa,verbs,0.67
396,才能,uwezo,nouns,4.59
397,离开,kupuuza,verbs,0.28
398,到达,kuondoka,verbs,0.18
399,放,kupa,verbs,0.14
400,伞,mwavuli,nouns,0.04
401,智力,ujinga,nouns,0.2
402,真实,enye ukweli,adjectives,0.1
403,污染,angahewa,nouns,0.19
404,表,meza,nouns,0.0
405,妻子,mume,nouns,0.34
406,暖炉,kipasha joto,nouns,0.04
407,棉,plastiki,nouns,0.55
408,很少地,nadra,adverbs,0.18
409,祈祷,kuwasiliana,verbs,0.47
410,数学家,mwanamahesabu,nouns,0.0
411,悲剧,kifo,nouns,2.04
412,香芹,pasile,nouns,0.0
413,火鸡,kuku,nouns,1.58
414,苹果,sosi,nouns,0.14
415,总和,jumla,nouns,1.07
