ID,CMN,YUE,PoS,score
1,悲痛,痛苦,nouns,5.0
2,导演,攝影,nouns,1.23
3,棉,冷衫,nouns,0.64
4,宣告,宣布,verbs,4.5
5,岛,海軍,nouns,0.04
6,车,高速公路,nouns,0.5
7,暗礁,海灘,nouns,0.23
8,脏,黏,adjectives,0.59
9,容易地,舒服地,adverbs,1.23
10,毁灭,殺,verbs,2.77
11,骨头,頸,nouns,0.36
12,年,生日,nouns,0.82
13,工具,工作,nouns,0.32
14,制服,未成形,adjectives,0.0
15,唇,臀部,nouns,0.09
16,气球,人,nouns,0.0
17,肌肉,手臂,nouns,0.86
18,桥,汽車,nouns,0.23
19,啜,大口地吃,verbs,0.46
20,听,聽見,verbs,4.13
21,咖啡,豆,nouns,0.46
22,想像,創建,verbs,0.45
23,大门,門,nouns,5.55
24,有趣,嚴肅,adjectives,0.09
25,默默地,被動地,adverbs,0.64
26,铁,維他命,nouns,0.54
27,字,字典,nouns,0.59
28,神经,腦,nouns,1.46
29,援助,協助,verbs,3.91
30,播放机,教練,nouns,0.0
31,防守,殺,verbs,0.18
32,审判,判決書,nouns,2.37
33,酒,紅酒,nouns,3.59
34,飑,風,nouns,2.77
35,残忍,不公平,adjectives,0.55
36,开始,走,verbs,0.09
37,旅程,征服,nouns,0.32
38,打鼾,醒覺,verbs,0.18
39,蚂蚁,蜜蜂,nouns,1.04
40,艺术品,藝術家,nouns,0.82
41,迷惑,學習,verbs,0.0
42,联合,總數,nouns,0.55
43,新鲜,舊,adjectives,0.09
44,感染,詞性變化,nouns,0.09
45,轻视,輕蔑,adjectives,4.09
46,盒子,資源,nouns,0.04
47,困难,努力,nouns,0.14
48,人群,遊行,nouns,0.68
49,手术,代數,nouns,0.04
50,气旋,颱風,nouns,3.13
51,神圣,珍貴,adjectives,1.31
52,判断,指控,verbs,0.5
53,情侣,一對,nouns,3.22
54,坚硬,密度大,adjectives,2.73
55,屋顶,天花板,nouns,3.23
56,安全地,高高興興地,adverbs,0.54
57,接受,推介,verbs,0.14
58,邮包,貨車,nouns,0.14
59,毯,木,nouns,0.0
60,击中,懲罰,verbs,0.0
61,男人,武士,nouns,0.78
62,数字,細胞質,nouns,0.0
63,选择,挑選,verbs,3.96
