ID,CYM,ENG,PoS,score
1,derbyn,give,verbs,0.09
2,crwm,straight,adjectives,0.13
3,marw,disintegrate,verbs,0.21
4,cell,lock-up,nouns,1.89
5,darogan,assume,verbs,1.06
6,senoffobia,racism,nouns,3.66
7,prynu,steal,verbs,0.17
8,cyffrous,dull,adjectives,0.09
9,dal,release,verbs,0.59
10,penderfynu,choose,verbs,4.22
11,yn ddibynadwy,roughly,adverbs,0.0
12,cwt,shelter,nouns,1.86
13,bowlen,tail,nouns,0.0
14,bwcler,shield,nouns,1.18
15,siriol,delightful,adjectives,2.95
16,cario ,take,verbs,0.81
17,cinio,sandwich,nouns,1.44
18,lluosi,add,verbs,1.29
19,yn ddiweddarach,never,adverbs,0.37
20,yn gryf,officially,adverbs,0.26
21,gwythïen,choice,nouns,0.0
22,tŷ,key,nouns,0.27
23,cerddoriaeth,flute,nouns,1.1
24,ffôn symudol,telephone,nouns,3.97
25,stôl,chair,nouns,2.83
26,cân,ballad,nouns,3.75
27,trin,pay,verbs,0.19
28,yn syml,apparently,adverbs,0.42
29,mawr,flexible,adjectives,0.1
30,yn hanfodol,necessarily,adverbs,4.18
31,pen,nail,nouns,0.05
32,ymennydd,nerve,nouns,0.72
33,parêd,band,nouns,0.72
34,arllwys,drip,verbs,1.69
35,afal,juice,nouns,0.83
36,stoc,asset,nouns,3.47
37,amddiffyn,help,verbs,1.44
38,llygad,tear,nouns,0.53
39,credu,know,verbs,1.95
40,biotop,biology,nouns,0.54
41,traethawd,homework,nouns,2.21
42,llyfr,story,nouns,1.86
43,gwych,awful,adjectives,0.04
44,amsugno,withdraw,verbs,0.4
45,ofnus,shy,adjectives,1.69
46,sero,infinity,nouns,0.31
47,gwahardd,stop,verbs,3.72
48,ymddangos,attend,verbs,0.62
49,orthodontydd,dentist,nouns,3.4
50,dinas,town,nouns,2.77
51,mynydd,ledge,nouns,0.27
52,cliw,word,nouns,0.2
53,senedd,constitution,nouns,0.57
54,yn dawel,naturally,adverbs,0.14
55,siampên,beer,nouns,1.15
56,meddwl,brain,nouns,3.62
57,ewythr,man,nouns,0.84
58,drws,kitchen,nouns,0.14
59,collfarnu,reject,verbs,0.94
60,cyfoeth,poverty,nouns,0.32
61,yn uchel,softly,adverbs,0.04
62,gliniadur,notebook,nouns,0.96
63,cnoi,fight,verbs,0.39
64,yn aml,seldom,adverbs,0.17
65,seren,chapel,nouns,0.82
66,yn afresymol,unfairly,adverbs,3.71
67,gwraig,bath,nouns,0.0
68,anniben,clean,adjectives,0.04
69,crio,weep,verbs,4.63
70,eira,avalanche,nouns,1.42
71,llywydd,pollution,nouns,0.12
72,llygad,brow,nouns,1.07
73,ffug,artificial,adjectives,5.13
74,yn ystyrlon,specially,adverbs,1.56
75,claf,session,nouns,0.07
76,cleddyf,environment,nouns,0.0
77,yn swyddogol,importantly,adverbs,2.15
78,cardigan,shirt,nouns,0.91
79,siaced,sweater,nouns,2.17
80,crwt,daughter,nouns,1.1
81,dychryn,haunt,verbs,1.84
82,bwrdd,sunset,nouns,0.0
83,siarad,acknowledge,verbs,0.37
84,uchel,rude,adjectives,0.44
85,hyblyg,movable,adjectives,2.35
86,to,window,nouns,0.22
87,hysbysu,portray,verbs,0.15
88,perlysieuyn,marijuana,nouns,1.79
89,tywysoges,king,nouns,0.83
90,yn oddefol,reliably,adverbs,0.1
91,rhosyn,butterfly,nouns,0.2
92,gadael,evict,verbs,1.08
93,nyddu,tie,verbs,1.56
94,bisged,princess,nouns,0.0
95,yn gadarn,softly,adverbs,0.2
96,trist,proud,adjectives,0.1
97,cadw,lose,verbs,0.2
98,pen-glin,arm,nouns,0.39
99,hurt,intelligent,adjectives,0.04
100,het,box,nouns,0.04
101,gallu,strength,nouns,2.06
102,rhyfedd,odd,adjectives,4.08
103,haint,illness,nouns,3.99
104,cymryd,decline,verbs,0.09
105,yn gyfeillgar,unlikely,adverbs,0.0
106,niweidio,attack,verbs,2.82
107,yn gyfiawn,maturely,adverbs,0.69
108,balchder,joy,nouns,1.66
109,arbennig,valuable,adjectives,2.27
110,cadlong,battleship,nouns,3.22
111,gwraig,husband,nouns,1.77
112,dianc,flee,verbs,4.89
113,llawr,roof,nouns,0.35
114,plesio,plead,verbs,0.31
115,gwddf,arm,nouns,0.19
116,dyn,warrior,nouns,0.42
117,ymddangos,leave,verbs,0.09
118,cul,slim,adjectives,3.96
119,maint,depth,nouns,1.71
120,rhif,digit,nouns,5.28
121,dygnwch,band,nouns,0.0
122,drôr,clothes,nouns,0.45
123,ffrâm,hit,nouns,0.0
124,cymysgu,dissolve,verbs,1.59
125,difeddiannu,neglect,verbs,0.65
126,garw,frigid,adjectives,0.35
127,eil,hallway,nouns,1.61
128,tâl,payment,nouns,4.09
129,o bosibl,optimistically,adverbs,0.69
130,cyfathrebu,pray,verbs,0.74
131,pleidlais,exit,nouns,0.05
132,mwynhau,hate,verbs,0.0
133,yn wir,importantly,adverbs,0.62
134,sinc,gold,nouns,0.51
135,stondin,telephone,nouns,0.27
136,dewis,opinion,nouns,1.09
137,menyw,jeans,nouns,0.05
138,dillad,jacket,nouns,1.62
139,sinema,television,nouns,1.24
140,dymuno,want,verbs,5.11
141,organ,liver,nouns,1.69
142,rhyfedd,strange,adjectives,4.57
143,arbed,spend,verbs,0.09
144,targed,arrow,nouns,0.49
145,pot,appliance,nouns,0.34
146,rhyddid,liberty,nouns,5.37
147,bodloni,please,verbs,3.35
148,nod,winner,nouns,0.21
149,masarnen,oak,nouns,1.42
150,ecosystem,economy,nouns,0.24
151,heb fod yn ddrud,cheap,adjectives,4.68
152,maddau,accept,verbs,1.0
153,tudalen,paragraph,nouns,0.69
154,reis,chicken,nouns,0.14
155,gwarcheidwad,adult,nouns,1.47
156,gât,door,nouns,2.33
157,rhesymoli,think,verbs,2.8
158,dodrefn,bed,nouns,1.59
159,aseiniad,task,nouns,4.86
160,gwesty,apartment,nouns,0.53
161,dygnwch,flower,nouns,0.1
162,gorllewin,north,nouns,1.05
163,niwroseicoleg,parapsychology,nouns,1.96
164,byth,generously,adverbs,0.0
165,rhuthro,hurry,verbs,5.04
166,yn uchel,subtly,adverbs,0.04
167,amsugno,possess,verbs,0.34
168,hyblyg,large,adjectives,0.1
169,saeth,target,nouns,0.49
170,cinio,soup,nouns,1.19
171,offeryn,violin,nouns,1.89
172,mab,brother,nouns,0.89
173,cab,taxi,nouns,5.7
174,lluwchwynt,rain,nouns,0.79
175,rhoi,steal,verbs,0.09
176,yn wael,humbly,adverbs,0.24
177,cefnder,uncle,nouns,0.45
178,gludiog,wet,adjectives,0.42
179,sffer,ball,nouns,4.39
180,rhesymeg,intelligence,nouns,2.34
181,yn falch,peacefully,adverbs,0.21
182,car,highway,nouns,0.56
183,pellter,perspective,nouns,0.74
184,asgwrn,teeth,nouns,1.44
185,anwybyddu,avoid,verbs,2.98
186,llygredd,president,nouns,0.12
187,glaswellt,root,nouns,0.51
188,cyflwr,home,nouns,0.27
189,diffiniad,dictionary,nouns,1.09
190,deallusrwydd,insight,nouns,2.44
191,ffasiwn,style,nouns,4.65
192,afal,sunshine,nouns,0.0
193,crwydro,roam,verbs,4.38
194,oriel,lawyer,nouns,0.0
195,bioleg,biotope,nouns,0.54
196,sinematograffeg,director,nouns,0.88
197,nant,river,nouns,3.91
198,caws,bread,nouns,0.38
199,cylchfordaith,baggage,nouns,0.07
200,cred,flower,nouns,0.12
201,newydd,unused,adjectives,4.42
202,sylweddol,minor,adjectives,0.04
203,llidiog,hesitant,adjectives,0.05
204,gŵr,wife,nouns,1.77
205,lamp,genie,nouns,0.39
206,cysuro,humiliate,verbs,0.04
207,afal,lemon,nouns,0.76
208,theatr,battery,nouns,0.0
209,tanc,car,nouns,0.71
210,cywilydd,sorrow,nouns,1.19
211,ffensio,gymnastics,nouns,0.58
212,ymbarél,caliber,nouns,0.0
213,bachgen,rice,nouns,0.0
214,ofnadwy,sad,adjectives,1.77
215,byddin,legion,nouns,3.33
216,cymysgu,drink,verbs,0.15
217,cyflawni,receive,verbs,0.14
218,gadael,remain,verbs,0.17
219,carped,house,nouns,0.19
220,yn rheolaidd,occasionally,adverbs,0.92
221,ymgeisydd,winner,nouns,0.79
222,mynd o'r golwg,vanish,verbs,5.27
223,merch,father,nouns,0.48
224,dwywaith,once,adverbs,0.8
225,aren,organ,nouns,2.3
226,ceisio,succeed,verbs,0.83
227,machlud haul,table,nouns,0.0
228,ffidil,instrument,nouns,1.89
229,heno,tomorrow,adverbs,0.32
230,dibynnu ar,rely,verbs,4.58
231,benthyg,give,verbs,2.04
232,diog,busy,adjectives,0.0
233,diflas,secure,adjectives,0.04
234,nos,chapter,nouns,0.0
235,cwrw,beverage,nouns,1.99
236,preifat,personal,adjectives,3.86
237,harmoni,piano,nouns,0.61
238,tasg,highway,nouns,0.0
239,ardal,region,nouns,5.19
240,tywysogaeth,dukedom,nouns,1.88
241,gwawr,day,nouns,1.71
242,hiliaeth,xenophobia,nouns,3.66
243,addoli,admire,verbs,2.42
244,adeiladu,add,verbs,1.24
245,alcohol,brandy,nouns,1.84
246,cyfarfod,swim,verbs,0.27
247,cath,lion,nouns,1.99
248,addurn,envelope,nouns,0.0
249,priodferch,groom,nouns,1.54
250,cerdyn,bridge,nouns,0.0
251,annheg,cruel,adjectives,1.79
252,gwalch,bird,nouns,2.21
253,banc,seat,nouns,0.05
254,plismon,politician,nouns,0.17
255,creulon,nice,adjectives,0.0
256,gwyliau,calendar,nouns,0.46
