ID,CYM,EST,PoS,score
1,cloch,torn,nouns,0.8
2,rhewi,lõdisema,verbs,1.8
3,derbyn,saatma,verbs,0.35
4,enillydd,värav,nouns,0.45
5,cynorthwyo,kaitsma,verbs,1.45
6,rhyddid,vabadus,nouns,5.55
7,gwneuthurio,koostama,verbs,3.3
8,gadael,minema,verbs,1.0
9,dawnsio,kleit,nouns,0.6
10,ffilm,teater,nouns,1.05
11,ystafell wely,jalgratas,nouns,0.05
12,gwawr,relv,nouns,0.05
13,crebachu,kasvama,verbs,0.35
14,amnewidyn,vahetus,nouns,3.25
15,gwn,märkmik,nouns,0.0
16,gwestai,sõber,nouns,1.3
17,bachgen,seisund,nouns,0.05
18,portreadu,teavitama,verbs,0.25
19,tynnu'n ôl,imenduma,verbs,0.45
20,dod yn,näima,verbs,0.9
21,dod yn,organiseerima,verbs,0.35
22,ffrind,semu,nouns,5.4
23,lori,auto,nouns,2.35
24,gadael,alustama,verbs,0.3
25,cyfraniad,pakkumine,nouns,1.9
26,unigryw,vastandlik,adjectives,0.55
27,dinistrio,päästma,verbs,0.2
28,yn ddiffuant,tõsiselt,adverbs,1.55
29,hyblyg,kerge,adjectives,1.2
30,prynu,maksma,verbs,2.55
31,cymysgu,lahustama,verbs,1.2
32,erfyn,laenama,verbs,1.25
33,anghwrtais,vali,adjectives,0.95
34,yn amlwg,ilmselt,adverbs,1.4
35,biliwnydd,kodutu,nouns,0.45
36,yn lleol,ilmselgelt,adverbs,0.05
37,lemwn,õun,nouns,1.15
38,nai,tädi,nouns,1.05
39,sudd,jäätisekokteil,nouns,1.25
40,meddu ar,imenduma,verbs,0.6
41,cegin,uks,nouns,0.35
42,gwresogydd,vihmavari,nouns,0.05
43,llygoden fawr,hiir,nouns,2.75
44,gwneud,juhtuma,verbs,0.8
45,ystafell ddosbarth,koridor,nouns,0.6
46,deallusrwydd,ignorantsus,nouns,0.35
47,llaw,jalg,nouns,0.95
48,rhestr,rivi,nouns,1.25
49,pennu,evakueerima,verbs,0.05
50,map,ruut,nouns,0.3
51,dewis,vangla,nouns,0.2
52,cyffredin,uskumatu,adjectives,0.3
53,oedolyn,imik,nouns,0.55
54,ymuno,koostööd tegema,verbs,1.6
55,dimai,abikaasa (naine),nouns,0.1
56,ceisio,saavutama,verbs,1.0
57,gwrthod,vältima,verbs,2.15
58,priffordd,ülesanne,nouns,0.1
59,gât,uks,nouns,2.6
60,sobr,purjus,adjectives,0.35
61,cyhoeddus,privaatne,adjectives,0.65
62,actor,televisioon,nouns,1.1
63,gadael,uitama,verbs,0.85
64,trosedd,vargus,nouns,2.55
65,agoriad,vahe,nouns,2.15
66,bod mewn dyled,laenama,verbs,1.45
67,hongian,panema,verbs,0.9
68,arian cyfred,vahetus,nouns,0.95
69,sarsiant,relv,nouns,0.65
70,sinema,televisioon,nouns,1.65
71,gweithred,suund,nouns,0.65
72,corws,laulja,nouns,1.2
73,llygad,pisar,nouns,1.15
74,brawd,isa,nouns,1.2
75,gogwyddo,kallutama,verbs,4.05
76,priffordd,auto,nouns,0.95
77,eang,kitsas,adjectives,0.2
78,cred,mulje,nouns,1.3
79,lema,silp,nouns,0.65
80,estron,võõramaalane,nouns,2.85
81,artiffisial,võlts,adjectives,4.75
82,gliniadur,märkmik,nouns,0.8
83,dewis,veen,nouns,0.05
84,modur,paat,nouns,0.7
85,anhrefnu,organiseeritud,verbs,0.4
86,cysylltu,eraldama,verbs,0.2
87,coginio,segama,verbs,0.9
88,yn gyfrinachol,kindlalt,adverbs,0.55
89,mynychu,tulema,verbs,2.4
90,bys,pihk,nouns,0.4
91,diflas,igav,adjectives,2.7
92,yn annheg,põhjendamatult,adverbs,2.9
93,nodadwy,ilmselge,adjectives,3.85
94,yn ystyrlon,spetsiaalselt,adverbs,1.3
95,athletwr,jooksja,nouns,2.8
96,gwisgo,rebima,verbs,0.05
97,yn anarferol,normaalselt,adverbs,0.45
98,ewin,käsi,nouns,1.0
99,dillad,mantel,nouns,1.8
100,ymosodiad,äkkrünnak,nouns,3.65
101,athro,sõber,nouns,0.9
102,polyhedron,näitleja,nouns,0.15
103,tafod,põsk,nouns,0.85
104,ymadael,eraldama,verbs,1.2
105,pwffian chwerthin,naerma,verbs,4.3
106,cyfarch,esinema,verbs,0.15
107,rhesymeg,aritmeetika,nouns,1.2
108,yn oddefol,usaldusväärselt,adverbs,0.3
109,coeden,paat,nouns,0.0
110,yn afreolaidd,tavaliselt,adverbs,0.25
111,wedi blino,igav,adjectives,1.1
112,trafferthu,solvama,verbs,0.6
113,fioled,lill,nouns,1.75
114,bwlch,sigar,nouns,0.25
115,bydysawd,taevas,nouns,1.35
116,efelychiad,robootika,nouns,0.85
117,arweinydd,juhataja,nouns,4.0
118,flwyddyn,sajand,nouns,1.4
119,absenoldeb,kohalolek,nouns,0.9
120,barnu,süüdistama,verbs,2.85
121,fel arfer,siiralt,adverbs,0.7
122,cyfalaf,raha,nouns,3.3
123,cwrs,kõht,nouns,0.05
124,hawdd,keeruline,adjectives,0.3
125,côn,tass,nouns,0.35
126,teithio,minema,verbs,2.2
127,mynd,reisima,verbs,2.2
128,tafod,lihas,nouns,1.3
129,wythnos,nädalavahetus,nouns,1.5
130,pêl-foli,pall,nouns,2.35
131,osgoi,tagasi lükkama,verbs,1.65
132,theori,teoreem,nouns,2.95
133,lleihau,piirama,verbs,3.55
134,blanced ,voodi,nouns,1.15
135,gwn,trikk,nouns,0.2
136,amlen,kaunistus,nouns,0.25
137,meddal,vägivaldne,adjectives,0.0
138,bwriad,tahe,nouns,2.95
139,berwi,praadima,verbs,1.0
140,ffenestr,pilv,nouns,0.15
141,mêr,veri,nouns,0.9
142,claddedigaeth,surm,nouns,1.55
143,barn,eelarvamus,nouns,2.5
144,newid,muutma,verbs,2.85
145,gorlethu,lämmatama,verbs,2.45
146,dadlau,nõudma,verbs,1.7
147,realiti,fantaasia,nouns,0.75
148,cythraul,koletis,nouns,3.05
149,glaw mân,vihm,nouns,3.9
150,reidio,jooksma,verbs,0.45
151,cryndod,maavärin,nouns,2.9
152,roboteg,simulatsioon,nouns,0.85
153,lifft,auto,nouns,0.45
154,dyn,võitja,nouns,0.35
155,pylu,kuluma,verbs,2.0
156,ymdrechu,välistama,verbs,0.15
157,parti,rahvas,nouns,0.95
158,gwawr,öö,nouns,1.0
159,ystafell wely,vannituba,nouns,1.65
160,arbed,kulutama,verbs,0.45
161,aderyn,kalkun,nouns,2.45
162,yfed,segama,verbs,0.45
163,athronydd,võidusõit,nouns,0.0
164,siwmper,puuvill,nouns,0.7
165,piston,mootor,nouns,2.15
166,cnoi,lugema,verbs,0.1
167,rheiddiadur,andur,nouns,0.2
168,strwythur,topoloogia,nouns,1.5
169,llaw,pöial,nouns,1.3
170,potel,klaaspurk,nouns,2.65
171,coridor,esik,nouns,4.15
172,yn ddiweddarach,mitte kunagi,adverbs,0.15
173,byth,ausalt,adverbs,0.0
174,adeilad,tuba,nouns,1.4
175,newyddion,klatš,nouns,2.5
176,enillydd,kohalolek,nouns,0.35
177,wedi'i goginio,keedetud,adjectives,1.5
178,papur,papp,nouns,2.55
179,fel arfer,ebaregulaarselt,adverbs,0.25
180,hiliaeth,ksenofoobia,nouns,3.5
181,amddiffyn,tapma,verbs,0.6
182,cebl,kabel,nouns,0.0
183,arholiad,õppekava,nouns,0.8
184,gwthio,tõmbama,verbs,0.35
185,deall,teadma,verbs,2.7
186,angerdd,emotsioon,nouns,3.9
187,goleddfu,mõjutama,verbs,4.05
188,derbyn,soovitama,verbs,0.45
189,batri,teater,nouns,0.2
190,mynychu,ilmuma,verbs,0.95
191,beirniadaeth,väide,nouns,1.4
192,hafaliad,valem,nouns,3.6
193,treial,test,nouns,4.35
194,cosbi,alluma,verbs,0.5
195,creadigol,innovatiivne,adjectives,3.15
196,band,orkester,nouns,3.2
197,magma,vulkaan,nouns,1.95
198,dwyn,ostma,verbs,0.35
199,terfysg,joonistus,nouns,0.05
200,llywydd,linnapea,nouns,1.55
201,jar,pudel,nouns,2.65
202,dadl,arutelu,nouns,3.1
203,crensian,naksama,verbs,1.35
204,blaengroen,ümberlõikus,nouns,1.15
205,prifysgol,ülikoolilinnak,nouns,1.6
206,eilradd,oluline,adjectives,0.3
207,lindys,siidiuss,nouns,2.35
208,gwddf,käsi,nouns,0.6
209,di-fau,puhas,adjectives,3.7
210,dwywaith,üks kord,adverbs,0.7
211,brenin,pritsess,nouns,1.15
212,twr,kell,nouns,0.8
213,yn amlwg,kindlalt,adverbs,2.75
214,yn ddigynnwrf,tugevalt,adverbs,0.9
215,top,külg,nouns,0.65
216,asgwrn,kael,nouns,0.55
217,sglodion,kursor,nouns,0.2
218,gadael,ignoreerima,verbs,1.35
219,cyfoeth,kuulsus,nouns,0.9
220,anghwrtais,agressivne,adjectives,1.85
221,yn ddiogel,õnnelikult,adverbs,0.8
222,cleddyf,keskkond,nouns,0.0
223,benthyg,paluma,verbs,1.25
224,miliwnydd,dollar,nouns,0.8
225,hyblyg,tagasihoidlik,adjectives,0.55
226,ymuno,lisama,verbs,1.35
227,bryn,kalju,nouns,1.85
228,lladd,kaitsma,verbs,0.6
229,ethol,määrama,verbs,2.7
230,troelli,segunema,verbs,2.3
231,ffraeo,ratsionaliseerima,verbs,0.85
232,beibl,raamat,nouns,1.75
233,brest,keha,nouns,1.45
234,tasg,naine,nouns,0.05
235,gwerthuso,analüüsima,verbs,3.5
236,afal,mahl,nouns,1.3
237,yn bennaf,enamasti,adverbs,3.45
238,offeiriad,prohvet,nouns,1.45
239,ffwr,naarits,nouns,2.8
240,llidiog,kahtlev,adjectives,0.3
241,car,automobiil,nouns,5.0
242,cyflwr,kodu,nouns,0.3
243,yn anaml,tihti,adverbs,0.35
244,maer,pealik,nouns,1.65
245,derbyn,eitama,verbs,0.25
246,yn ddigynnwrf,õrnalt,adverbs,1.3
247,miniog,nüri,adjectives,0.45
248,cynghori,soovitama,verbs,4.3
249,trefnu,korraldama,verbs,5.65
250,theatr,patarei,nouns,0.2
251,ffrog,tants,nouns,0.6
252,yn ddibynadwy,vastutustundlikult,adverbs,3.8
253,lemwn,tee,nouns,0.65
254,weithiau,tihti,adverbs,0.55
255,cyfathrebu,vestlus,nouns,3.9
256,gwyliau,kalender,nouns,0.9
257,ael,silm,nouns,1.25
258,anelu,tabama,verbs,1.55
259,papur,poster,nouns,1.4
260,yn gyfiawn,küpselt,adverbs,0.7
261,wedi ei orchuddio,katteta,adjectives,0.25
262,cymhwysedd,võimekus,nouns,4.2
263,gwin,alkohol,nouns,2.2
264,presenoldeb,uks,nouns,0.2
265,priodol,pidulik,adjectives,1.1
266,malware,uss,nouns,0.35
267,capel,kaabel,nouns,0.0
268,hapusrwydd,rahu,nouns,1.8
269,adeiladu,lisama,verbs,1.0
270,gwahaniaethu,nõustuma,verbs,0.2
271,yn drist,pööraselt,adverbs,0.4
272,siaced,riided,nouns,1.7
273,mawr,rahvuslik,adjectives,0.75
274,yn gyfeillgar,ebatõenäoline,adverbs,0.0
275,llew,kass,nouns,2.0
276,gyrrwr,piloot,nouns,2.5
277,gair,sõnaraamat,nouns,1.7
278,euog,halb,adjectives,1.3
279,cyfeiliornus,ebausaldusväärne,adjectives,1.0
280,mariwana,maitsetaim,nouns,1.7
281,ystafell wely,voodi,nouns,1.55
282,dyfarniad,kohtumenetlus,nouns,2.0
283,ychwanegu,korrutama,verbs,1.5
284,siarcol,kivisüsi,nouns,2.9
285,swper,hommikusöök,nouns,1.15
286,dadl,kriitika,nouns,1.4
287,cario ,tooma,verbs,2.0
288,gweithiwr,tööandja,nouns,1.05
289,ymadael,ootama,verbs,0.1
290,gwn,koidik,nouns,0.05
291,yn annibynnol,vastutustundlikult,adverbs,0.85
292,corff,aluspesu,nouns,0.5
293,cwmwl,ilm,nouns,1.25
294,ychydig,umbes,adverbs,0.45
295,deallusrwydd,oskus,nouns,1.75
296,rhuthro,kiirustama,verbs,4.9
297,maddau,aktsepteerima,verbs,1.75
298,pîn-afal,nutitelefon,nouns,0.05
299,tynnu'n ôl,pensionile jääma,verbs,0.2
300,diflannu,leidma,verbs,0.4
301,eira,torm,nouns,1.35
302,bara,juust,nouns,0.95
303,blanced,iil,nouns,0.25
304,croen,ratas,nouns,0.1
305,band,vastupidavus,nouns,0.15
306,teledu,näitleja,nouns,1.1
307,iard,toll,nouns,1.1
308,yn rhyfedd,ebatavaliselt,adverbs,4.3
309,enfawr,imepisike,adjectives,0.3
310,prif fwrdd,emaplaat,nouns,3.05
311,pwysig,ülioluline,adjectives,4.0
312,cyfarfod,ujuma,verbs,0.0
313,nenfwd,katus,nouns,3.9
314,emyn,piibel,nouns,0.4
315,tâl,palk,nouns,5.15
316,treisgar,pehme,adjectives,0.0
317,nenfwd,põrand,nouns,0.65
318,harddwch,iga,nouns,0.6
319,derbyn,uskuma,verbs,1.4
320,styden,kutt,nouns,1.05
321,brechdan,lõuna,nouns,1.0
322,asgwrn,lihas,nouns,0.95
323,adfer,parandama,verbs,3.75
324,yn amlwg,kohalikult,adverbs,0.05
325,beibl,hümn,nouns,0.4
326,gwely,magamistuba,nouns,1.55
327,amherchnogi,loobuma,verbs,2.0
328,llenyddiaeth,raamat,nouns,2.35
329,caban,laager,nouns,1.05
330,gwrando,kuulma,verbs,2.95
331,aeddfed,peen,adjectives,1.7
332,saws,õun,nouns,0.4
333,rhifyddeg,loogika,nouns,1.2
334,ffurfiol,kohane,adjectives,1.1
335,gludiog,märg,adjectives,1.05
336,enfawr,suur,adjectives,3.75
337,deiet,õun,nouns,0.65
338,enwaediad,eesnahk,nouns,1.15
339,dynion,korporatsioon,nouns,1.1
340,ychwanegu,jagama,verbs,0.2
341,digwyddiad codi arian,üritus,nouns,1.4
342,deinosor,elevant,nouns,0.5
343,cerbyd,buss,nouns,2.65
344,codiad haul,päikeseloojang,nouns,1.1
345,curo,segama,verbs,1.4
346,gwely,haigla,nouns,0.95
347,iâr,lind,nouns,2.15
348,gofyn,palvetama,verbs,1.6
349,paraseicoleg,neuropsühholoogia,nouns,1.65
350,plesio,anuma,verbs,0.1
351,pen-blwydd,aasta,nouns,1.05
352,llyfn,terav,adjectives,0.55
353,yn gyfrifol,usaldusväärselt,adverbs,3.8
354,yn realistig,äsja,adverbs,0.15
355,arae,list,nouns,1.25
356,gwybodaeth,raamat,nouns,0.95
357,cymryd,saama,verbs,1.95
358,mam,issi,nouns,1.35
359,rheolaidd,ignorantne,adjectives,0.2
360,anghenus,ebakindel,adjectives,1.25
361,basilica,mosaiik,nouns,0.7
362,ffrâm,tabamus,nouns,0.25
363,bachgen,laps,nouns,1.65
