ID,CYM,FIN,PoS,score
1,menyn,peruna,nouns,0.5
2,degawd,vuosisata,nouns,0.9
3,yn fanwl gywir,väärä,adjectives,0.1
4,gitâr,taimen,nouns,0.0
5,danfon,laukaista,verbs,1.65
6,pêl-fasged,pesäpallo,nouns,2.15
7,cân,balladi,nouns,4.25
8,dal gafael,pitää,verbs,4.3
9,brandi,alkoholi,nouns,2.55
10,dadlau,suostutella,verbs,1.2
11,sgriblo,kirjoittaa,verbs,3.2
12,byth,myöhemmin,adverbs,0.7
13,anghwrtais,kriittinen,adjectives,0.85
14,steil,muoti,nouns,4.35
15,gwefrydd,levy,nouns,0.05
16,sigâr,laatikko,nouns,0.15
17,byd,maapallo,nouns,4.5
18,dweud,varmistaa,verbs,0.65
19,gwellt,vaimo,nouns,0.0
20,cydweithredu,ottaa osaa,verbs,2.2
21,ceisio,vakuuttaa ,verbs,0.15
22,cymryd rhan,tehdä yhteistyötä,verbs,2.2
23,pen,nenä,nouns,1.1
24,digon,yltäkylläisyys,nouns,4.75
25,gweinidogaeth,sulttaani,nouns,0.25
26,cell,huone,nouns,1.65
27,dwywaith,kerran,adverbs,0.85
28,herwgipio,varastaa,verbs,2.65
29,cyw iâr,pihvi,nouns,0.85
30,cinio,voileipä,nouns,1.35
31,crys,neuletakki,nouns,1.3
32,gwaed,kurpitsa,nouns,0.3
33,siocled,piirakka,nouns,0.45
34,ystafell ymolchi,keittiö,nouns,1.1
35,glaw,tihkusade,nouns,3.95
36,gwirod,viini,nouns,2.1
37,dinistrio,muodostaa,verbs,0.25
38,roboteg,simulaatio,nouns,0.5
39,pensil,tarina,nouns,0.35
40,symbol,merkki,nouns,4.9
41,creu,kuvitella,verbs,0.9
42,awyren,lentokenttä,nouns,1.45
43,crebachu,kasvaa,verbs,0.25
44,perswadio,kiistellä,verbs,1.2
45,argymell,hyväksyä,verbs,0.8
46,darn,lentokenttä,nouns,0.0
47,hardd,ihmeellinen,adjectives,1.3
48,pryf sidan,toukka,nouns,2.85
49,dinistrio,valmistaa,verbs,0.25
50,deall,tyydyttää,verbs,0.35
51,dosbarth,kaaos,nouns,0.05
52,credu,hyväksyä,verbs,1.3
53,arnofio,laulaa,verbs,0.0
54,yn llachar,kevyesti,adverbs,0.6
55,pobl,ilmapallo,nouns,0.0
56,gwaith cartref,essee,nouns,1.9
