ID,CYM,FRA,PoS,score
1,atgoffa,oublier,verbs,0.8
2,brandi,alcool,nouns,2.95
3,niweidio,taquiner,verbs,1.45
4,disg,chargeur,nouns,0.6
5,ardal,coin,nouns,1.0
6,trallod,désespoir,nouns,3.45
7,synhwyrydd,radiateur,nouns,0.6
8,cynilwr,épargne,nouns,2.6
9,pryderus,apeuré,adjectives,3.7
10,ifanc,heureux,adjectives,0.5
11,asetylocolin,iris,nouns,nan
12,seren,intensité,nouns,1.2
13,yn feddal,fermement,adverbs,0.9
14,sleid,pointeur,nouns,0.1
15,llymeitio,engloutir,verbs,2.4
16,wisgi,gin,nouns,2.6
17,gwm,menthe,nouns,0.7
18,ifanc,agité,adjectives,0.75
19,menyw,tâche,nouns,0.05
20,cloch,tour,nouns,0.95
21,hyfforddwyr,médaille,nouns,0.4
22,sobr,rationnel,adjectives,1.45
23,bowlen,ruelle,nouns,0.0
24,emosiwn,humeur,nouns,3.1
25,hanesyddiaethwr,historien,nouns,3.6
26,rheolaidd,ignorant,adjectives,0.45
27,dawnsio,robe,nouns,0.6
28,ennill,réussir,verbs,4.35
29,aneglur,vague,adjectives,4.95
30,crio,sangloter,verbs,3.05
31,amrwd,laid,adjectives,0.65
32,ofnus,anxieux,adjectives,3.7
33,creulon,agréable,adjectives,0.55
34,ffenestr,cheville,nouns,0.0
35,halen,eau,nouns,0.85
36,ystafell,lit,nouns,0.7
37,ymuno,coopérer,verbs,2.0
38,eira,avalanche,nouns,2.05
39,dweud,exprimer,verbs,4.55
40,homoffon,photophone,nouns,0.4
41,ar unwaith,bientôt,adverbs,2.75
42,claddu,mourir,verbs,1.65
43,gwybodaeth,livre,nouns,1.5
44,mygu,brûler,verbs,1.2
45,sgrîn,phonologie,nouns,0.05
46,bachgen,soldat,nouns,1.1
47,teclyn,pot,nouns,0.05
48,anwybyddu,demander,verbs,0.55
49,injan,machine,nouns,3.65
50,llunio,faire,verbs,4.05
51,erthygl,journal,nouns,3.3
52,yn annaturiol,négativement,adverbs,1.0
53,arnofio,chanter,verbs,0.1
54,torf,défilé,nouns,2.3
55,helmed,arme,nouns,1.35
56,byddin,section,nouns,3.05
57,amhosib,faisable,adjectives,1.2
58,meddu ar,absorber,verbs,0.65
59,torri,démolir,verbs,4.55
60,pâr,couple,nouns,5.85
61,cred,fleur,nouns,0.0
62,dyn,suspect,nouns,1.1
63,trafferthu,aggraver,verbs,0.55
64,caban,chalet,nouns,3.3
