ID,CYM,HEB,PoS,score
1,yn fuan,מיד,adverbs,1.95
2,dadlau,להתווכח,verbs,3.0
3,sero,אינסוף,nouns,0.6
4,ffrind,חבר,nouns,5.25
5,dod yn,להופיע,verbs,0.7
6,harddwch,סונטה,nouns,0.35
7,ffidil,גיטרה,nouns,1.5
8,oedolyn,ילד,nouns,1.1
9,carreg,עץ,nouns,0.45
10,trafod,להסביר,verbs,1.45
11,gwartheg,יוגורט,nouns,0.55
12,yn hyfryd,באלגנטיות,adverbs,2.5
13,awyren,סדין,nouns,0.0
14,tad,גבר,nouns,2.45
15,diffinio,להבהיר,verbs,2.8
16,sgôr,שלב,nouns,1.65
17,olew,מינק,nouns,0.15
18,llenyddiaeth,ספר,nouns,2.1
19,dinas,עיירה,nouns,2.9
20,methu,לדכא,verbs,0.4
21,cicio,לפגוע,verbs,1.5
22,modern,עתיק,adjectives,0.5
23,adeiladu,לחבר,verbs,1.7
24,cynorthwyo,לבקש,verbs,1.05
25,cymryd,לרכוש,verbs,1.25
26,cred,פרח,nouns,0.0
27,yn ystyrlon,במיוחד,adverbs,1.9
28,canwr,מקהלה,nouns,1.35
29,cul,לבן,adjectives,0.0
30,cul,רחב,adjectives,0.55
31,gradd,לימודים,nouns,1.2
32,nerthol,חזק,adjectives,5.0
33,diwydiant,עסק,nouns,1.95
34,awyrennu,טיסה,nouns,3.0
35,rhoi,להשאיל,verbs,1.75
36,archeoleg,אנתרופולוגיה,nouns,1.75
37,dod yn,לעשות,verbs,0.4
38,trwyn,פה,nouns,0.9
39,rhagolwg,מעונן,nouns,0.65
40,diferu,לשפוך,verbs,2.35
41,gwerddon,חופש,nouns,0.6
42,injan,שסתום,nouns,2.15
43,amherchnogi,לתת,verbs,0.95
44,hapusrwydd,עצב,nouns,0.75
45,cynddaredd,כעס,nouns,4.45
46,band,ליקר,nouns,0.0
47,euog,רע,adjectives,1.05
48,hurt,עצום,adjectives,0.1
49,niwl,ענן,nouns,2.85
50,adeilad,חדר,nouns,1.25
51,tric,משחק,nouns,1.25
52,rhyddid,צנזורה,nouns,0.55
53,gyrrwr,טייס,nouns,2.7
54,baner,חקר דגלים,nouns,1.05
55,ochr,תחתית,nouns,1.35
56,blaengau,לשאוף,verbs,0.25
57,cerddoriaeth,חליל,nouns,1.3
58,cymysgu,לשתות,verbs,0.6
59,corff,גב,nouns,1.15
60,cinio,כריך,nouns,1.35
61,tagu,להרוג,verbs,1.9
62,poenus,מובך,adjectives,0.7
63,cynghori,להציע,verbs,3.25
64,dosbarth,מכללה,nouns,1.3
65,drwm,גיטרה,nouns,1.55
66,ceg,אף,nouns,0.9
67,dwyn,לרכוש,verbs,1.2
68,dinistrio,ליצור,verbs,0.55
69,car,רחוב,nouns,0.9
70,sbeislyd,טוב,adjectives,0.45
71,awdur,קורא,nouns,0.8
72,anwybodaeth,אינטליגנציה,nouns,0.5
73,pwyll,דאגה,nouns,2.8
74,aren,איבר,nouns,2.35
75,pryd bwyd,מותן,nouns,0.4
76,asgwrn,שריר,nouns,0.7
77,gwrthod,לשקר,verbs,0.8
78,dynion,אחוה,nouns,1.05
79,osgoi,לדחות,verbs,1.05
80,bol,כרס,nouns,4.45
81,dyweddïad,פגישה,nouns,0.45
82,cynhwysydd,עכבר,nouns,0.0
83,cyfansoddwr,סופר,nouns,2.6
84,glofa,סלע,nouns,0.95
85,menyw,גבר,nouns,0.9
86,wagen,כרכרה,nouns,3.85
87,popcorn,קולנוע,nouns,0.85
88,traeth,שונית,nouns,1.35
89,afal,ממתק,nouns,0.75
90,yn naturiol,בשקט,adverbs,0.3
91,diflas,מלהיב,adjectives,0.5
92,sillaf,למה,nouns,0.7
93,sgrechian,לצרוח,verbs,4.1
94,swyddog,סגן,nouns,1.6
95,gorynys,אי,nouns,2.65
96,rhewi,לרעוד,verbs,1.75
97,gwin,ליקר,nouns,1.75
98,aflonydd,צעיר,adjectives,0.35
99,cig,סטייק,nouns,3.3
100,dadlau,לדרוש,verbs,1.35
101,athro,תלמיד,nouns,1.1
102,yn realistig,באופן אידיאלי,adverbs,0.95
103,yr un peth,דומה,adjectives,4.3
104,tywynnu,לפזול,verbs,0.75
105,pobl,סנט,nouns,0.65
106,machlud haul,שולחן,nouns,0.0
107,ysgubor,בית,nouns,0.85
108,cath,ארנב,nouns,1.15
109,yn feirniadol,בעצם,adverbs,0.0
110,drysu,ללמוד,verbs,0.3
111,yn wreiddiol,באופן יצירתי,adverbs,1.05
112,gwaith llaw,מסורת,nouns,0.6
113,gallu,כשירות,nouns,4.25
114,dysgu,לאמוד,verbs,0.6
115,gwrando,לציית,verbs,2.35
116,dosbarthu,לקחת,verbs,0.65
117,liberti,חרות,nouns,5.55
118,ysgwydd,גוף,nouns,1.15
119,yn feddal,בנחישות,adverbs,0.4
120,planhigyn,חקלאות,nouns,1.15
121,crosio,מדים,nouns,0.15
122,pen,כתף,nouns,1.15
123,deallusrwydd,תובנה,nouns,2.4
