ID,CYM,POL,PoS,score
1,traethu,przypomnieć,verbs,0.9
2,gadael,spotykać,verbs,0.05
3,bws,pojazd,nouns,3.2
4,poeni,marnować,verbs,0.0
5,meddyg,profesor,nouns,0.95
6,cyhyrau,kość,nouns,0.25
7,cyntedd,klasa,nouns,0.35
8,disg,ładowarka,nouns,0.2
9,mynegi,powiedzieć,verbs,3.65
10,tenau,smukły,adjectives,4.6
11,cystadlu,skończyć,verbs,0.05
12,ffôn clyfar,ananas,nouns,0.0
13,tad,syn,nouns,1.0
14,gwely,sypialnia,nouns,1.75
15,siaced,sweter,nouns,1.3
16,ymuno,nabyć,verbs,0.2
17,dirprwy,funkcjonariusz,nouns,1.2
18,gweithiwr,pracodawca,nouns,0.6
19,chwydu,zamykać,verbs,0.0
20,pencampwr,zwycięzca,nouns,5.05
21,bwyd,program,nouns,0.05
22,hyblyg,ruchomy,adjectives,1.55
23,gwyliwr,mężczyzna,nouns,0.85
24,amnewid,przywrócić,verbs,0.7
25,ffres,stary,adjectives,0.0
26,gwraidd,trawa,nouns,0.4
27,braich,gałęź,nouns,0.7
28,chwim,szybki,adjectives,5.55
29,carbon,atom,nouns,1.05
30,unig,biedny,adjectives,0.55
31,hyrwyddo,awansować,verbs,2.75
32,gwraig,słoma,nouns,0.0
33,blanced,drewno,nouns,0.0
34,gweddïo,komunikować,verbs,0.6
35,dyn,wojownik,nouns,0.8
36,perl,pieniądze,nouns,0.25
37,parti,ludzie,nouns,0.75
38,democratiaeth,monarchia,nouns,0.45
39,plentynaidd,niemądry,adjectives,2.15
40,lloches,chatka,nouns,2.1
41,cyffredin,zimny,adjectives,0.0
42,sudd,milkshake,nouns,0.9
43,arbed,chronić,verbs,2.95
44,yn hapus,aktywnie,adverbs,0.25
45,cywilydd,pomyślny,adjectives,0.05
46,cig,stek,nouns,3.55
47,arbed,topić,verbs,0.05
48,o ychydig,kompletnie,adverbs,0.15
49,iogwrt,bydło,nouns,0.2
50,cristion,protestant,nouns,1.45
51,madfall,rząd,nouns,0.0
52,sillaf,lemma,nouns,0.15
53,teledu,komunikacja,nouns,1.05
54,alcohol,wino,nouns,2.55
55,caniatáu,erodować,verbs,0.0
56,estrys,sad,nouns,0.0
57,sŵn,rakieta,nouns,0.1
58,map,kwadrat,nouns,0.05
59,ffynnu,próbować,verbs,0.65
60,gwaith cartref,esej,nouns,2.1
61,cyfuniad,unia,nouns,1.65
62,ffrind,gość,nouns,0.9
63,ffenestr,chmura,nouns,0.0
64,pinsio,walnąć,verbs,0.65
65,atgoffa,sprzedawać,verbs,0.0
66,yn negyddol,nienaturalnie,adverbs,0.4
