ID,CYM,RUS,PoS,score
1,braich,шея,nouns,0.45
2,pen,нос,nouns,0.85
3,chwilio,странствовать,verbs,1.6
4,brwydro,укусить,verbs,0.4
5,glaswellt,корень,nouns,0.55
6,brechdan,мясо,nouns,0.5
7,mynnu,выговаривать,verbs,0.4
8,cwmwl,окно,nouns,0.2
9,gwraig,ванна,nouns,0.0
10,arloeswr,лучник,nouns,0.35
11,carchariad,клетка,nouns,1.35
12,rhyfedd,обычный,adjectives,0.05
13,ffôn clyfar,ананас,nouns,0.0
14,gwraig,господин,nouns,1.2
15,gwneud,создавать,verbs,4.55
16,dyn,воин,nouns,0.85
17,yn amlwg,благоразумно,adverbs,0.25
18,yn anhygoel,удивительно,adverbs,3.7
19,dadlau,посещать,verbs,0.0
20,dwyn,приобретать,verbs,0.6
21,symbol,криптограмма,nouns,2.2
22,parsel,грузовик,nouns,0.5
23,tlodi,богатство,nouns,0.3
24,cadw,оставаться,verbs,0.65
25,annisgwyl,непредвиденный,adjectives,4.9
26,tynnu,толкать,verbs,0.35
27,crosio,форма,nouns,0.2
28,bawd,кисть,nouns,1.05
29,sanctaidd,драгоценный,adjectives,1.95
30,terfyn,граница,nouns,4.25
31,yn hawdd,удобно,adverbs,1.4
32,digid,число,nouns,5.0
33,rhesymol,трезвый,adjectives,1.95
34,gwn,мех,nouns,0.1
35,coch,синий,adjectives,0.4
36,gwaed,мозг,nouns,0.6
37,aderyn,индейка,nouns,2.45
38,archwilio,исследовать,verbs,4.3
39,gwyn,узкий,adjectives,0.0
40,dibynnu,провалиться,verbs,0.15
41,ceffyl,бык,nouns,0.75
42,enillydd,кандидат,nouns,0.8
43,dirmygu,обвинять,verbs,0.15
44,athletwr,бегун,nouns,2.45
45,sglodion,курсор,nouns,0.1
46,wedi'i ferwi,варёный,adjectives,2.4
47,dilyniant,камера,nouns,0.0
48,morthwyl,зубы,nouns,0.05
49,ffrâm,удар,nouns,0.0
50,crio,смеяться,verbs,0.1
51,cardbord,бумага,nouns,2.55
52,actor,телевидение,nouns,1.0
53,dinas,городок,nouns,2.9
54,dyn,охранник,nouns,0.85
55,duw,дух,nouns,1.7
56,cyfrifiadur,машина,nouns,1.65
57,gadael,встретить,verbs,0.05
58,sioe,математик,nouns,0.0
59,caets,пруток,nouns,0.1
60,awst,месяц,nouns,2.45
61,ysgwydd,голова,nouns,0.75
62,hurt,огромный,adjectives,0.0
63,tagu,убивать,verbs,1.85
64,partner,парень,nouns,1.35
65,eira,лёд,nouns,2.7
66,hyfforddwr,учитель,nouns,4.65
67,tasg,автострада,nouns,0.1
68,yn beryglus,внимательно,adverbs,0.15
69,hurt,сообразительный,adjectives,0.15
70,busnes,корпорация,nouns,3.05
71,eglwys gadeiriol,потолок,nouns,0.2
72,sinema,попкорн,nouns,0.9
73,hwyl,игра,nouns,1.3
74,sgwrs,общение,nouns,4.5
75,plesio,развлекать,verbs,1.3
76,trychineb,смерть,nouns,1.55
77,gwybod,понимать,verbs,1.65
78,traethu,напоминать,verbs,0.7
79,rhyfedd,необычный,adjectives,3.6
80,caniatáu,утвердить,verbs,2.7
81,mynd,продавать,verbs,0.4
82,yn nerfus,тревожно,adverbs,3.25
83,tafod,мускул,nouns,1.3
84,mynychu,появляться,verbs,0.9
85,canolig,незначительный,adjectives,0.6
86,beirniadaeth,спор,nouns,1.35
87,dugiaeth,княжество,nouns,2.0
88,perygl,угроза,nouns,4.3
89,dinistrio,разлагаться,verbs,0.95
90,minc,мех,nouns,2.3
91,main,узкий,adjectives,3.1
92,galaeth,астроном,nouns,0.9
93,gwellt,задача,nouns,0.05
94,claddu,умереть,verbs,0.95
95,rhewi,дрожать,verbs,1.55
96,drwm,гитара,nouns,0.95
97,blawd,хлеб,nouns,1.15
98,bioleg,биотоп,nouns,0.5
99,arolygu,изучать,verbs,3.3
100,dal,получать,verbs,1.2
101,cyhuddo,судить,verbs,2.85
102,palmwydd,палец,nouns,0.5
103,cael,оставаться,verbs,0.0
104,twp,доверчивый,adjectives,0.75
105,hysbysu,признавать,verbs,0.6
106,hapusrwydd,умиротворенность,nouns,1.6
107,gwanwyn,гейзер,nouns,0.1
108,yn uchel,мягко,adverbs,0.0
109,chwyrnu,проснуться,verbs,0.2
110,canu,смеяться,verbs,0.3
111,clywed,воспринимать,verbs,1.05
112,newydd,старый,adjectives,0.1
113,lleihau,ограничивать,verbs,2.95
114,carchar,выбор,nouns,0.0
115,i ffwrdd,домой,adverbs,0.3
116,priodfab,невеста,nouns,1.35
117,amgylchiad,ситуация,nouns,4.65
118,anhrefn,урок,nouns,0.15
119,cywilydd,расстроенный,adjectives,0.6
120,ymddengys,становиться,verbs,1.25
121,yn fawr,ярко,adverbs,0.65
122,gwellt,жена,nouns,0.0
123,benthyg,хотеть,verbs,0.1
124,ymofyn,искать,verbs,0.55
125,cwrw,шампанское,nouns,1.2
126,cynorthwyo,просить,verbs,0.25
127,injan,мотор,nouns,4.4
128,gwresogydd,зонтик,nouns,0.0
129,symudol,гибкий,adjectives,1.45
130,gwyddoniadur,словарь,nouns,1.8
131,car,автострада,nouns,0.95
132,bws,автотранспорт,nouns,2.45
133,yn ddelfrydol,механически,adverbs,0.05
134,dinistrio,строить,verbs,0.05
135,madfall,змея,nouns,1.2
136,seren,планета,nouns,2.4
137,bachgen,ребенок,nouns,1.9
138,geiriadur,слово,nouns,1.25
139,tudalen,абзац,nouns,0.8
140,gwallgof,ужасный,adjectives,0.3
141,newydd,недавний,adjectives,2.45
142,goresgyn,доминировать,verbs,2.6
143,sobr,рациональный,adjectives,1.95
144,yn ysgafn,любезно,adverbs,0.7
145,dyn,победитель,nouns,0.55
146,duw,священник,nouns,0.95
147,casglu,решать,verbs,1.0
148,brwnt,липкий,adjectives,1.2
149,diog,драгоценный,adjectives,0.0
150,uchder,преобразование,nouns,0.0
151,dewis,хотеть,verbs,0.85
152,gogledd,юг,nouns,0.6
153,gwybodaeth,книга,nouns,1.1
154,cytundeb,спор,nouns,0.3
155,llwyddo,пытаться,verbs,0.6
156,difetha,нюхать,verbs,0.0
157,rhedeg,ездить,verbs,0.25
158,rhoi,разрешать,verbs,1.3
159,yn wir,совершенно,adverbs,1.35
160,dyweddïo,жениться,verbs,1.45
161,sant,грешник,nouns,0.5
162,trefnu,становиться,verbs,0.15
163,harddwch,возраст,nouns,0.5
164,cyfrifiadur,диск,nouns,1.1
165,disgybl,учащийся,nouns,5.15
166,cynfas,самолет,nouns,0.0
167,arbed,выручать,verbs,4.5
168,eisiau,выбирать,verbs,0.85
169,castell,стена,nouns,0.6
170,heulwen,луч,nouns,1.85
171,ffidil,инструмент,nouns,2.45
172,plymio,создавать,verbs,0.0
173,yn graff,зрело,adverbs,0.55
174,log,дерево,nouns,3.5
175,maddau,забывать,verbs,1.25
176,bod mewn dyled,одалживать,verbs,1.6
177,ceg,губа,nouns,1.95
178,cyflog,деньги,nouns,2.85
179,dod â,жаловаться,verbs,0.1
180,cyfuniad,соединение,nouns,2.4
181,cadno,гончая,nouns,0.55
182,wedi'i goginio,кипячёный,adjectives,2.4
183,yn ddibynadwy,пассивно,adverbs,0.1
184,afal,сладость,nouns,0.55
185,cyfarfod,приветствовать,verbs,1.55
186,gwraidd,трава,nouns,0.55
187,corff,позвоночник,nouns,0.95
188,anaml,обычно,adverbs,0.05
189,cwtsh,обнимать,verbs,3.25
190,rhannu,складывать,verbs,0.1
191,pleidlais,выход,nouns,0.05
192,ffrio,печь,verbs,1.35
193,bedd,перезахоронения,nouns,1.25
194,meddu ,хранить,verbs,2.1
195,rhoi,вкладывать,verbs,1.0
196,newyddion,редакционный,nouns,0.7
197,pwerus,слабый,adjectives,0.05
198,dde,правосудие,nouns,0.65
199,annheg,жестокий,adjectives,1.8
200,benthyg,задолжать,verbs,1.6
201,llunio,делать,verbs,3.45
202,pencampwr,победитель,nouns,5.05
203,brandi,вино,nouns,1.2
204,stumog,курс,nouns,0.1
205,corws,певец,nouns,1.25
206,bywyd wedi marwolaeth,чистилище,nouns,1.85
207,bachgen,ребенок,nouns,2.35
208,perygl,болезнь,nouns,0.4
209,o ddifrif,искренне,adverbs,0.85
210,annog,отговаривать,verbs,0.05
211,holi,искать,verbs,0.95
212,llygoden,контейнер,nouns,0.0
213,merch,отец,nouns,0.85
214,rhyddid,оазис,nouns,0.45
215,ffordd,шоссе,nouns,4.35
216,byr,длинный,adjectives,0.1
217,maer,президент,nouns,1.4
218,dodrefn,квартира,nouns,0.75
219,cyfuniad,сахарный тростник,nouns,0.1
220,blwch,источник,nouns,0.0
221,cyhoeddi,провозглашать,verbs,4.8
222,rhad,грязный,adjectives,0.0
223,cerdd,ритм,nouns,1.3
224,tebyg,подобный,adjectives,5.15
225,dwywaith,один раз,adverbs,0.35
226,rhyfeddol,странный,adjectives,3.1
227,gwirod,вино,nouns,2.05
228,enfawr,тупой,adjectives,0.0
229,yn ofalus,опасно,adverbs,0.15
230,cymryd,нести,verbs,0.5
231,gwartheg,бык,nouns,2.95
232,cwch,автомобиль,nouns,0.7
233,dec,судно,nouns,1.35
234,braich,запястье,nouns,1.3
235,glaswellt,мох,nouns,1.45
236,yn hael,любезно,adverbs,2.55
237,cynghori,рекомендовать,verbs,4.45
238,newynog,иссохший,adjectives,1.35
239,gofyn,помогать,verbs,0.25
240,stopio,контролировать,verbs,0.4
241,bysellfwrdd,свет,nouns,0.0
242,troed,база,nouns,0.6
243,reis,курятина,nouns,0.4
244,disgyn,уменьшаться,verbs,0.55
245,gorsedd,меч,nouns,0.45
246,siwmper,хлопок,nouns,0.55
247,croes,монах,nouns,1.05
248,gwaelod,верх,nouns,0.3
249,archwilio,осматривать,verbs,3.3
250,ysgyfaint,печень,nouns,0.85
251,ffasiwn,форма,nouns,0.4
252,brawd,отец,nouns,0.9
253,ystafell,кровать,nouns,0.5
254,dod yn,казаться,verbs,1.13
255,agoriad,разрыв,nouns,1.2
256,creulon,несправедливый,adjectives,1.8
257,da,пятый,adjectives,0.0
258,pleserdaith,путешествие,nouns,3.7
259,arae,список,nouns,0.9
260,lemwn,чай,nouns,0.8
261,diymhongar,покладистый,adjectives,1.15
262,rhyfelgarwch,бой,nouns,2.0
263,maneg,мяч,nouns,0.1
264,cynhesu,подогрев,nouns,3.4
265,hapus,рассерженный,adjectives,0.05
266,cyw iâr,стейк,nouns,1.0
267,moleciwl,атом,nouns,1.4
268,ardal,угол,nouns,0.45
269,ysgytlaeth,сок,nouns,0.75
270,tŷ,амбар,nouns,0.7
271,tywysogaeth,герцогство,nouns,2.0
272,tywydd,снег,nouns,1.1
273,yn ddiweddar,реалистично,adverbs,0.0
274,arfordir,пляж,nouns,2.2
275,gorffen,решать,verbs,0.95
276,balch,печальный,adjectives,0.15
277,ffatri,автомобиль,nouns,0.25
278,top,бок,nouns,0.4
279,rheolwr,глава,nouns,3.95
280,cerbyd,автобус,nouns,2.45
281,mynd  ,покидать,verbs,1.1
282,plaladdwr,вредитель,nouns,0.9
283,ffa,бекон,nouns,0.2
284,papur newydd,информация,nouns,1.65
285,gwas,рабыня,nouns,2.0
286,beic,кожа,nouns,0.0
287,dimai,жена,nouns,0.05
288,tyfu,сжиматься,verbs,0.05
289,trên,трамвай,nouns,2.45
290,llawr,крыша,nouns,0.5
291,gwirod,группа,nouns,0.15
292,car,подъемник,nouns,0.5
293,plesio,ладить,verbs,1.0
294,edau,пряжа,nouns,3.7
295,diangen,необходимый,adjectives,0.05
296,dydd ,ночь,nouns,0.2
297,amddiffyn,убивать,verbs,0.3
298,ynys,полуостров,nouns,2.1
299,mynd,входить,verbs,1.5
300,fel arfer,ненормально,adverbs,0.15
301,cred,цветок,nouns,0.05
302,trwm,большой,adjectives,1.35
303,helmed,оружие,nouns,0.95
304,morwyn,девочка,nouns,2.75
305,cyllell,ружье,nouns,0.9
306,byddin,флот,nouns,3.1
307,bara,мука,nouns,1.15
308,awdur,роман,nouns,1.15
309,nos,день,nouns,0.2
310,anhawster,усилие,nouns,1.3
311,organ,почка,nouns,2.4
312,bychanu,утешать,verbs,0.05
313,mynd o'r golwg,пропадать,verbs,5.25
314,cwest,цель,nouns,1.5
315,allwedd,корона,nouns,0.0
316,beirniadol,грубый,adjectives,0.75
317,diemwnt,деньги,nouns,0.9
318,anghwrtais,громкий,adjectives,0.75
319,ffa,рис,nouns,0.7
320,tarian,защита,nouns,2.1
321,mam,жена,nouns,1.85
322,awyrgylch,загрязнение,nouns,1.0
323,bowlen,хвост,nouns,0.0
324,malu,разбивать,verbs,4.9
