ID,CYM,SWA,PoS,score
1,gwarcheidwad,mtu mzima,nouns,1.65
2,nos,mchana,nouns,0.3
3,yn debygol,labda,adverbs,0.45
4,lladd,kuharibu,verbs,2.4
5,sero,sufuri,nouns,0.05
6,garddwrn,mkono,nouns,1.05
7,cyrchwr,mshale,nouns,0.0
8,dal,kudaka,verbs,0.65
9,coflaid,kumbatia,verbs,4.45
10,cwympo,kuanguka,verbs,1.05
11,chwilio,kutafuta,verbs,0.85
12,pen,kichwa,nouns,0.9
13,barnu,hakimu,verbs,0.6
14,profocio,kutania,verbs,0.4
15,gwleidydd,mwanasiasa,nouns,0.1
16,brawd,mvulana,nouns,2.15
17,plentyn,mtu mzima,nouns,0.55
18,anghyfreithlon,haramu,adjectives,0.15
19,bargeinio,kuhusika,verbs,0.4
20,braich,goti,nouns,0.55
21,emyn,biblia,nouns,0.35
22,tybio,kufikiri,verbs,0.9
23,dychmygu,kuumba,verbs,0.4
24,brest,mwili,nouns,1.45
25,cyferbyn,kinyume,adjectives,0.25
26,to,sakafu,nouns,0.25
27,dec,panya,nouns,0.0
28,siarad,kutamka,verbs,1.7
29,pêl,glavu,nouns,0.75
30,yn graff,kwa akili,adverbs,0.6
31,hen,zamani,adjectives,0.1
32,dysgu,kusikiliza,verbs,0.4
33,yn swyddogol,rasmi,adverbs,0.1
34,ysbryd,mungu,nouns,1.75
35,yn ffyddlon,kwa uaminifu,adverbs,2.65
36,gorffwyll,ana kichaa,adjectives,4.95
37,dyfalu,kubuni,verbs,0.0
38,yn amlwg,ni dhahiri,adverbs,2.8
39,yfory,kesho,adverbs,0.2
40,brawdgarwch,baseball,nouns,0.0
41,canfyddiad,kuona,nouns,1.4
42,cadair,kiti,nouns,3.0
43,dibynnu,tegemea,verbs,0.2
44,caled,nene,adjectives,0.45
45,poen,huzuni,nouns,2.55
46,ecsotig,adimu,adjectives,0.7
47,bwthyn,kibanda,nouns,3.55
48,drwg,mbaya,adjectives,0.25
49,sefyllfa,mazingira,nouns,1.9
50,gair,ishara,nouns,0.4
51,bara,chizi,nouns,0.4
52,dathlu,kusherekea,verbs,0.0
53,ardderchog,mbaya,adjectives,0.0
54,tybio,kujifanya,verbs,0.35
55,gyrrwr,rubani,nouns,2.7
56,gwalch,ndege,nouns,2.85
57,masarnen,mnazi,nouns,1.35
58,drws,kengele,nouns,0.35
59,yn garedig,kwa ukarmu,adverbs,0.4
60,meddu ar,kuchukua,verbs,1.1
61,stori,wimbo,nouns,0.85
62,môr,bahari,nouns,1.08
63,digid,tarakimu,nouns,5.5
64,llwybr,njia,nouns,0.5
65,ynys,mtoto wa mfalme,nouns,0.0
66,noswaith,giza kuingia,nouns,4.35
67,parasetamol,acetaminopheni,nouns,0.3
68,ychwanegu,kuunda,verbs,0.65
69,emosiwn,hali,nouns,1.9
70,sinc,zinki,nouns,0.7
71,ffêr,mfupa,nouns,1.55
72,heno,usiku huu,adverbs,1.4
73,ardal,kanda,nouns,5.1
74,anghefnogi,kufeli,verbs,0.2
75,cerflunydd,sonara,nouns,0.15
76,denu,kuvutia,verbs,0.0
77,ffôn clyfar,simu mahiri,nouns,0.0
78,drws,dirisha,nouns,0.95
79,dyn,patna,nouns,0.65
80,bws,chombo cha usafiri,nouns,3.65
81,yn hysbys,inayojulikana,adjectives,0.0
82,gwthio,kusukuma,verbs,0.05
83,jar,kikombe,nouns,0.9
84,nodyn,kumbuku,nouns,0.4
85,teledu,mawasiliano,nouns,1.15
86,meddyg,tabia,nouns,0.0
87,symudol,inayo hamishika,adjectives,1.15
88,ufuddhau,kutenda,verbs,1.7
89,breuddwyd,ndoto,nouns,0.15
90,marwolaeth,balaa,nouns,1.8
91,cig,mkate,nouns,0.2
92,ffrind,mgeni,nouns,0.35
93,cadair,sofa,nouns,3.05
94,aderyn,mwewe,nouns,2.85
95,syml,ana shida,adjectives,0.1
96,sinema,sinema,nouns,0.7
97,cryf,wa kujivunia,adjectives,0.4
98,penelin,mfupa,nouns,0.9
99,cyhuddo,kushtaki,verbs,2.1
100,helpu,kusaidia,verbs,5.35
101,ymddangos,kujifanya,verbs,0.3
102,theorem,nadharia,nouns,2.75
103,cyflwr,makubaliano,nouns,0.05
104,cyfrwys,mgeni,adjectives,0.0
105,cysylltu,kubandika,verbs,0.05
106,derbyn,kupokea,verbs,1.35
107,cyfathrebu,televisheni,nouns,1.15
108,matrics,matriksi,nouns,0.75
109,fflat,hoteli,nouns,0.4
110,car,geji,nouns,0.1
111,ceffyl,farasi wa kiume,nouns,3.9
112,tramgwyddo,kuchukiza,verbs,0.75
113,injan,mashine,nouns,3.75
114,canon,bunduki,nouns,2.05
115,bregus,baridi,adjectives,0.2
116,aderyn,kuku,nouns,2.75
117,cyffredin,kawaida,adjectives,0.0
118,nai,shangazi,nouns,0.55
119,ymddangos,kuondoka,verbs,0.45
120,beirniadu,kupinga,verbs,0.42
121,syniad,picha,nouns,1.0
122,rhoi,kuweka,verbs,0.65
123,taliad,malipo,nouns,0.6
124,ras,mbio,nouns,0.0
125,dweud celwydd,kudanganya,verbs,1.8
126,eira,hali ya hewa,nouns,0.85
127,personol,kibinasfi,adjectives,3.5
128,siocled,keki,nouns,0.6
129,canwr,mchezaji,nouns,0.8
