ID,CYM,YUE,PoS,score
1,campws,大學,nouns,1.83
2,cam,彎曲,adjectives,2.73
3,plentyn,男孩,nouns,1.79
4,gwialen,窗帘,nouns,0.14
5,byth,誠實地,adverbs,0.0
6,enillydd,候選人,nouns,0.81
7,mwd,泥土,nouns,5.27
8,ynys,海灘,nouns,0.96
9,gwneud,戒除,verbs,0.04
10,cymeradwyo,准許,verbs,2.98
11,miniog,鈍,adjectives,0.19
12,poblogaeth,人,nouns,2.55
13,claf,複診,nouns,0.32
14,gorchuddio,保護,verbs,0.86
15,mab,父親,nouns,1.45
16,asgwrn,手臂,nouns,0.98
17,buwch,山羊,nouns,1.73
18,stêc,雞,nouns,0.49
19,cynhwysydd,老鼠,nouns,0.0
20,teithlyfr,手冊,nouns,2.4
21,drud,害羞,adjectives,0.0
22,o bosibl,八成,adverbs,1.4
23,gadael,做,verbs,0.04
24,braich,樹枝,nouns,0.6
25,artist,藝術品,nouns,1.06
26,barnwr,裁判官,nouns,4.2
27,go fach,矬小,adjectives,3.21
28,senoffobia,種族主義,nouns,3.88
29,ymosodiad,閃電攻擊,nouns,3.19
30,yn bendant,肯定地,adverbs,5.18
31,cawod,修道院,nouns,0.0
32,mwydyn,惡意軟件,nouns,0.09
33,yfed,混合,verbs,0.2
34,ffurfdroad,感染,nouns,0.09
35,sylweddoli,發現,verbs,3.49
36,dyffryn,峽谷,nouns,3.68
37,athro,學生,nouns,0.8
38,ffôn clyfar,菠蘿,nouns,0.0
39,dod,出席,verbs,2.91
40,dillad,大褸,nouns,1.98
41,priodferch,公主,nouns,0.73
42,degawd,世紀,nouns,0.75
43,anghwrtais,好鬥,adjectives,0.64
44,derbyn,實現,verbs,0.24
45,bar,籠子,nouns,0.33
46,rheilffordd,籬笆,nouns,0.05
47,lleng,軍隊,nouns,3.43
48,crebachu,成長,verbs,0.05
49,actor,歌手,nouns,1.69
50,seicoleg,科學,nouns,1.45
51,yfed,提高,verbs,0.0
52,hyll,亂,adjectives,0.96
53,darllen,咬,verbs,0.09
54,deallusrwydd,技巧,nouns,1.94
55,gweithiwr,僱主,nouns,0.53
56,madfall,鱷魚,nouns,1.5
57,de,北,nouns,1.04
58,cysylltu,分離,verbs,0.05
59,melin,種子,nouns,0.24
60,medi,獲得,verbs,0.79
61,menyw,牛仔褲,nouns,0.14
62,seciwlarydd,宗教,nouns,0.69
63,dweud celwydd,指控,verbs,0.39
64,dyn,武士,nouns,0.65
65,atom,碳,nouns,0.98
66,blwch,資源,nouns,0.04
67,proffwydo,確定,verbs,0.45
68,disgyrchiant,流星,nouns,0.57
69,rhyfedd,狡猾,adjectives,0.41
70,newyddiadur,文章,nouns,2.58
71,benthyciwr,信用,nouns,0.73
72,haeddu,賺,verbs,0.39
73,mynychu,發送,verbs,0.09
74,prif air,句法,nouns,0.43
75,cytuno,拗撬,verbs,0.05
76,priodferch,新郎,nouns,2.13
77,derbyn,發送,verbs,0.1
78,trafodaeth,外交,nouns,2.33
79,gwyddoniadur,字典,nouns,2.08
80,gludiog,濕,adjectives,0.93
81,parth,地區,nouns,4.65
82,diymadferth,貧困,adjectives,1.05
83,styfnig,蠢,adjectives,0.33
84,alcohol,啤酒,nouns,3.44
85,hyfforddi,學習,verbs,3.7
86,diflas,沉悶,adjectives,3.56
87,caniatáu,侵蝕,verbs,0.0
88,gwan,辣,adjectives,0.04
89,fel arfer,異常地,adverbs,0.15
90,dinistrio,腐爛,verbs,0.88
91,cyfuniad,甘蔗,nouns,0.0
92,bacwn,豆,nouns,0.1
93,brwnt,淫賤,adjectives,0.28
94,mawr,國民,adjectives,0.3
95,gwahaniaeth,剩餘,nouns,3.06
96,caled,簡單,adjectives,0.04
97,presenoldeb,優勝者,nouns,0.04
98,swydd,管理,nouns,0.52
99,tŷ,穀倉,nouns,0.56
100,hysbysu,描繪,verbs,0.15
101,corff,血液,nouns,0.86
102,drwm,喇叭,nouns,0.43
103,tric,尺寸,nouns,0.0
104,fflat,家具,nouns,0.48
105,arian cyfred,交換,nouns,0.57
106,dweud,校驗,verbs,0.15
107,rhesymoli,拗撬,verbs,0.34
108,deall,掌握,verbs,0.93
109,salad,醋,nouns,0.43
110,anonest,壞,adjectives,1.4
111,heno,今天,adverbs,1.11
112,yn gadarn,冷靜地,adverbs,1.01
113,llinyn,電線,nouns,1.07
114,gwydn,堅硬,adjectives,3.13
115,chwerthin,哭,verbs,0.15
116,gwerthfawr,神聖,adjectives,1.39
117,profocio,傷害,verbs,0.54
118,balchder,喜悅,nouns,2.03
119,braf,大方,adjectives,1.49
120,dysgu,迷惑,verbs,0.0
121,cod,符號,nouns,1.51
122,tymor,冬天,nouns,2.38
123,ewin,手,nouns,0.86
124,pwerus,強大,adjectives,5.03
125,rhaniad,乘法,nouns,1.35
126,crëwr,作者,nouns,3.37
127,deffro,打鼻鼾,verbs,0.05
128,yn arw,粗糙地,adverbs,0.88
129,rhaglen,食物,nouns,0.05
130,gohirio,完成,verbs,0.39
131,cefndir,牆紙,nouns,1.59
132,cyffes,否認,nouns,0.38
133,mam,爸爸,nouns,1.67
134,canfyddiad,視力,nouns,0.95
135,noswaith,日落,nouns,3.53
136,yn unffurf,有時,adverbs,0.04
137,gêm,樂趣,nouns,0.82
138,lori,郵包,nouns,0.44
139,handlen,蛋白質,nouns,0.04
140,prif fwrdd,主機板,nouns,3.17
141,yn aml,不經常,adverbs,0.1
142,yn ddiffuant,誠實地,adverbs,4.38
143,cyfiawnder,權利,nouns,0.33
144,lluosi,加,verbs,1.27
145,arwyddluniau,尊嚴,nouns,0.28
146,llywodraeth,蜥蜴,nouns,0.04
147,ffôl,孩子氣,adjectives,2.28
148,pibell,雪茄,nouns,0.48
149,rhoi,放,verbs,0.97
150,coginio,混合,verbs,0.63
151,unwaith,兩次,adverbs,0.39
152,oedolyn,小孩,nouns,0.68
153,sinema,爆谷,nouns,0.67
154,dod â,抱怨,verbs,0.0
155,erydu,褪色,verbs,1.83
156,synhwyrydd,散熱器,nouns,0.46
157,benthyg,乞求,verbs,0.67
158,hapus,快樂,adjectives,5.1
159,oriel,律師,nouns,0.0
160,pont,汽車,nouns,0.29
161,pêl-fas,沙發,nouns,0.0
162,drws,門口,nouns,3.96
163,marw,分化,verbs,0.05
164,top,側面,nouns,0.43
165,crebachu,減少,verbs,3.0
166,gwaed,肉,nouns,0.68
167,hen,雜,adjectives,0.24
168,plentyn,男孩子,nouns,2.13
169,sbeislyd,好,adjectives,0.04
170,clywed,聽,verbs,3.5
171,main,瘦,adjectives,4.36
172,llew,貓,nouns,1.92
173,ffenestr,雲,nouns,0.0
174,glaw,毛毛雨,nouns,4.04
175,coridor,門,nouns,0.33
176,cynddaredd,生氣,nouns,4.04
177,tref,城市,nouns,2.88
178,gwifren,軟線,nouns,1.07
179,proffwyd,牧師,nouns,0.97
180,crwm,直,adjectives,0.18
181,noswaith,黃昏,nouns,4.31
182,pen,腳,nouns,0.34
183,encilio,離開,verbs,3.45
184,dermatitis,濕疹,nouns,3.76
185,tynnu'n ôl,退休,verbs,0.38
186,syth,彎曲,adjectives,0.18
187,gŵr bonheddig,女士,nouns,0.71
188,gwyn,狹窄,adjectives,0.0
189,nerf,腸子,nouns,0.29
190,atgoffa,忘記,verbs,0.1
191,anniben,清潔,adjectives,0.09
192,codi,運輸,verbs,0.88
193,cardbord,紙,nouns,2.42
194,bydysawd,天空,nouns,1.49
195,miniog,平滑,adjectives,0.15
196,atwrnai,律師,nouns,4.33
197,hynafol,新,adjectives,0.09
198,canol,一餐,nouns,0.0
199,rhwygo,穿,verbs,0.0
200,torri,打碎,verbs,4.2
201,modur,汽車,nouns,5.5
202,afal,飲食,nouns,0.63
203,symbol,標誌,nouns,4.11
204,mintys poethion,口香糖,nouns,0.38
205,goleddfu,偏見,verbs,3.68
206,cab,車,nouns,4.14
207,deintydd,上校,nouns,0.04
208,llawr,天花板,nouns,0.23
209,tywydd,雪,nouns,0.78
210,bara,小麥粉,nouns,0.82
211,siwr,自信,adjectives,4.34
212,pensil,故事,nouns,0.15
213,pîn-afal,手機,nouns,0.0
214,targed,箭頭,nouns,0.8
215,bregus,冷淡,adjectives,0.1
216,offeiriad,天神,nouns,0.72
217,twrci,母雞,nouns,2.09
218,rhybuddio,停,verbs,0.74
219,yn anarferol,一般,adverbs,0.15
220,danfon,出席,verbs,0.09
221,dechrau,戒除,verbs,0.04
222,yfory,今晚,adverbs,0.34
223,yn annheg,不合理,adverbs,3.93
224,asgwrn,肌肉,nouns,0.38
225,llwy,杯子,nouns,1.0
226,pla,農藥,nouns,0.81
