ID,ENG,EST,PoS,score
1,actor,näitlejanna,nouns,4.14
2,archer,rajaleidja,nouns,0.45
3,smash,kokku põrkama,verbs,2.04
4,book,informatsioon,nouns,1.01
5,once,kaks korda,adverbs,0.9
6,top,külg,nouns,0.6
7,bed,tekk,nouns,0.91
8,necessary,oluline,adjectives,4.45
9,aluminium,metall,nouns,2.16
10,fail,tuginema,verbs,0.0
11,mist,vihm,nouns,2.19
12,cadence,rütm,nouns,2.23
13,lie,süüdistama,verbs,0.33
14,acknowledge,teavitama,verbs,1.19
15,laugh,itsitama,verbs,3.83
16,give,eitama,verbs,0.15
17,stop,sõitma,verbs,0.3
18,essay,raamat,nouns,1.25
19,leave,välja tõstma,verbs,0.77
20,hungry,väsinud,adjectives,0.57
21,seem,saama,verbs,0.36
22,homophone,fotofon,nouns,0.14
23,immature,täiskasvanud,adjectives,0.24
24,island,merevägi,nouns,0.2
25,short,pikk,adjectives,0.29
26,lawyer,jurist,nouns,4.74
27,apple,sidrun,nouns,0.71
28,rescue,päästma,verbs,4.56
29,terminally,põhiliselt,adverbs,0.04
30,companion,semu,nouns,4.45
31,aggressive,kõver,adjectives,0.25
32,cinema,televisioon,nouns,1.79
33,vexillology,lipp,nouns,1.27
34,pottery,keraamika,nouns,3.41
35,liquor,vein,nouns,1.71
36,father,mees,nouns,2.01
37,woman,ülesanne,nouns,0.05
38,car,maantee,nouns,0.71
39,pay,ostma,verbs,1.85
40,bring,kandma,verbs,2.05
41,precisely,ebatäpselt,adverbs,0.29
42,season,talv,nouns,2.26
43,classroom,koridor,nouns,0.49
44,cheerful,rõõmustav,adjectives,2.84
45,rear,pära,nouns,2.91
46,fail,heidutama,verbs,0.77
47,news,juhtkiri,nouns,1.41
48,birthday,aasta,nouns,0.82
49,learn,hindama,verbs,0.72
50,bone,kael,nouns,0.52
51,climb,matkama,verbs,2.29
52,unanticipated,ettenägematu,adjectives,5.36
53,denial,ülestunnistus,nouns,0.77
54,father,vend,nouns,0.89
55,weather,lumi,nouns,1.16
56,newspaper,sõna,nouns,0.63
57,appoint,valima,verbs,2.87
58,father,tütar,nouns,0.63
59,dumb,hiiglasuur,adjectives,0.14
60,monastery,tušš,nouns,0.1
61,wet,kleepuv,adjectives,1.17
62,champion,võitja,nouns,4.97
63,reject,vastu võtma,verbs,0.34
64,actress,näitleja,nouns,4.14
65,dissolve,ühendama,verbs,0.99
66,cloud,torm,nouns,0.92
67,narrow,valge,adjectives,0.1
68,ox,hobune,nouns,0.99
69,multiplication,jagamine,nouns,1.13
70,page,lõik,nouns,1.19
71,recently,realistlikult,adverbs,0.15
72,beach,kallas,nouns,4.17
73,neat,puhas,adjectives,2.6
74,bread,jahu,nouns,0.94
75,subroutine,kompilaator,nouns,0.76
76,clue,sõna,nouns,0.35
77,steal,ostma,verbs,0.41
78,bee,sipelgas,nouns,0.86
79,room,hoone,nouns,1.16
80,curved,sirge,adjectives,0.38
81,decoration,sein,nouns,0.66
82,cuddle,kallistama,verbs,4.74
83,choice,arvamus,nouns,1.09
84,express,ütlema,verbs,3.31
85,come,minema,verbs,0.61
86,value,uskumus,nouns,2.31
87,remain,säilitama,verbs,1.09
88,orchard,jaanalind,nouns,0.0
89,cook,kaotama,verbs,0.0
90,condition,poiss,nouns,0.05
91,booth,kast,nouns,1.48
92,punch,näpistama,verbs,1.02
93,tree,leht,nouns,0.91
94,fault,süsteem,nouns,0.41
95,mood,emotsioon,nouns,3.55
96,confuse,õppima,verbs,0.3
97,rhythm,kadents,nouns,2.23
98,sharp,nüri,adjectives,0.39
99,blitz,rünnak,nouns,3.5
100,listen,kuulma,verbs,3.57
