ID,ENG,FIN,PoS,score
1,state,koti,nouns,0.32
2,chair,sänky,nouns,0.87
3,bible,kirja,nouns,2.02
4,ancient,uusi,adjectives,0.24
5,crime,loukkaus,nouns,2.27
6,hit,viehättää,verbs,0.0
7,carriage,auto,nouns,1.97
8,attend,ilmestyä,verbs,0.47
9,job,työkalu,nouns,0.38
10,butterfly,ruusu,nouns,0.15
11,danger,uhka,nouns,5.08
12,excited,säikähtänyt,adjectives,0.22
13,kill,puolustaa,verbs,0.35
14,realize,saada selville,verbs,3.49
15,dwarfish,pienehkö,adjectives,3.54
16,visa,globalismi,nouns,0.44
17,proper,muodollinen,adjectives,3.13
18,finish,kilpailla,verbs,0.89
19,head,olkapää,nouns,0.91
20,nature,kasvisto,nouns,2.47
21,teacher,kouluttaja,nouns,4.47
22,steal,ostaa,verbs,0.41
23,telephone,koju,nouns,0.27
24,creatively,alkuperäisesti,adverbs,1.56
25,cruel,epäreilu,adjectives,1.73
26,difficulty,ponnistus,nouns,2.66
27,different,normaali,adjectives,0.2
28,fifth,huippu,adjectives,0.05
29,explain,keskustella,verbs,1.59
30,beat,sulautua,verbs,0.15
31,discuss,selittää,verbs,1.59
32,give,tietää,verbs,0.19
33,neck,luu,nouns,0.81
34,fabric,vaatteet,nouns,1.92
35,deliver,hyväksyä,verbs,0.0
36,separate,liittää,verbs,0.24
37,fundraiser,tapahtuma,nouns,2.19
38,honestly,uskollisesti,adverbs,1.7
39,cathedral,kirkko,nouns,3.89
40,throat,nenä,nouns,0.94
41,battle,valloitus,nouns,2.12
42,cable,velho,nouns,0.0
43,cursor,sirut,nouns,0.0
44,orange,sitrushedelmä,nouns,3.43
45,man,menestyjä,nouns,0.46
46,chair,penkki,nouns,3.21
47,payment,viesti,nouns,0.31
48,choice,kappale,nouns,0.1
49,argue,vaatia,verbs,0.54
50,molecule,atomi,nouns,2.08
51,offend,solvata,verbs,4.89
52,clothes,vetolaatikko,nouns,0.26
53,pull,työntää,verbs,0.29
54,become,näyttää,verbs,0.32
55,salary,maksu,nouns,1.48
56,easy,yksinkertainen,adjectives,4.56
57,applicant,hakemus,nouns,0.84
58,bath,temppu,nouns,0.0
59,happy,nuori,adjectives,0.09
60,constitution,keisari,nouns,0.22
61,aggressive,töykeä,adjectives,1.91
62,add,liittyä,verbs,2.04
63,narrow,hoikka,adjectives,3.71
64,capability,vahvuus,nouns,2.21
65,cord,johdin,nouns,3.76
66,mind,neuroosi,nouns,0.77
67,important,välttämätön,adjectives,4.69
68,pineapple,älypuhelin,nouns,0.0
69,vocalist,henkilökunta,nouns,0.0
70,become,menestyä,verbs,0.24
71,behave,totella,verbs,2.42
72,vein,valinta,nouns,0.0
73,buddy,kumppani,nouns,4.1
74,navy,saari,nouns,0.05
75,boy,veli,nouns,2.04
76,comprehend,lukea,verbs,1.39
77,inflection,infektio,nouns,0.0
78,popcorn,elokuvateatteri,nouns,0.32
79,weather,pilvi,nouns,0.98
80,leave,tulla sisään,verbs,0.04
81,prince,kuningas,nouns,1.96
82,navy,armeija,nouns,1.84
83,heart,kirurgia,nouns,0.38
84,acknowledge,hyväksyä,verbs,2.86
85,income,vero,nouns,0.51
86,keyboard,valo,nouns,0.0
87,disown,laimilyödä,verbs,0.8
88,note,toimeksianto,nouns,0.61
89,clothes,kangas,nouns,1.92
90,champagne,viski,nouns,1.26
91,unnaturally,luonnollisesti,adverbs,0.24
92,disorganized,järjestäytynyt,verbs,0.24
93,xenophobia,rasismi,nouns,4.16
94,piston,moottori,nouns,1.77
95,insignia,arvokkuus,nouns,0.34
96,recently,viime aikoina,adverbs,4.72
97,carbon,atomi,nouns,1.35
98,corn,maissikasvi,nouns,5.21
99,restrict,supistaa,verbs,2.79
100,gravity,meteori,nouns,0.22
101,loudly,hienovaraisesti,adverbs,0.09
102,boy,sotilas,nouns,0.64
103,create,tuhota,verbs,0.24
104,tail,kalliojyrkänne,nouns,0.0
105,salary,raha,nouns,2.44
106,camera,presidentti,nouns,0.0
107,idea,mielipide,nouns,2.38
108,agriculture,monokulttuuri,nouns,0.74
109,vision,havaintokyky,nouns,3.37
110,biography,fiktio,nouns,0.84
111,floor,katto,nouns,0.6
112,rabbit,kissa,nouns,0.96
113,sunset,pöytä,nouns,0.0
114,perform,tehdä kunniaa,verbs,0.15
115,encourage,lannistaa,verbs,0.24
116,tribunal,oikeudenmukaisuus,nouns,1.75
117,choice,laskimo,nouns,0.0
118,ant,mehiläinen,nouns,1.06
119,add,jakaa,verbs,0.6
120,irresponsible,epäkypsä,adjectives,2.5
121,atom,molekyyli,nouns,2.08
122,neuropsychology,parapsykologia,nouns,1.86
123,debate,kiistellä,verbs,4.58
124,comprehend,tietää,verbs,3.33
125,organize,kerätä,verbs,0.95
126,arm,lihas,nouns,0.94
127,replacement,vaihto,nouns,3.55
128,medium,uutiset,nouns,0.0
129,brightly,suuresti,adverbs,0.67
130,enjoy,vihata,verbs,0.15
131,receive,antaa,verbs,0.29
132,blood,vartalo,nouns,0.6
133,size,temppu,nouns,0.0
134,discover,olla peräisin,verbs,0.57
135,hate,kritisoida,verbs,0.84
136,get,ostaa,verbs,1.44
137,environment,miekka,nouns,0.0
138,mediocre,pitkäveteinen,adjectives,1.43
139,chicken,riisi,nouns,0.34
140,performer,laulu,nouns,0.59
141,impatient,ahdistunut,adjectives,1.48
142,tennis,tilastotiede,nouns,0.0
143,flour,leipä,nouns,1.04
144,sometimes,usein,adverbs,0.64
145,dishonest,totuudenmukainen,adjectives,0.24
146,drum,sarvi,nouns,0.15
