ID,ENG,FRA,PoS,score
1,brain,esprit,nouns,3.56
2,cover,enterrer,verbs,2.65
3,teacher,assistant,nouns,2.33
4,acetaminophen,bronchite,nouns,0.79
5,molecule,air,nouns,1.27
6,suds,bulle,nouns,2.84
7,powerful,faible,adjectives,0.74
8,sly,dur,adjectives,0.35
9,parliament,congrès,nouns,3.51
10,reduce,mouiller,verbs,0.05
11,saving,épargnant,nouns,2.38
12,keyboard,lumière,nouns,0.1
13,attach,séparer,verbs,0.79
14,fresh,large,adjectives,0.1
15,seashore,plage,nouns,4.62
16,unlikely,amical,adverbs,0.0
17,weird,étrange,adjectives,5.5
18,disown,renoncer,verbs,3.72
19,feel,croire,verbs,2.39
20,nature,flore,nouns,3.17
21,taxi,tacot,nouns,5.25
22,statue,sculpture,nouns,5.06
23,journey,promenade,nouns,4.52
24,marginally,grossièrement,adverbs,1.11
25,normally,quotidiennement,adverbs,2.41
26,bother,offenser,verbs,2.28
27,persuade,poursuivre,verbs,0.39
28,mix,boire,verbs,0.4
29,shame,chagrin,nouns,1.74
30,carefully,prudemment,adverbs,4.04
31,certain,nerveux,adjectives,0.15
32,stud,type,nouns,1.69
33,fresh,nouveau,adjectives,3.54
34,archbishop,évêque,nouns,4.24
35,sadly,émotionnellement,adverbs,2.13
36,sure,confiant,adjectives,5.26
37,book,littérature,nouns,2.87
38,car,ascenseur,nouns,0.39
39,mob,foule,nouns,5.12
40,wagon,récipient,nouns,0.35
41,curved,agressif,adjectives,0.0
42,ride,mélanger,verbs,0.1
43,hard,ardu,adjectives,5.92
44,cup,cône,nouns,0.65
45,president,pollution,nouns,0.36
46,vitamin,fer,nouns,1.97
47,presence,porte,nouns,0.15
48,always,deux fois,adverbs,0.82
49,badge,verre,nouns,0.29
50,crucial,important,adjectives,5.39
51,woman,fourrure,nouns,0.25
52,saver,épargne,nouns,2.38
53,get,acheter,verbs,1.73
54,payment,récompense,nouns,3.04
55,cruel,dur,adjectives,3.64
56,house,appartement,nouns,3.42
57,straw,hymne,nouns,0.1
58,odd,bizarre,adjectives,5.38
59,wizard,câble,nouns,0.0
60,protein,poignée,nouns,0.1
61,digit,cytoplasme,nouns,0.0
62,geyser,source,nouns,3.38
63,huge,grand,adjectives,4.76
64,diplomacy,négociation,nouns,3.21
65,deliver,accepter,verbs,0.55
66,do,cesser,verbs,0.74
67,negotiation,diplomatie,nouns,3.21
68,try,convaincre,verbs,0.61
69,unusual,rare,adjectives,4.95
70,man,suspect,nouns,0.82
71,gale,couverture,nouns,0.05
72,volleyball,ballon,nouns,1.84
73,lawyer,avocat,nouns,4.84
74,valley,rivière,nouns,1.53
75,cherish,garder,verbs,1.8
76,book,thème,nouns,0.69
77,clever,sournois,adjectives,2.41
78,society,culture,nouns,3.1
79,fee,paiement,nouns,3.44
80,baseball,canapé,nouns,0.05
81,helium,air,nouns,2.0
82,proudly,humblement,adverbs,1.17
83,argue,prouver,verbs,2.23
84,piece,aéroport,nouns,0.1
85,vein,estomac,nouns,0.65
86,waste,inquiéter,verbs,0.15
87,liquor,vin,nouns,2.05
88,easy,dur,adjectives,0.74
89,money,capital,nouns,3.79
90,boy,condition,nouns,0.05
91,pupil,président,nouns,0.6
92,orchestra,groupe,nouns,3.19
93,book,histoire,nouns,2.31
94,medal,basket,nouns,0.29
95,understand,savoir,verbs,3.2
96,clothed,couvert,adjectives,3.92
97,state,maison,nouns,0.32
98,get,perdre,verbs,0.7
99,portray,imiter,verbs,2.41
100,organize,devenir,verbs,0.15
101,condition,garçon,nouns,0.05
102,cattle,vache,nouns,4.17
103,nice,généreux,adjectives,1.97
104,freedom,oasis,nouns,0.35
105,ashamed,chanceux,adjectives,0.4
106,massive,astronomique,adjectives,3.17
107,depression,vallée,nouns,1.1
108,begin,débuter,verbs,5.49
109,cathedral,église,nouns,4.2
110,concept,croyance,nouns,2.22
111,borrow,vouloir,verbs,0.5
112,wide,frais,adjectives,0.1
113,sequel,appareil photo,nouns,0.15
114,appear,devenir,verbs,0.74
115,harsh,cruel,adjectives,3.64
116,wet,collant,adjectives,1.22
117,coast,plage,nouns,3.25
118,lazy,précieux,adjectives,0.1
119,jacket,pull-over,nouns,3.12
120,neglect,renier,verbs,1.45
121,mouse,pont,nouns,0.05
122,outlander,extraterrestre,nouns,2.77
123,take,livrer,verbs,0.76
124,pineapple,smartphone,nouns,0.0
125,cabin,cabane,nouns,2.33
126,easy,vulnérable,adjectives,0.84
127,payment,frais,nouns,3.44
128,lonely,pauvre,adjectives,0.54
129,flower,buisson,nouns,2.05
130,remain,obtenir,verbs,0.2
131,meteor,gravité,nouns,0.81
132,outgoing,entrant,adjectives,0.24
133,leave,apparaître,verbs,0.14
