ID,ENG,SPA,PoS,score
1,discover,originar,verbs,1.18
2,finish,competir,verbs,0.79
3,apparently,simplemente,adverbs,0.52
4,decide,retratar,verbs,0.3
5,sky,sueño,nouns,0.33
6,guardian,madre,nouns,1.92
7,body,ropa interior,nouns,0.45
8,swallow,beber,verbs,1.99
9,president,alcalde,nouns,1.74
10,peacefully,caóticamente,adverbs,0.09
11,emotionally,tristemente,adverbs,1.77
12,mark,evaluar,verbs,4.69
13,wonderful,genial,adjectives,4.49
14,vein,brazo,nouns,0.29
15,abundance,mucho,nouns,5.0
16,lamb,oveja,nouns,4.17
17,unnecessary,necesario,adjectives,0.14
18,rinse,lavar,verbs,3.74
19,unused,nuevo,adjectives,5.12
20,princess,isla,nouns,0.05
21,lazy,ocupado,adjectives,0.15
22,toy,cubo,nouns,0.5
23,liquor,vino,nouns,0.76
24,poor,solitario,adjectives,0.19
25,drizzle,lluvia,nouns,3.82
26,highway,carretera,nouns,3.95
27,immature,crecido,adjectives,0.29
28,language,comunicación,nouns,1.99
29,hematology,patología,nouns,1.61
30,fresh,nuevo,adjectives,3.54
31,grief,agonía,nouns,3.23
32,factory,coche,nouns,0.2
33,keep,perder,verbs,0.05
34,currency,concurrencia,nouns,0.19
35,trick,bañera,nouns,0.0
36,unite,dividir,verbs,0.14
37,beg,pedir prestado,verbs,1.23
38,old,nuevo,adjectives,0.14
39,foreclose,esforzarse,verbs,0.35
40,happen,hacer,verbs,0.65
41,drown,salvar,verbs,0.15
42,page,párrafo,nouns,1.19
43,applicant,solicitud,nouns,1.19
44,father,hermano,nouns,0.39
45,truly,en tono rimbombante,adverbs,0.32
46,smooth,agudo,adjectives,0.25
47,peppermint,goma,nouns,0.39
48,win,realizar,verbs,2.38
49,fly,hormiga,nouns,0.56
50,fiction,biografía,nouns,0.69
51,draw,crear,verbs,1.36
52,stream,río,nouns,2.91
53,mind,neurosis,nouns,1.18
54,fresh,amplio,adjectives,0.05
55,slim,estrecho,adjectives,4.3
56,nepotism,rey,nouns,1.0
57,civilization,estilo de vida,nouns,0.86
58,statistics,tenis,nouns,0.25
59,retire,retirar,verbs,3.57
60,dinner,desayuno,nouns,1.16
61,woman,tarea,nouns,0.1
62,choice,cárcel,nouns,0.15
63,algebra,operación,nouns,1.06
64,neck,brazo,nouns,0.29
65,tease,herir,verbs,1.21
66,join,añadir,verbs,2.79
67,bury,cubrir,verbs,2.7
68,mouse,cubierta,nouns,0.0
69,aggravate,asaltar,verbs,0.93
70,nail,pulgar,nouns,1.23
71,wall,castillo,nouns,0.36
72,headword,sintaxis,nouns,0.64
73,dollar,gente,nouns,0.05
74,air,helio,nouns,1.35
75,flower,bulbo,nouns,1.14
76,outlander,extraterrestre,nouns,1.77
77,champion,ganador,nouns,4.78
78,explain,aclarar,verbs,4.79
79,flower,resistencia,nouns,0.05
80,say,participar,verbs,0.76
81,unusual,único,adjectives,4.2
82,quest,objetivo,nouns,1.52
83,horse,yegua,nouns,2.78
84,disorganized,organizado,verbs,0.09
85,truck,paquete,nouns,0.3
86,kill,destruir,verbs,2.04
87,house,alfombra,nouns,0.19
88,bird,pavo,nouns,2.3
89,give,negar,verbs,0.05
90,proclaim,anunciar,verbs,4.71
91,dawn,día,nouns,2.46
92,captain,marinero,nouns,1.79
93,minor,significativo,adjectives,0.14
94,hymn,biblia,nouns,0.64
95,basilica,mosaico,nouns,0.39
96,busy,perezoso,adjectives,0.15
97,tiny,enorme,adjectives,0.17
98,originally,creativamente,adverbs,2.06
99,ring,compromiso,nouns,1.71
100,disturb,molestar,verbs,3.53
101,intelligence,destreza,nouns,2.08
102,leave,ignorar,verbs,0.72
103,steal,secuestrar,verbs,1.73
104,treat,paga,verbs,0.29
105,honor,estima,nouns,2.52
106,actively,felizmente,adverbs,0.21
107,simulation,robótica,nouns,0.95
108,comprehend,satisfacer,verbs,0.42
109,acknowledge,hablar,verbs,0.67
110,easy,flexible,adjectives,1.83
111,withdraw,absorber,verbs,0.1
112,chapter,cola,nouns,0.05
113,friendly,improbable,adverbs,0.0
114,son,padre,nouns,1.11
115,barn,casa,nouns,0.82
116,comfort,seguridad,nouns,1.76
117,candy,canela,nouns,0.52
118,piece,aeropuerto,nouns,0.0
119,young,inquieto,adjectives,0.14
120,passive,violento,adjectives,0.1
121,multiply,añadir,verbs,1.04
122,plane,hoja,nouns,0.0
123,denial,confesión,nouns,0.87
124,case,electricidad,nouns,0.0
125,doorway,salida,nouns,1.96
126,gap,apertura,nouns,3.6
127,tomb,renacimiento,nouns,0.3
128,warn,detener,verbs,0.73
129,obey,escuchar,verbs,1.06
130,mixed,antiguo,adjectives,0.0
131,navy,isla,nouns,0.2
132,singer,actor,nouns,0.71
133,globe,mundo,nouns,3.5
134,irregularly,generalmente,adverbs,0.41
135,car,taxi,nouns,3.33
136,currently,delicadamente,adverbs,0.0
137,contribution,ofrecimiento,nouns,3.7
138,precisely,exactamente,adverbs,5.17
139,dull,agudo,adjectives,0.04
140,wear,romper,verbs,0.31
141,punish,golpear,verbs,0.96
142,forget,recordar,verbs,0.09
143,germ,patógeno,nouns,3.58
144,search,indagar,verbs,4.33
145,companion,compañero,nouns,4.5
146,scarce,raro,adjectives,4.35
147,flesh,sangre,nouns,0.88
148,dirty,pegajoso,adjectives,1.3
149,laugh,llorar,verbs,0.14
150,melt,disolver,verbs,2.79
151,sad,gracioso,adjectives,0.17
152,box,ascensor,nouns,0.19
153,idea,imagen,nouns,1.19
154,goal,ganador,nouns,0.51
155,deny,admitir,verbs,0.14
156,costume,pelota,nouns,0.1
157,disk,cargador,nouns,0.32
158,pupil,presidente,nouns,0.1
159,hard,fácil,adjectives,0.14
160,immature,irresponsable,adjectives,2.9
161,lose,obtener,verbs,0.1
162,defend,proteger,verbs,4.5
163,quickly,urgentemente,adverbs,3.8
164,keep,pedir prestado,verbs,0.22
165,begin,ir,verbs,1.07
166,deliver,aceptar,verbs,0.2
167,obey,comportarse,verbs,2.51
168,peacefully,orgullosamente,adverbs,0.26
169,twice,múltiple,adverbs,1.31
170,wire,cuerda,nouns,3.21
171,supper,comida,nouns,3.0
172,understand,escucha,verbs,1.09
173,cherry,fresa,nouns,1.04
174,brother,alma,nouns,0.15
175,strange,astuto,adjectives,0.22
176,send,lanzar,verbs,2.15
177,bread,harina,nouns,0.9
178,easy,grande,adjectives,0.0
179,clothes,armario,nouns,1.11
180,bottom,parte superior,nouns,0.26
181,table,puesta de sol,nouns,0.05
182,argue,asistir,verbs,0.1
183,bishop,musulmán,nouns,0.35
184,suggest,asesorar,verbs,3.96
185,kitchen,puerta,nouns,0.39
186,polite,apropiado,adjectives,2.99
187,elbow,hueso,nouns,0.95
188,rapid,veloz,adjectives,5.82
189,season,invierno,nouns,2.26
190,arrest,sospechar,verbs,0.48
191,meter,pulgada,nouns,1.08
192,comprehend,saber,verbs,3.02
193,honestly,fielmente,adverbs,2.3
194,deck,bote,nouns,0.69
195,apple,jugo,nouns,0.89
196,drawer,ropa,nouns,0.81
197,lie,acusar,verbs,0.33
198,testify,juez,verbs,0.79
199,school,derecho,nouns,0.48
200,growth,fertilizante,nouns,0.59
201,monarchy,democracia,nouns,1.11
202,whistle,detener,verbs,0.25
203,wrong,preciso,adjectives,0.05
204,obvious,perceptible,adjectives,3.69
205,water,sal,nouns,0.28
206,crash,tropezarse,verbs,2.13
207,base,ácido,nouns,0.77
208,cinematography,director,nouns,1.48
209,regular,promedio,adjectives,4.05
210,essay,tarea,nouns,2.96
211,receive,lograr,verbs,0.19
212,straw,tarea,nouns,0.05
213,analyze,evaluar,verbs,4.61
214,leave,ir,verbs,3.89
215,employer,empleado,nouns,0.6
216,sell,estar de acuerdo,verbs,1.14
217,reject,elegir,verbs,0.2
218,remind,vender,verbs,0.0
219,school,grado,nouns,0.91
220,reliably,aproximadamente,adverbs,0.6
221,mustard,semilla,nouns,1.25
222,destroy,construir,verbs,0.14
223,luck,felicidad,nouns,0.54
224,opinion,idea,nouns,3.33
225,iris,acetilcolina,nouns,0.15
226,obvious,aparente,adjectives,4.29
227,cheerful,encantador,adjectives,2.54
228,man,niño,nouns,0.48
229,send,asistir,verbs,0.35
230,supporter,grillo,nouns,0.0
231,world,globo,nouns,3.5
232,college,profesión,nouns,0.69
233,floor,techo,nouns,0.66
234,once,instantáneamente,adverbs,0.83
235,magnitude,profundidad,nouns,1.67
236,ball,raqueta,nouns,0.99
237,unfairly,justamente,adverbs,0.09
238,smell,apestar,verbs,3.16
239,stiff,fácil,adjectives,0.05
240,rare,raro,adjectives,4.2
241,gale,manta,nouns,0.05
242,battle,conquista,nouns,2.12
243,increase,crecer,verbs,4.27
244,blister,ilustración,nouns,0.0
245,crooked,curvo,adjectives,2.75
