ID,ENG,SWA,PoS,score
1,door,undugu,nouns,0.0
2,car,boti,nouns,0.62
3,send,kupokea,verbs,0.19
4,soul,kaka,nouns,0.05
5,clothes,kifungo,nouns,0.61
6,value,thamani,nouns,1.27
7,wrapper,kanga,nouns,0.0
8,lose,kuweka,verbs,0.0
9,psychology,sayansi,nouns,1.8
10,muscle,mkono,nouns,0.49
11,intelligence,hekima,nouns,3.83
12,bring,kubeba,verbs,2.15
13,maturely,kiukomavu,adverbs,0.39
14,begin,kuacha,verbs,0.09
15,book,insha,nouns,0.75
16,speak,kutamka,verbs,1.37
17,room,chumba,nouns,0.76
18,cheap,rahisi,adjectives,3.24
19,simple,ana shida,adjectives,0.09
20,bean,nyama ya nguruwe,nouns,0.14
21,bicycle,chumba cha kulala,nouns,0.0
22,despise,kuchukia,verbs,0.3
23,accuse,laumu,verbs,4.58
24,mud,uchafu,nouns,3.84
25,groom,bibi arusi,nouns,0.99
26,sun,anga,nouns,0.86
27,key,funguo,nouns,0.79
28,nurse,mwanasayansi,nouns,0.27
29,cry,kulia,verbs,2.41
30,holiday,likizo,nouns,0.17
31,national,kitaifa,adjectives,0.0
32,lucky,enye bahati,adjectives,0.0
33,diet,matofaa,nouns,0.24
34,change,kugeuza,verbs,5.46
35,ring,pete,nouns,0.85
36,upset,kuchukiza,verbs,0.54
37,covered,funikwa,adjectives,0.14
38,accomplish,kutimiza,verbs,5.24
39,window,kifundo cha mguu,nouns,0.0
40,dice,kete,nouns,1.29
41,paper,karatasi,nouns,1.04
42,cheap,mchafu,adjectives,0.09
43,cabin,kambi,nouns,0.59
44,notebook,daftari,nouns,0.31
45,daughter,mtoto mchanga,nouns,1.23
46,accept,kusamehe,verbs,0.75
47,altitude,urefu,nouns,0.0
48,bad,ana hatia,adjectives,1.59
49,liberty,uhuru,nouns,0.27
50,vein,chaguo,nouns,0.05
51,escape,kuhepa,verbs,0.0
52,vector,vector,nouns,1.7
53,bargain,maafikiano,nouns,0.12
54,messy,chafu,adjectives,0.04
55,zinc,zinki,nouns,0.81
56,enter,kwenda,verbs,0.94
57,mode,njia,nouns,1.63
58,wisdom,akili,nouns,3.83
59,wife,senti,nouns,0.0
60,fight,pigana,verbs,0.49
61,car,baisikeli,nouns,0.79
62,aunt,mpwa,nouns,0.22
63,umbrella,mwavuli,nouns,0.0
64,cell,gerezani,nouns,1.58
65,brick,ukuta,nouns,1.21
66,husband,mke,nouns,0.97
67,hip,mdomo,nouns,0.09
