ID,EST,FIN,PoS,score
1,päev,aamu,nouns,1.85
2,kurvalt,tunteellisesti,adverbs,1.9
3,riistvara,tapaus,nouns,0.2
4,saak,jumala,nouns,0.1
5,org,joki,nouns,1.0
6,alandama,lohduttaa,verbs,0.0
7,haigus,syöpä,nouns,1.25
8,õnnetus,hätätilanne,nouns,3.8
9,oluline,tarpeellinen,adjectives,4.8
10,rahakorjamine,tapahtuma,nouns,1.55
11,tagasi lükkama,välttää,verbs,2.1
12,kena,julma,adjectives,0.1
13,ise,itseluottamus,nouns,1.3
14,eestkostja,äiti,nouns,2.2
15,puit,kivi,nouns,0.9
16,võistlema,suorittaa loppuun,verbs,0.4
17,päikeseloojang,naru,nouns,0.05
18,teadma,käsittää,verbs,3.35
19,sadam,kääre,nouns,0.0
20,kaart,neliö,nouns,0.25
21,naine,vaimo,nouns,3.25
22,lubama,vahvistaa,verbs,3.05
23,uks,lattia,nouns,1.05
24,karjuma,kiistellä,verbs,1.05
25,sassis,ruma,adjectives,1.15
26,proovima,onnistua,verbs,1.15
27,post,nopeus,nouns,0.15
28,mehaaniline,sähköinen,adjectives,0.9
29,täiskasvanu,vanhempi,nouns,3.25
30,mulje,uskomus,nouns,1.45
31,omama,ottaa,verbs,1.65
32,saama,laittaa,verbs,0.2
33,tsivilisatsioon,elämäntapa,nouns,0.95
34,pehme,väkivaltainen,adjectives,0.1
35,loputama,pestä,verbs,3.05
36,uitama,kierrellä,verbs,3.15
37,telefon,uhri,nouns,0.15
38,järgima,tutkia,verbs,1.0
39,lina,kangas,nouns,2.4
40,edu saavutama,saavuttaa,verbs,3.8
41,univesum,taivas,nouns,1.3
42,lahkuma,vaeltaa,verbs,0.4
43,jõud,kestävyys,nouns,3.35
44,algama,alkaa,verbs,4.9
45,selgitama,määrittää,verbs,3.5
46,jääma,jättää,verbs,0.8
47,müüt,satiiri,nouns,0.75
48,vihkama,nauttia,verbs,0.2
49,võlts,aito,adjectives,0.45
50,valjult,mielettömästi,adverbs,1.35
51,makse,kolikko,nouns,1.0
52,segadusse ajama,oppia,verbs,0.3
53,võitja,ehdokas,nouns,1.15
54,kari,jogurtti,nouns,0.35
55,elastne,joustava,adjectives,4.6
56,magamistuba,kylpyhuone,nouns,1.75
57,umbes,niukasti,adverbs,0.5
58,tilkuma,kaataa,verbs,1.05
59,põllumajandus,kasvi,nouns,1.2
60,järg,kamera,nouns,0.05
61,hävitama,muodostaa,verbs,0.25
62,kallistama,halailla,verbs,4.55
63,ratsionaliseerima,ajatella,verbs,2.35
64,ilusti,elegantisti,adverbs,3.9
65,vana,sekoitettu,adjectives,0.1
66,vaesus,varallisuus,nouns,0.7
67,riided,nappi,nouns,1.1
68,kulutama,pitää päällä,verbs,0.6
69,org,kanjoni,nouns,3.95
70,tina,alumiini,nouns,1.05
71,saama,ostaa,verbs,1.55
72,vastu võtma,toimittaa,verbs,0.3
73,välistama,pyrkiä,verbs,0.0
74,saavutama,onnistua,verbs,3.8
75,papp,paperi,nouns,3.0
76,pentsik,kummallinen,adjectives,5.15
77,mõte,ohjelma,nouns,1.05
78,saatma,tuoda,verbs,0.7
79,ootama,tauota,verbs,1.55
80,tagasihoidlikult,huonosti,adverbs,0.6
81,arreteerima,epäillä,verbs,0.9
82,enne,jälkeen,adverbs,0.5
83,tamm,vaahtera,nouns,1.6
84,kerge,iso,adjectives,0.1
85,õnnelik,vihainen,adjectives,0.35
86,nihilism,elokuva,nouns,0.2
87,nüüd,täällä,adverbs,1.2
88,mäng,temppu,nouns,1.3
89,raamat,onnettomuus,nouns,0.05
90,sahharoos,hiilihydraatti,nouns,3.05
91,nautima,vihata,verbs,0.2
92,karusnahk,minkki,nouns,2.5
93,mees,vartiomies,nouns,1.75
94,eksam,opetussuunnitelma,nouns,0.9
95,hauakamber,uudelleenhautaaminen,nouns,1.1
96,hiiglasuur,suuri,adjectives,4.35
97,kinnitama,sanoa,verbs,1.5
98,vann,temppu,nouns,0.0
99,ignoreerima,tulostaa,verbs,0.0
100,keeruline,helppo,adjectives,0.5
101,tõestama,selittää,verbs,2.3
102,aktiivselt,täsmällisesti,adverbs,0.5
103,targalt,kypsästi,adverbs,3.3
104,täpselt,epätäsmällisesti,adverbs,0.45
105,president,pormestari,nouns,1.55
106,alkohol,gini,nouns,2.5
107,tavaliselt,epäsäännöllisesti,adverbs,0.45
108,hõljuma,laulaa,verbs,0.0
109,kogunema,kerätä,verbs,1.55
110,pettumus,viha,nouns,2.25
111,pea,jalkaterä,nouns,1.05
112,rüüpama,nieleksiä,verbs,2.15
113,vann,vaimo,nouns,0.0
114,auto,katu,nouns,0.6
115,kelder,ovi,nouns,0.7
116,lugu,kynä,nouns,0.45
117,õppima,hämätä,verbs,0.3
118,evakueerima,määrittää,verbs,0.1
119,õhtusöök,aamiainen,nouns,1.55
120,vesi,kruunajaiset,nouns,0.1
121,dieet,salaatti,nouns,1.0
122,armastaja,kumppani,nouns,2.3
123,org,masennus,nouns,0.3
124,amet,korkeakoulu,nouns,0.55
125,unustama,sivuuttaa,verbs,1.75
126,õpilane,opiskelija,nouns,4.45
127,tragöödia,kuolema,nouns,1.55
128,torm,tuuli,nouns,3.55
129,häbelik,pelästynyt,adjectives,1.3
130,tsoon,alue,nouns,4.55
131,määrama,evakuoida,verbs,0.1
132,metsamajake,leiri,nouns,0.85
133,mikroskoop,biologi,nouns,0.8
134,veider,normaali,adjectives,0.5
135,ukseava,ovi,nouns,3.2
136,tunnus,arvokkuus,nouns,0.2
137,tekk,hiiri,nouns,0.15
138,viski,alkoholi,nouns,2.55
139,lemmikloom,kissa,nouns,2.65
140,kõrgus,keskustelu,nouns,0.1
141,deemon,hirviö,nouns,4.0
142,sisalik,käärme,nouns,2.2
143,valelik,paha,adjectives,2.0
144,pall,lentopallo,nouns,2.6
145,praegu,hienotunteisesti,adverbs,0.2
146,trikk,ase,nouns,0.2
147,abikaasa (naine),äiti,nouns,2.0
148,häbenev,syyllinen,adjectives,1.45
149,süda,kirurgia,nouns,0.6
150,juhtkang,tutka,nouns,0.4
151,kihluma,naida,verbs,1.75
152,seade,kattila,nouns,0.25
153,hobune,orivarsa,nouns,3.3
154,asendus,vaihto,nouns,3.85
155,puus,huuli,nouns,0.95
156,minema,tulla,verbs,0.75
157,instrument,viulu,nouns,2.6
158,tava,sääntö,nouns,2.8
159,vana,tuore,adjectives,0.3
160,imperaator,kuvernööri,nouns,1.15
161,tähelepanu,mielenkiinto,nouns,3.15
162,realistlikult,ihanteellisesti,adverbs,0.65
163,raske,yksinkertainen,adjectives,0.25
164,kuulama,totella,verbs,0.85
165,kokkulepe,pakti,nouns,4.8
166,viisakalt,hienovaraisesti,adverbs,3.6
167,režissöör,elokuvaus,nouns,1.1
168,poeg,poika,nouns,3.45
169,käeturvis,suoja,nouns,2.75
170,planeet,tähti,nouns,2.15
171,rahumeelselt,ylpeästi,adverbs,0.35
172,värske,leveä,adjectives,0.05
173,käsi,lihas,nouns,1.3
174,sisenev,ulospäinsuuntautunut,adjectives,0.5
175,kaduma,löytää,verbs,0.5
176,lõpetama,kilpailla,verbs,0.4
177,klassiruum,eteishalli,nouns,1.0
178,elekter,tapaus,nouns,0.2
179,tehe,algebra,nouns,0.75
180,tuginema,epäonnistua,verbs,0.1
181,ohutu,laillinen,adjectives,1.7
182,tera,ruoho,nouns,0.25
183,hoomama,tietää,verbs,3.35
184,hoidma,vaalia,verbs,2.35
185,arutama,selittää,verbs,1.9
186,rütm,aritmetiikka,nouns,0.75
187,mõõk,ympäristö,nouns,0.0
188,minema,matkustaa,verbs,2.75
189,peatükk,yö,nouns,0.05
190,tagasihoidlik,joustava,adjectives,0.6
191,karusnahk,ase,nouns,0.3
192,ebatäpselt,tarkalleen,adverbs,0.45
193,riided,komero,nouns,0.65
194,apelsin,sitrushedelmä,nouns,3.7
195,paluma,kysyä,verbs,2.85
196,kael,selkäranka,nouns,1.4
