ID,EST,FRA,PoS,score
1,rütm,poème,nouns,1.75
2,oletama,prédire,verbs,3.05
3,koer,chat,nouns,1.95
4,tehing,centime,nouns,0.2
5,algama,provenir,verbs,1.2
6,nõustuma,accepter,verbs,4.5
7,muru,mousse,nouns,2.25
8,auto,usine,nouns,0.8
9,kallama,goutter,verbs,1.35
10,niit,brin,nouns,2.9
11,täielikult,au fond,adverbs,1.6
12,tunnel,chemin,nouns,1.5
13,hiiglasuur,stupide,adjectives,0.75
14,rahumeelselt,calmement,adverbs,4.7
15,vastutustundlikult,indépendamment,adverbs,1.5
16,näpistama,frapper,verbs,2.25
17,tegema,détruire,verbs,1.1
18,globalism,visa,nouns,1.1
19,läbi kukkuma,réussir,verbs,1.2
20,piibel,hymne,nouns,0.45
21,veri,virus,nouns,1.6
22,täht,planète,nouns,2.95
23,vaimustav,terne,adjectives,0.35
24,viga,système,nouns,0.5
25,nina,gorge,nouns,1.95
26,mees,oncle,nouns,2.35
27,relv,casque,nouns,1.25
28,katus,sol,nouns,1.45
29,advokaat,galerie,nouns,0.05
30,loputama,laver,verbs,4.0
31,sisalik,crocodile,nouns,3.0
32,päästma,détruire,verbs,0.75
33,deemon,ange,nouns,1.75
34,tegema,devenir,verbs,1.3
35,raevukas,hésitant,adjectives,0.65
36,tädi,neveu,nouns,1.85
37,müüt,satire,nouns,1.5
38,raamat,thème,nouns,1.05
39,põhjendamatult,injustement,adverbs,2.6
40,ennustama,supposer,verbs,2.92
41,hindeid panema,noter,verbs,5.3
42,kino,pop-corn,nouns,1.45
43,radar,manette,nouns,0.3
44,käsi,genou,nouns,1.6
45,veski,grain,nouns,1.7
46,sassis,ordonné,adjectives,1.25
47,imik,adulte,nouns,1.55
48,uskumus,concept,nouns,2.4
49,ära tõukama,négliger,verbs,1.8
50,pastakas,alphabet,nouns,0.85
51,rahul,heureux,adjectives,4.55
52,intelligentne,malin,adjectives,4.9
53,lennuk,aéroport,nouns,2.05
54,kaval,étrange,adjectives,1.4
55,linateos,film,nouns,5.5
56,teenima,faire,verbs,0.65
57,küsima,plaider,verbs,2.75
58,klaas,badge,nouns,0.4
59,suurepärane,brillant,adjectives,4.85
60,hiir,gestion,nouns,0.0
61,õiglus,droit,nouns,3.5
62,valetama,prétendre,verbs,3.35
63,suur,national,adjectives,0.6
64,ruupor,tambour,nouns,1.75
65,taasmatmine,tombe,nouns,1.65
66,lugu,sujet,nouns,2.05
67,sajand,décennie,nouns,2.25
68,vastu võtma,recommander,verbs,0.75
69,põlglik,dédaigneux,adjectives,5.65
70,poiss,soldat,nouns,1.3
71,puhas,désordonné,adjectives,1.0
72,pirukas,chocolat,nouns,1.4
73,rahutult,nerveusement,adverbs,5.2
74,rahvastik,personne,nouns,3.65
75,privaatne,personnel,adjectives,5.5
76,veok,voiture,nouns,3.2
77,tee,citron,nouns,1.1
78,bronhiit,paracétamol,nouns,1.25
79,säilitama,rester,verbs,1.6
80,ranne,main,nouns,2.6
81,müüma,aller,verbs,0.35
82,haruldane,inhabituel,adjectives,4.8
83,abikaasa (mees),homme,nouns,3.8
84,aju,nerf,nouns,2.0
85,filosoof,course,nouns,0.15
86,mahl,milk-shake,nouns,2.0
87,romaan,écrivain,nouns,1.75
88,põhiseadus,empereur,nouns,1.0
89,propageerima,avancer,verbs,2.8
90,sõltuma,compter sur,verbs,3.35
91,sõbralik,généreux,adjectives,2.75
92,kohut mõistma,témoigner,verbs,1.5
93,seisund,situation,nouns,4.25
94,keha,sang,nouns,1.85
95,luu,cou,nouns,1.4
96,varastama,acquérir,verbs,1.2
97,sõdur,paix,nouns,0.9
98,nautima,détester,verbs,0.85
99,vihje,fait,nouns,1.1
100,viiul,instrument,nouns,2.9
101,vaidlema,convaincre,verbs,2.8
102,ilmselt,simplement,adverbs,1.45
103,korraldama,collecter,verbs,1.0
104,autor,créateur,nouns,5.2
105,täiskasvanu,bébé,nouns,1.55
106,tass,cône,nouns,0.55
107,taotleja,candidature,nouns,2.1
108,muld,boue,nouns,2.9
109,vili,maïs,nouns,2.4
110,pall,panier,nouns,1.05
111,tuntud,national,adjectives,1.3
112,koridor,salle de cours,nouns,1.05
113,lõuna,nord,nouns,1.9
114,täna õhtul,aujourd'hui,adverbs,2.85
115,stipendium,frais de scolarité,nouns,1.85
116,unustama,savoir,verbs,1.0
117,jumal,prêtre,nouns,1.75
118,valetama,nier,verbs,1.85
119,keha,estomac,nouns,2.3
120,tila,fluide,nouns,1.45
121,plärtsatus,viscosité,nouns,0.4
122,kits,vache,nouns,1.85
123,julm,agréable,adjectives,0.55
124,kahuripaat,côte,nouns,0.55
125,auto,jauge,nouns,0.95
126,poliitik,policier,nouns,1.05
127,lumi,glace,nouns,3.55
128,džinn,lampe,nouns,1.35
129,põrand,toit,nouns,1.45
130,kandidaat,vainqueur,nouns,1.9
131,tugevalt,officiellement,adverbs,0.7
132,sild,voiture,nouns,0.6
133,sfäär,ballon,nouns,2.25
134,töö,outil,nouns,1.05
135,valmistaja,créateur,nouns,4.45
136,jõukus,renommée,nouns,1.8
137,male,échouage,nouns,1.55
138,puuvill,pull-over,nouns,1.45
139,haruldane,stupide,adjectives,0.15
140,laps,adulte,nouns,1.7
141,elekter,boîtier,nouns,0.85
142,teravili,blé,nouns,3.6
143,äädikas,salade,nouns,1.15
144,küllus,profusion,nouns,5.1
145,tegema,se produire,verbs,1.35
146,uba,café,nouns,1.05
147,hoidma,posséder,verbs,2.55
148,jogurt,bétail,nouns,0.35
149,suhtlema,prier,verbs,0.8
150,kirg,émotion,nouns,3.8
151,võtma,obtenir,verbs,2.7
152,lõhnama,puer,verbs,3.3
153,kasutamata,nouveau,adjectives,4.4
154,lusikas,tasse,nouns,1.55
155,mööbel,lit,nouns,2.6
156,parlament,congrès,nouns,3.45
