ID,EST,HEB,PoS,score
1,klaaspurk,בקבוק,nouns,2.65
2,võitlus,כיבוש,nouns,1.95
3,vann,עץ,nouns,0.1
4,riis,ילד,nouns,0.25
5,lennuseadmeteadus,אווירונאוטיקה,nouns,2.5
6,org,נהר,nouns,1.25
7,juhtkond,עכבר,nouns,0.0
8,härg,סוס,nouns,1.5
9,vahemaa,פרספקטיבה,nouns,1.25
10,tuntud,מפורסם,adjectives,4.05
11,voolik,גינה,nouns,1.05
12,võimas,עוצמתי,adjectives,5.0
13,laiendama,לגדול,verbs,3.85
14,vihane,אלים,adjectives,1.85
15,sümbol,קוד,nouns,2.1
16,lihas,זרוע,nouns,1.4
17,riff,חוף,nouns,1.45
18,takso,אוטובוס,nouns,1.95
19,viisa,גלובליזם,nouns,0.85
20,peigmees,כלה,nouns,1.35
21,edu saavutama,לנסות,verbs,1.55
22,rahumeelselt,בגאווה,adverbs,0.45
23,kari,כבש,nouns,2.2
24,rahulikult,בעדינות,adverbs,2.35
25,mesilane,חרק,nouns,2.35
26,õhk,הליום,nouns,1.7
27,ebaloomulikult,בטבעיות,adverbs,0.7
28,põlv,זרוע,nouns,1.25
29,minema,לשלוח,verbs,0.7
30,printima,להתעלם,verbs,0.1
31,selgroog,צוואר,nouns,1.55
32,minema,להגיע,verbs,0.95
33,pööraselt,בעצב,adverbs,0.8
34,elevant,מצפן,nouns,0.55
35,sikutama,להרים,verbs,1.25
36,õun,דיאטה,nouns,0.8
37,algebra,פעולה,nouns,1.2
38,hüppamine,גדר,nouns,0.8
39,vähendama,לכווץ,verbs,2.85
40,soo,אגם,nouns,1.15
41,minema,לאפשר,verbs,0.3
42,arvamus,נטייה,nouns,2.8
43,saama,להפסיד,verbs,0.5
44,päästma,לטבוע,verbs,0.95
45,süüdistama,לשפוט,verbs,2.75
46,luu,צוואר,nouns,0.95
47,menüü,הזמנה,nouns,1.2
48,kõrs,משימה,nouns,0.1
49,mahl,כף,nouns,0.55
50,domineerima,לנצח,verbs,2.0
51,hotell,דירה,nouns,1.35
52,kinni püüdma,לתפוס,verbs,4.8
53,kuulma,להבחין,verbs,1.85
54,raha,פנינה,nouns,0.7
55,sekularist,דת,nouns,1.5
56,pädevus,יכולת,nouns,4.6
57,luide,מדבר,nouns,1.75
58,lämbuma,לנשום,verbs,0.85
59,plekitu,נקי,adjectives,4.25
60,ebaloomulikult,באופן שלילי,adverbs,1.0
61,auto,כביש,nouns,1.25
62,nihilism,סרט,nouns,0.35
63,kaitsma,להרוג,verbs,0.7
64,võõras,מתרגם,nouns,0.8
65,täiskasvanud,ילדותי,adjectives,0.7
66,tegema,להרוס,verbs,0.9
67,taim,חקלאות,nouns,1.55
68,rahu,חייל,nouns,0.6
69,häbi,צער,nouns,1.15
70,onu,דודן,nouns,2.45
71,tugev,גאה,adjectives,0.55
72,assisteerima,לעזור,verbs,5.2
73,puhastustuli,העולם הבא,nouns,1.65
74,kast,מקור,nouns,0.0
75,korratu,מסודר,verbs,0.85
76,akustika,קול ,nouns,2.75
77,üritus,התרמה,nouns,1.15
78,sisalik,ממשלה,nouns,0.05
79,rahvas,דולר,nouns,0.1
80,poleerima,ליידע,verbs,0.0
81,magamistuba,בטן,nouns,0.15
82,looma,לצלול,verbs,0.25
83,tekk,סירה,nouns,1.15
84,onu,גבר,nouns,1.8
85,orkester,מצעד,nouns,1.4
86,kummaline,ביזארי,adjectives,5.35
87,monarhia,דמוקרטיה,nouns,1.4
88,radiaator,חיישן,nouns,0.5
89,raskendama,להטריח,verbs,0.9
90,stsenarist,טלויזיה,nouns,1.25
91,vahekäik,אולם,nouns,1.1
92,küünarnukk,קרסול,nouns,1.6
93,järsk,נוקשה,adjectives,1.65
94,hiiglasuur,גדול,adjectives,4.35
95,hakk,ציפור,nouns,2.35
96,mugul,פרח,nouns,1.3
97,peenike,צר,adjectives,2.95
98,kõver,תוקפני,adjectives,0.3
99,arvamus,בחירה,nouns,1.2
100,mänguasi,קובייה,nouns,1.1
101,episood,הופעה,nouns,0.45
102,läbirääkimine,דיפלומטיה,nouns,2.55
103,jooksja,ספורטאי,nouns,2.5
104,sipelgas,חרק,nouns,2.05
105,päev,שחר,nouns,1.85
106,maitsetaim,מריחואנה,nouns,2.25
107,minevik,קודם,nouns,1.9
108,jäse,רגל,nouns,2.8
109,korrutama,להוסיף,verbs,1.25
110,meeter,יארד,nouns,2.4
111,lihas,עצם,nouns,1.25
112,imeline,מצוין,adjectives,4.2
113,advokaat,גלריה,nouns,0.0
114,kergelt,בנוחיות,adverbs,1.55
115,segama,לבשל,verbs,1.15
116,anuma,לרצות,verbs,0.4
117,lugema,להבין,verbs,1.05
118,hoidma,לחבק,verbs,2.0
119,leidma,לברוח,verbs,0.6
120,osuti,שקופית,nouns,0.25
121,kaebama,להביא,verbs,0.05
122,umbes,בגסות,adverbs,2.0
123,orkester,להקה,nouns,3.55
124,alkohol,קוקטייל,nouns,2.25
125,tunnistama,להכחיש,verbs,0.85
126,erinema,לטעון,verbs,1.75
127,galaktika,אפליקציה,nouns,0.4
128,kolonel,רופא,nouns,0.35
129,käsikiri,מאמר,nouns,1.9
130,põhi,מערב,nouns,1.45
131,pankur,פרקליט,nouns,1.2
132,luu,זרוע,nouns,1.3
133,ootama,להפסיק,verbs,1.2
134,auto,משאית,nouns,3.0
135,õpetama,לחנך,verbs,4.45
136,puit,נייר,nouns,1.45
137,hool,זהירות,nouns,3.1
138,tehislik,מזוייף,adjectives,3.85
139,pehmelt,בנחישות,adverbs,0.5
140,šerif,שוטר,nouns,3.95
