ID,EST,RUS,PoS,score
1,takso,автобус,nouns,1.2
2,planeet,луна,nouns,2.2
3,ideaalselt,реалистично,adverbs,0.65
4,laenama,давать,verbs,2.1
5,klatš,новость,nouns,2.3
6,luu,мускул,nouns,1.05
7,kaitsma,убивать,verbs,0.3
8,taganema,покидать,verbs,2.45
9,vitamiin,железо,nouns,0.8
10,ajakirjanik,поэт,nouns,1.05
11,kirjandus,книга,nouns,2.35
12,naerma,плакать,verbs,0.55
13,deemon,ангел,nouns,0.8
14,veider,нормальный,adjectives,0.35
15,isa,родитель,nouns,3.2
16,imperaator,конституция,nouns,0.6
17,ebanormaalselt,обычно,adverbs,0.3
18,osuti,слайд,nouns,0.05
19,minema,путешествовать,verbs,2.1
20,tõmbama,толкать,verbs,0.6
21,jänes,кот,nouns,0.65
22,nutikas,тупой,adjectives,0.3
23,käsiraamat,путеводитель,nouns,3.8
24,raha,капитал,nouns,3.85
25,puit,одеяло,nouns,0.05
26,klassiruum,коридор,nouns,0.85
27,programm,питание,nouns,0.4
28,jätma,идти,verbs,1.0
29,buss,автотранспорт,nouns,2.1
30,raske,большой,adjectives,1.9
31,magamistuba,кровать,nouns,1.25
32,eesmärk,поиск,nouns,1.2
33,sonett,красота,nouns,0.4
34,ülikoolilinnak,университет,nouns,1.7
35,kalts,одежда,nouns,1.8
36,kõva,плотный,adjectives,2.6
37,juust,хлеб,nouns,0.85
38,atmosfäär,озон,nouns,1.9
39,ebaviisakas,грубый,adjectives,3.2
40,teostama,побеждать,verbs,0.9
41,mõtlema,обосновывать,verbs,1.9
42,piparmünt,жвачка,nouns,0.55
43,preester,бог,nouns,1.25
44,märk,стекло,nouns,0.15
45,ruut,карта,nouns,0.6
46,kuubik,игральная кость,nouns,2.65
47,vastupidavus,сила,nouns,2.75
48,mõnikord,конечно,adverbs,0.25
49,müts,пальто,nouns,0.85
50,pakk,грузовик,nouns,0.8
51,uus,старый,adjectives,0.45
52,nurk,изгиб,nouns,2.1
53,abikaasa (naine),мать,nouns,2.1
54,õppekava,экзамен,nouns,0.9
55,solvama,беспокоить,verbs,0.65
56,korratu,организованный,verbs,0.35
57,trikk,ванна,nouns,0.0
58,sisenema,задолжать,verbs,0.05
59,kaval,выносливый,adjectives,0.95
60,kärbes,муравей,nouns,1.05
61,tavaliselt,редко,adverbs,0.3
62,tekk,судно,nouns,1.05
63,bänd,спиртное,nouns,0.45
64,kolledž,профессия,nouns,0.7
65,suurepärane,ужасный,adjectives,0.25
66,täielikult,в принципе,adverbs,1.2
67,vihmavari,калибр,nouns,0.05
68,abielluma,присоединиться,verbs,1.25
69,lõpetama,делать,verbs,0.75
70,takso,таксомотор,nouns,3.35
71,kogunema,посещать,verbs,0.95
72,torbik,стакан,nouns,0.5
73,karp,аппара́тное обеспече́ние,nouns,0.35
74,rahvuslik,большой,adjectives,0.5
75,reaalsus,фантазия,nouns,0.7
76,plärtsatus,вязкость,nouns,0.3
77,leidma,искать,verbs,1.25
78,pisik,патогенный микроорганизм,nouns,4.15
79,lükkama,обвинять,verbs,0.25
80,kabel,кабель,nouns,0.0
81,matma,умереть,verbs,0.85
82,ajakiri,статья,nouns,1.5
83,ilmselgelt,локально,adverbs,0.05
84,emaplaat,главная плата,nouns,3.55
85,lahkuma,выселять,verbs,0.8
86,voodi,мебель,nouns,2.25
87,tõlge,иностранец,nouns,0.85
88,viirus,кровь,nouns,0.95
89,õhtusöök,завтрак,nouns,1.05
90,tooma,жаловаться,verbs,0.15
91,õppima,поглощать,verbs,0.6
