ID,EST,SPA,PoS,score
1,tagasi lükkama,evitar,verbs,2.55
2,käsivars,muñeca,nouns,1.6
3,järelliide,sufijo,nouns,2.7
4,väljapääs,sufragio,nouns,0.2
5,kuritegu,ataque,nouns,2.0
6,kapp,ropa,nouns,1.25
7,normaalselt,diariamente,adverbs,3.55
8,käsi,rodilla,nouns,0.75
9,hindama,analizar,verbs,3.85
10,asteroid,estrella,nouns,2.45
11,läbirääkimine,diplomacia,nouns,2.9
12,nurjuma,perder,verbs,2.3
13,karvapealt,exactamente,adverbs,5.15
14,ehmunud,emocionado,adjectives,1.45
15,deemon,ángel,nouns,1.2
16,kannike,flor,nouns,2.15
17,uskumus,impresión,nouns,1.85
18,omandama,unirse,verbs,0.65
19,võitja,candidato,nouns,1.45
20,täiskasvanud,inmaduro,adjectives,0.45
21,agressivne,grosero,adjectives,2.55
22,plärtsatus,viscosidad,nouns,0.55
23,aeg-ajalt,regularmente,adverbs,1.6
24,päike,cielo,nouns,1.25
25,laulma,reír,verbs,0.4
26,suurus,magnitud,nouns,4.25
27,eelarvamus,opinión,nouns,2.4
28,minema,vender,verbs,0.2
29,kitarr,tambor,nouns,1.0
30,kuritegu,robo,nouns,3.1
31,kuju,escultura,nouns,5.0
32,armee,legión,nouns,3.25
33,kirik,coro,nouns,1.4
34,kahur,pistola,nouns,1.85
35,imelikult,diferentemente,adverbs,1.85
36,topoloogia,estructura,nouns,1.5
37,kange,fácil,adjectives,0.1
38,alumiinium,metal,nouns,2.2
39,president,alumno,nouns,0.3
40,karp,cigarro,nouns,0.6
41,kaitsma,mantener,verbs,2.5
42,portreteerima,imitar,verbs,2.4
43,sümbol,criptograma,nouns,2.35
44,reis,ruta,nouns,4.2
45,kitarr,trucha,nouns,0.0
46,iidne,nuevo,adjectives,0.3
47,raamat,texto,nouns,2.3
48,täht,brillo,nouns,2.05
49,töötaja,empleador,nouns,1.15
50,vägivaldne,pasivo,adjectives,0.35
51,mesilane,insecto,nouns,2.85
52,jalgratas,habitación,nouns,0.2
53,kilp,rodela,nouns,2.0
54,lõpmatus,cero,nouns,0.8
55,klooster,ducha,nouns,0.1
56,kirjanik,novela,nouns,1.3
57,relv,casco,nouns,1.0
58,etteaste,camafeo,nouns,0.4
59,süüa tegema,mezclar,verbs,0.95
60,kari,oveja,nouns,2.25
61,televisioon,actor,nouns,0.9
62,ütlema,verificar,verbs,1.4
63,laadima,despreciar,verbs,0.3
64,rannik,playa,nouns,3.35
65,lahkelt,suavemente,adverbs,2.25
66,kaetud,vestido,adjectives,3.1
67,alkohol,ginebra,nouns,2.25
68,vihje,inteligencia,nouns,0.7
69,õigustama,verificar,verbs,1.65
70,oponent,adversario,nouns,5.15
71,siiralt,seriamente,adverbs,2.2
72,tööline,empleador,nouns,1.2
73,kabel,campanario,nouns,1.2
74,täpselt,activamente,adverbs,0.75
75,lärm,raqueta,nouns,0.6
76,erinevus,recordatorio,nouns,0.35
77,naine,esposa,nouns,3.3
78,süüdi,avergonzado,adjectives,1.9
79,hämmastav,sucio,adjectives,0.25
80,passiivselt,seguramente,adverbs,0.2
81,miin,rock,nouns,0.0
82,lahkuma,retirarse,verbs,2.6
83,auto,ascensor,nouns,0.5
84,jõukus,fama,nouns,1.4
85,uskumus,valor,nouns,2.0
86,märkima,criticar,verbs,1.5
87,pakt,acuerdo,nouns,5.05
88,kõva,denso,adjectives,2.15
89,rivi,lista,nouns,1.05
90,nõudma,discutir,verbs,1.05
91,delikaatselt,actualmente,adverbs,0.2
92,amet,administración,nouns,1.45
93,tõbi,peligro,nouns,0.75
