ID,EST,SWA,PoS,score
1,tööline,kamera,nouns,0.05
2,paindlik,mwenye kiasi,adjectives,0.9
3,lööma,kupiga,verbs,1.32
4,nina,koo,nouns,0.95
5,kitsas,nyembamba,adjectives,0.1
6,rünnak,shambulio,nouns,3.05
7,autopasun,gari,nouns,0.8
8,süüa tegema,kupika,verbs,0.23
9,lämmatama,kuwa nyororo,verbs,0.35
10,süsinik,atomu,nouns,1.05
11,puhastustuli,purigatori,nouns,1.35
12,solvama,kutukana,verbs,3.2
13,mõte,mpango,nouns,1.3
14,ühiskond,klabu,nouns,0.7
15,lagunema,kuoza,verbs,1.85
16,kutt,rafiki,nouns,1.0
17,leidma,pata,verbs,0.6
18,klassiruum,ushoroba,nouns,0.45
19,teadma,kusahau,verbs,0.25
20,laulja,mchezaji,nouns,1.25
21,pidulik,sahihi,adjectives,1.3
22,uks,korido,nouns,1.05
23,emotsionaalselt,kwa hisia,adverbs,1.55
24,tüdruk,mfanyakazi wa nyumbani,nouns,1.25
25,peenike,nyembamba,adjectives,4.85
26,tsink,zinki,nouns,1.1
27,kurv,pembe,nouns,1.45
28,õhtueine,chakula,nouns,3.35
29,hävitama,kutengeneza,verbs,0.45
30,haru,shina,nouns,0.3
31,eitama,kupa,verbs,0.2
32,hambaarst,daktari wa meno,nouns,5.0
33,auto,boti,nouns,0.75
34,lisama,kujiunga,verbs,1.1
35,president,kamera,nouns,0.2
36,linnapea,rais,nouns,1.05
37,nina,kinywa,nouns,0.85
38,sviiter,fulana,nouns,0.65
39,piitsutama,kubuta,verbs,2.35
40,ebaselge,haijulikani,adjectives,4.6
41,teesklema,kudhani,verbs,0.6
42,keel,uzi,nouns,0.05
43,korraldama,kuhitaji,verbs,0.45
44,ülestunnistus,kanusho,nouns,0.6
45,kast,sanduku,nouns,0.0
46,udu,wingu,nouns,2.3
47,punane,nyekundu,adjectives,0.55
48,haihtuma,kupotea,verbs,5.3
49,õhk,molekuli,nouns,0.7
50,päikeseloojang,machweo,nouns,0.05
51,kahur,bunduki,nouns,2.1
52,eesnahk,govi,nouns,1.65
53,jõgi,bahari,nouns,2.0
54,meri,bahari,nouns,1.0
55,nihilism,kutoamini dini,nouns,0.2
56,riided,koti,nouns,2.4
57,raske,mzigo,adjectives,1.5
58,lamp,taa,nouns,0.4
59,varastama,kupa,verbs,0.15
60,närviliselt,kwa woga,adverbs,4.8
61,osalema,kushirikiana,verbs,3.15
62,pehme,laini,adjectives,0.0
63,pilv,wingu,nouns,0.25
64,süüdistama,kulaumu,verbs,0.25
65,ebaloomulikult,si asili,adverbs,0.55
66,aluspesu,chupi,nouns,0.4
67,pärinema,kugundua,verbs,0.3
68,suhtlus,mazungumzo,nouns,4.25
69,kallistama,kumbatia,verbs,4.75
70,taskukohane,nafuu,adjectives,3.4
71,printima,kuchapisha,verbs,0.0
72,anuma,kujipendekeza,verbs,0.3
73,vine,wingu,nouns,1.25
74,psühholoogia,sayansi,nouns,2.2
75,advokaat,wakili,nouns,4.55
76,karm,mwerevu,adjectives,0.65
77,illegaalne,wa dhambi,adjectives,2.45
78,vann,gogo,nouns,0.0
79,graafik,jedwali,nouns,3.35
80,kalender,tarehe,nouns,2.8
81,pagas,mzigo,nouns,0.45
82,äri,viwanda,nouns,1.9
83,eelarvamus,ubaguzi,nouns,1.7
84,iidne,mpya,adjectives,0.3
85,kõrs,jukumu,nouns,0.1
86,tušš,shower,nouns,0.1
87,atmosfäär,hali ya anga,nouns,2.5
88,jalg,kichwa,nouns,0.6
89,torn,kengele,nouns,0.8
90,auto,kiwanda,nouns,0.3
91,rist,msalaba,nouns,0.55
92,ebamoraalne,mbaya,adjectives,2.85
93,matma,kuzikwa,verbs,1.4
94,nõudma,hitaji,verbs,0.75
95,lahustama,kuyeyusha,verbs,0.3
96,romaan,simulizi,nouns,0.85
97,planeet,sayari,nouns,2.85
98,kandma,kupeleka,verbs,1.1
99,uks,dirisha,nouns,1.15
100,saar,mtoto wa mfalme,nouns,0.0
101,kolb,pistoni,nouns,1.55
102,sitke,ngumu,adjectives,2.7
103,kandma,kuvaa,verbs,0.6
104,katteta,haijafunikwa,adjectives,0.35
105,taotlus,maombi,nouns,1.85
106,kaine,kutolewa,adjectives,0.3
107,kampsun,fulana,nouns,1.6
108,nõustuma,kugombana,verbs,0.5
109,putukas,nyuki,nouns,2.55
110,algebra,algebra,nouns,0.7
111,juur,nyasi,nouns,0.75
112,käituma,kutii,verbs,1.2
113,käsi,mkono,nouns,0.3
114,reis,safari,nouns,4.15
115,saatma,kuhudhuria,verbs,0.35
116,lihtne,ngumu,adjectives,0.3
117,rahulikult,kwa utulivu,adverbs,2.5
118,laadija,chaja,nouns,0.15
119,mitte kunagi,kamwe,adverbs,0.23
120,vallutus,nyimbo,nouns,0.2
121,ärritunud,kasirika,adjectives,0.1
122,mõõk,sime,nouns,0.3
123,naljakas,mwenye huzuni,adjectives,0.4
124,raev,hasira,nouns,4.8
125,mutant,jitu,nouns,0.35
126,soovima,kutaka,verbs,4.35
127,ühendama,kuunganisha,verbs,0.7
128,maskeerima,kuficha,verbs,2.8
129,lehekülg,neno,nouns,0.4
130,vildakas,isiyonyooka,adjectives,4.85
131,kärbes,nzi,nouns,0.95
132,hütt,makao,nouns,1.05
133,ulatus,saizi,nouns,4.2
134,abikaasa (naine),mwanamke,nouns,3.9
135,fakt,umaizi,nouns,1.55
136,puit,gogo,nouns,3.15
137,peatükk,mkia,nouns,0.05
138,lahutama,toa ,verbs,0.6
139,kael,mkono,nouns,0.6
140,modernne,wa kale,adjectives,0.35
141,kõver,pinda,adjectives,0.4
142,päästma,kulinda,verbs,1.55
143,tükk,kipande,nouns,0.0
144,sassis,chafu,adjectives,0.92
145,saavutama,kufaida,verbs,0.75
146,müüt,hadithi,nouns,1.7
147,alus,besi,nouns,0.75
148,enne,kabla,adverbs,0.35
149,riistvara,kifaa,nouns,0.25
150,unistus,ndoto,nouns,0.45
151,kriitiline,muhimu,adjectives,0.6
152,põrand,dari,nouns,0.7
153,surmavalt,mwishoni,adverbs,0.1
154,terav,mbutu,adjectives,0.4
155,hiir,sitaha,nouns,0.15
156,kaks korda,mara mbili,adverbs,0.4
157,režissöör,mkurugenzi,nouns,0.7
158,tass,kijiko,nouns,0.95
159,kombinatsioon,mjumuiko,nouns,2.25
160,pära,mkia,nouns,2.75
161,hommikusöök,nyama ya nguruwe,nouns,0.8
162,kontrollima,kudhibiti,verbs,0.8
163,mesi,asali,nouns,0.15
164,armee,kikosi,nouns,3.4
165,kari,mifugo,nouns,0.25
166,klaver,kinanda,nouns,0.6
167,taassoojendama,choma,nouns,0.75
168,avalik,hadharani,adjectives,0.6
169,tee,limau,nouns,0.4
170,hoidma,kushikilia,verbs,2.55
171,rahvasumm,umati,nouns,4.85
172,kahju,maumivu,nouns,2.55
173,vägivaldne,kigomvi,adjectives,0.13
174,otsustama,kufikiria,verbs,2.2
175,kalender,kalenda,nouns,0.6
