ID,EST,YUE,PoS,score
1,pilv,天氣,nouns,1.07
2,kuningas,公主,nouns,1.74
3,tuju,醫生,nouns,0.28
4,trumm,喇叭,nouns,0.88
5,müüt,諷刺,nouns,0.78
6,haamer,牙,nouns,0.15
7,jalgratas,睡房,nouns,0.05
8,kihlus,戒指,nouns,1.23
9,isa,哥哥,nouns,1.48
10,sõnaraamat,百科全書,nouns,2.28
11,vägi,力量,nouns,3.53
12,raamat,意外,nouns,0.05
13,noor,焦躁不安,adjectives,0.6
14,naerma,唱,verbs,0.38
15,tunnistama,通知,verbs,0.93
16,tervitama,見面,verbs,1.26
17,sümbol,密碼,nouns,1.35
18,keel,喉,nouns,1.1
19,looma,潛水,verbs,0.2
20,regioon,地區,nouns,3.69
21,küsima,祈禱,verbs,1.08
22,küüs,頭,nouns,0.29
23,informatsioon,書,nouns,1.05
24,andma,知道,verbs,0.04
25,paber,木,nouns,0.97
26,tooma,恢復,verbs,0.28
27,evakueerima,確定,verbs,0.05
28,kuulutama,宣告,verbs,3.41
29,auto,電梯,nouns,0.44
30,muru,刀口,nouns,0.25
31,poiss,米飯,nouns,0.1
32,võrrand,公式,nouns,3.22
33,liiv,腳,nouns,0.1
34,tellimus,菜單,nouns,1.01
35,president,污染,nouns,0.05
36,mootor,活塞,nouns,1.21
37,püüdma,捕獲,verbs,3.88
38,kitarr,鱒魚,nouns,0.0
39,kurbus,幸福,nouns,0.59
40,taevas,夢想,nouns,0.4
41,vend,兒子,nouns,0.91
42,kaart,橋,nouns,0.15
43,hoidma,擁有,verbs,1.68
44,lumi,冰,nouns,3.17
45,ajaloolane,史學家,nouns,5.56
46,peatuma,哨,verbs,0.29
47,aed,跳躍,nouns,0.45
48,riistvara,案件,nouns,0.29
49,sõitma,跑,verbs,0.49
50,troon,劍,nouns,0.3
51,liblikas,玫瑰,nouns,0.24
52,soovitama,接受,verbs,0.25
53,võimas,弱,adjectives,0.15
54,tõenäoliselt,也許,adverbs,3.5
55,voodi,毯子,nouns,0.69
56,abikaasa (naine),洞,nouns,0.05
57,eitama,給予,verbs,0.15
58,vahetama,恢復,verbs,0.71
59,pilv,風暴,nouns,1.47
60,pank,座位,nouns,0.2
61,mees,兒童,nouns,1.51
62,kanep,草藥,nouns,1.84
63,saavutama,完成,verbs,3.79
64,põhi,南,nouns,1.23
65,kaduma,消失,verbs,4.87
66,skulptuur,雕像,nouns,4.58
67,lahing,好鬥,nouns,1.07
68,teostama,達到,verbs,3.79
69,lagunema,毀滅,verbs,1.18
70,sammal,草,nouns,2.13
71,poleerima,通知,verbs,0.0
72,õnnelik,嬲,adjectives,0.29
73,keeruline,簡單,adjectives,0.48
74,jooma,吞,verbs,1.56
75,tõbi,危險,nouns,0.71
76,vaatenurk,距離,nouns,0.63
77,muutmine,高度,nouns,0.15
78,hajuma,侵蝕,verbs,1.44
79,ausalt,不公平,adverbs,0.29
80,ausalt,真誠地,adverbs,4.63
81,suu,嘴唇,nouns,2.97
82,radikaalne,暴力,adjectives,2.35
83,koostama,毀滅,verbs,0.28
84,tegema,毀滅,verbs,0.54
85,pealik,市長,nouns,2.51
86,keraamika,陶藝,nouns,3.34
87,loobuma,壓抑,verbs,0.14
88,bioloogia,群落生境,nouns,0.79
89,rahumeelselt,混亂,adverbs,0.25
90,kummaline,普通,adjectives,0.39
91,teema,故事,nouns,1.51
92,püüdma,放走,verbs,0.63
