ID,FIN,FRA,PoS,score
1,huomio,intérêt,nouns,4.0
2,passiivisesti,sérieusement,adverbs,0.4
3,kriittisesti,principalement,adverbs,0.8
4,häpeä,chagrin,nouns,1.9
5,onnistua,échouer,verbs,1.1
6,lapsi,adulte,nouns,1.7
7,rikos,fraude,nouns,4.05
8,tietää,comprendre,verbs,3.25
9,kuorsata,réveiller,verbs,0.85
10,miellyttää,divertir,verbs,1.85
11,tehdä,se produire,verbs,1.6
12,uskomus,fleur,nouns,0.0
13,karata,fuir,verbs,5.7
14,keuhko,foie,nouns,2.1
15,lainata,devoir,verbs,1.6
16,laulaja,acteur,nouns,2.0
17,kapea,blanc,adjectives,0.05
18,aamunkoitto,pistolet,nouns,0.05
19,kynsi,pouce,nouns,2.25
20,henkilökohtainen,privé,adjectives,4.8
21,järjestää,arranger,verbs,5.15
22,kiistää,éviter,verbs,1.0
23,keskustella,expliquer,verbs,2.2
24,välttää,ignorer,verbs,3.55
25,myöntyä,différer,verbs,0.7
26,peukalo,ongle,nouns,2.25
27,heppu,fille,nouns,1.55
28,pallo,panier,nouns,0.8
29,ovi,couloir,nouns,1.3
30,aivot,nerf,nouns,2.05
31,kana,dîner,nouns,1.5
32,luokka,chaos,nouns,0.15
33,valkoinen,étroit,adjectives,0.05
34,vaikea,simple,adjectives,1.1
35,täysin,légèrement,adverbs,0.95
36,sovinisti,préjudice,nouns,0.7
37,pomo,réalisateur,nouns,2.1
38,miehet,fraternité,nouns,1.65
39,luotettavasti,passivement,adverbs,0.4
40,mies,enfant,nouns,1.8
41,asunto,maison,nouns,3.75
42,kauneus,âge,nouns,0.7
43,arkipäiväinen,ordinaire,adjectives,5.1
44,tuoli,banc,nouns,3.7
45,omituinen,bizarre,adjectives,5.7
46,lautanen,bol,nouns,2.65
47,karja,mouton,nouns,3.25
48,hyökkäys,blitz,nouns,3.45
49,poika,riz,nouns,0.05
50,polvi,os,nouns,2.0
51,viha,frustration,nouns,3.0
52,hurskaasti,mûrement,adverbs,0.85
53,kilpi,bouclier,nouns,3.35
54,äänekkäästi,subtilement,adverbs,0.7
55,kampanja,singe,nouns,0.05
56,auto,vélo,nouns,1.65
57,sitoa,unir,verbs,3.5
58,musertaa,étouffer,verbs,2.45
59,yhdistelmä,union,nouns,4.05
60,teeskennellä,sembler,verbs,1.4
61,jäytää,permettre,verbs,0.15
62,iso,national,adjectives,0.25
63,sisältää,inclure,verbs,5.25
64,ontua,marcher,verbs,2.75
65,pelokas,anxieux,adjectives,3.2
66,karja,vache,nouns,3.55
67,dollari,millionnaire,nouns,1.3
68,mahdollisesti,avec optimisme,adverbs,1.0
69,anteliaasti,jamais,adverbs,0.1
70,orvokki,fleur,nouns,3.3
71,jalka,membre,nouns,3.55
72,tehdä,cesser,verbs,0.95
73,ammatti,lycée,nouns,0.8
74,halveksuva,méprisant,adjectives,5.9
75,lakimies,galerie,nouns,0.05
76,dinosaurus,éléphant,nouns,1.6
77,munkki,croix,nouns,1.15
78,lujasti,solidement,adverbs,5.1
79,ovela,dur,adjectives,0.35
80,istunto,patient,nouns,0.2
