ID,FIN,HEB,PoS,score
1,milloin tahansa,לפעמים,adverbs,1.6
2,sanoa,לאמת,verbs,0.9
3,harvinainen,יוצא דופן,adjectives,4.85
4,vihainen,שמח,adjectives,0.7
5,kamera,עדשה,nouns,1.7
6,kuunnella,לשמוע,verbs,3.45
7,tanko,דגל,nouns,1.1
8,leikkuupuimuri,קנה סוכר,nouns,0.35
9,kamera,המשך,nouns,0.0
10,yleensä,בכנות,adverbs,0.05
11,onnellinen,עליז,adjectives,4.6
12,vaatteet,מגירה,nouns,0.65
13,lintu,הודו,nouns,2.25
14,kruunajaiset,מים,nouns,0.05
15,sade,ערפל,nouns,1.8
16,ystävä,אורח,nouns,1.45
17,tappaa,לחנוק,verbs,1.65
18,ranta,חוף,nouns,nan
19,rakennus,חדר,nouns,1.35
20,silmä,דמעה,nouns,1.2
21,häntä,פרק,nouns,0.2
22,nauraa,לבכות,verbs,0.65
23,jäytää,לאפשר,verbs,0.05
24,roikkua,להניח,verbs,0.6
25,hissi,תיבה,nouns,0.3
26,luokka,מכללה,nouns,0.95
27,kerran,פעמיים,adverbs,1.4
28,armeija,יחידה,nouns,1.3
29,taksi,מונית,nouns,5.25
30,kuljettaja,טייס,nouns,2.75
31,sänky,חדר,nouns,0.9
32,nenä,ראש,nouns,1.35
33,luoja,יוצר,nouns,4.45
34,elämäkerta,בדיה,nouns,0.9
35,tunnustaa,לדבר,verbs,1.1
36,vastuuton,ילדותי,adjectives,2.3
37,arvokas,מיוחד,adjectives,2.85
38,veljeskunta,בייסבול,nouns,0.25
39,riippua,לסמוך,verbs,2.8
40,niska,עצם,nouns,1.25
41,nainen,פרווה,nouns,0.2
42,kantaa,למסור,verbs,1.35
43,ponnistus,קושי,nouns,2.4
44,äiti,אבא,nouns,2.0
45,ruma,גס,adjectives,0.95
46,elokuu,חודש,nouns,2.5
47,ymmärtää,לדעת,verbs,2.75
48,lippu,מוט,nouns,1.1
49,raitiovaunu,רכבת,nouns,2.35
50,mieletön,שמח,adjectives,0.65
51,miekka,כס,nouns,0.35
52,tuhota,להציל,verbs,0.5
53,saada kiinni,לשחרר,verbs,0.7
54,atomi,פחמן,nouns,1.6
55,villapaita,כותנה,nouns,1.15
56,lahjoitus,תרומה,nouns,1.9
57,kovakouraisesti,באופן אמין,adverbs,0.25
58,hankkia,לקבל,verbs,1.85
59,laskimo,בחירה,nouns,0.0
60,sattua,לבעוט,verbs,1.1
61,vapista,לקפוא,verbs,1.25
62,valloitus,המנון,nouns,0.25
63,joustava,אלסטי,adjectives,5.25
64,puhelin,תא,nouns,0.3
65,kartano,פסל,nouns,0.3
66,ylpeä,עצוב,adjectives,0.25
67,laittaa,לקבל,verbs,0.5
68,sisäkatto,גג,nouns,3.85
69,myöntyä,לרצות,verbs,0.95
70,ministeri,רב,nouns,0.7
71,miekka,סביבה,nouns,0.0
72,kulho,זנב,nouns,0.0
73,monitori,מסך,nouns,4.7
74,teleskooppi,סיעור מוחות,nouns,0.0
75,kissa,אריה,nouns,2.25
76,lainata,לתת,verbs,2.45
77,niukasti,בערך,adverbs,0.5
78,veri,גוף,nouns,1.0
79,terminaalisesti,אחרת,adverbs,0.2
80,kahvi,פול,nouns,1.0
81,sivuuttaa,לשכוח,verbs,1.65
82,tuore,חדש,adjectives,4.05
83,kävellä,לעמוד,verbs,1.0
84,kartta,כיכר,nouns,0.45
85,hattu,קופסה,nouns,0.1
86,ajatella,לברר,verbs,0.9
87,aviomies,גבר,nouns,3.25
88,kuulla,להבחין,verbs,1.9
89,kylpy,בלון,nouns,0.1
90,myydä,להשאיל,verbs,0.85
91,virkkaus,מדים,nouns,0.15
92,korkeakoulu,כיתה,nouns,0.95
93,metalliseos,פלדה,nouns,2.9
94,silta,קלף,nouns,0.7
95,katedraali,כנסייה,nouns,4.15
96,matto,בית,nouns,0.75
97,luu,קרסול,nouns,1.7
98,onnellisesti,בבטחה,adverbs,0.8
99,vilpittömästi,ברצינות,adverbs,1.3
100,hypoteesi,תיאוריה,nouns,4.65
101,kiivetä,לטייל,verbs,1.7
102,pilvi,תחזית,nouns,1.15
103,sydän,ניתוח,nouns,0.75
104,kapea,מלוכלך,adjectives,0.0
105,saada,לקנות,verbs,1.15
106,ravistaa,לאסוף,verbs,0.2
107,hauska,עצוב,adjectives,0.7
108,hermostunut,בטוח,adjectives,0.15
109,kurpitsa,דם,nouns,0.7
110,onnellisuus,עצב,nouns,0.75
111,kauneus,גיל,nouns,0.6
112,mennä,לאפשר,verbs,0.3
113,halpa,מלוכלך,adjectives,0.5
114,korottaa,לשתות,verbs,0.0
115,opiskelija,פרופסור,nouns,1.05
116,jättää,לנסוג,verbs,3.25
117,sää,שלג,nouns,0.9
118,polvi,עצם,nouns,1.4
119,taideteos,אמן,nouns,1.2
120,käsikirjoitus,מאמר,nouns,1.95
121,anoa,להשאיל,verbs,0.5
122,vahvasti,רשמית,adverbs,0.25
123,sotkuinen,נקי,adjectives,0.65
124,ylpeys,שמחה,nouns,1.85
125,ruoho,טחב,nouns,1.6
126,sairaus,חום,nouns,2.25
127,leveä,צר,adjectives,0.7
128,viini,ליקר,nouns,2.25
129,tehdä,להפסיק,verbs,0.6
130,myöntyä,לחלוק,verbs,0.7
131,voittaja,אלוף,nouns,3.5
132,huone,מיטה,nouns,0.9
133,sarvi,מכונית,nouns,0.65
134,auttaja,מורה,nouns,1.9
135,sukeltaa,ליצור,verbs,0.1
136,olla velkaa,להיכנס,verbs,0.0
137,mielipide,בחירה,nouns,1.05
138,kirkua,לצרוח,verbs,4.4
139,lehmä,בקר,nouns,3.45
140,täsmällisesti,בדיוק,adverbs,5.05
141,sähköinen,מכני,adjectives,1.2
142,ilmeisesti,פשוט,adverbs,0.45
143,kehto,עריסה,nouns,4.2
144,laakso,נהר,nouns,0.95
145,hiljattain,כרגע,adverbs,1.35
146,laulusolisti,צוות,nouns,0.05
147,lisätä,לכפול,verbs,1.4
148,hermo,מוח,nouns,1.3
149,taiteilija,יצירה,nouns,1.2
150,auto,מונית,nouns,2.95
151,kirkko,מקהלה,nouns,1.05
152,aktiivisesti,באופן פסיבי,adverbs,0.45
153,näyttelijä,שחקנית,nouns,4.05
154,ujo,יקר,adjectives,0.05
155,hiljattain,באופן מציאותי,adverbs,0.1
156,myydä,להזכיר,verbs,0.0
157,houkkamainen,ילדותי,adjectives,1.35
158,kova,מורכב,adjectives,3.05
159,lammas,טלה,nouns,3.9
160,uskoa,לדעת,verbs,1.3
161,kaataa,לטפטף,verbs,1.7
162,partio,צבא,nouns,1.3
163,älykkyys,תבונה,nouns,4.5
164,tyttö,עוזרת,nouns,1.3
165,halata,לחנוק,verbs,0.6
166,ymmärtää,להקשיב,verbs,1.7
167,kertoa,לחלק,verbs,1.4
168,selkäranka,גוף,nouns,1.45
169,unohtaa,להזכיר,verbs,0.7
170,valita,לדחות,verbs,0.1
171,tarjous,אגורה,nouns,0.35
172,vaivata,לפגוע,verbs,1.45
173,rationaalinen,פיכח,adjectives,1.35
174,kerätä,לשמור,verbs,2.55
175,keskustella,להסביר,verbs,1.4
176,antaa,לנשל,verbs,0.45
177,käsilaukku,תיק,nouns,3.35
178,uskomattomasti,בחוזקה,adverbs,0.9
179,viides,עליון,adjectives,0.3
180,järkeistää,לחשוב,verbs,1.95
