ID,FIN,POL,PoS,score
1,vatsa,sypialnia,nouns,0.0
2,tyyli,elegancja,nouns,4.45
3,jäädä,odchodzić,verbs,0.55
4,tytär,ojciec,nouns,0.75
5,galaksi,aplikacja,nouns,0.0
6,viheltää,zatrzymywać,verbs,0.1
7,onneton,obłąkany,adjectives,0.5
8,tukahduttaa,wyrzekać się,verbs,1.1
9,hissi,samochód,nouns,0.05
10,lukea,rozumieć,verbs,0.9
11,kukka,krzak,nouns,1.65
12,hiljattain,ostatnio,adverbs,5.15
13,uloskäynti,prawo wyborcze,nouns,0.05
14,vartalo,ramię,nouns,1.4
15,karja,owca,nouns,1.9
16,epäilty,mężczyzna,nouns,0.4
17,huomio,świadomość,nouns,2.35
18,tajuta,odkryć,verbs,3.85
19,epäkypsä,dorosły,adjectives,0.2
20,viihdyttää,lubić,verbs,0.5
21,kauneus,sonet,nouns,0.2
22,symboli,kryptogram,nouns,2.65
23,ilmoittaa,informować,verbs,5.55
24,hotelli,mieszkanie,nouns,1.25
25,havaintokyky,wizja,nouns,2.55
26,unohtaa,ignorować,verbs,1.65
27,häätää,opuścić,verbs,2.0
28,lapsellinen,niemądry,adjectives,1.5
29,hame,zegarek,nouns,0.05
30,ennakkoluulo,szowinista,nouns,1.15
31,papu,kawa ,nouns,0.85
32,mennä,sprzedawać,verbs,0.1
33,luotto,pożyczkobiorca,nouns,1.05
34,suihku,klasztor,nouns,0.0
35,ilmapallo,wanna,nouns,0.05
36,vitamiini,żelazo,nouns,1.0
37,sitoa,tkać,verbs,1.3
38,kyynel,oko,nouns,0.75
39,kotona,daleko,adverbs,0.25
40,jalkapallo,futbol,nouns,5.6
41,kova,trudny,adjectives,2.65
42,varastaa,porwać,verbs,2.0
43,kirja,motyw,nouns,0.3
44,murehtia,marnować,verbs,0.05
45,keskustella,tłumaczyć,verbs,1.75
46,puuhiili,węgiel,nouns,3.95
47,lannoite,wzrost,nouns,0.7
48,eleganssi,styl,nouns,4.45
49,ministeriö,sułtan,nouns,0.25
50,pölytys,pręcik,nouns,0.75
51,välikäytävä,hol,nouns,2.55
52,kirjailija,dar,nouns,0.0
53,vaaleilla,wybierać,verbs,1.1
54,kuja,miska,nouns,0.0
55,kello,drzwi,nouns,0.15
56,yhtälö,formuła,nouns,3.45
57,mäntä,silnik,nouns,1.85
58,uskonto,sekularysta,nouns,0.25
59,kutistua,zniknąć,verbs,1.95
60,lentokone,lotnisko,nouns,1.05
61,järvi,chmura,nouns,0.35
62,suorittaa,pozdrawiać,verbs,0.2
63,väkivaltainen,rozzłoszczony,adjectives,2.25
64,vektori,matryca,nouns,0.9
65,pullo,pojemnik,nouns,2.55
66,epäluonnollisesti,naturalnie,adverbs,0.2
67,tunne,pasja,nouns,2.6
68,tapa,sposób,nouns,2.35
69,aikakauslehti,artykuł,nouns,1.35
70,tutkia,dążyć,verbs,0.55
71,syvästi,przeważnie,adverbs,0.3
72,tiedustella,wymagać,verbs,0.5
73,kokous,zgromadzenie,nouns,5.15
74,ilmiselvästi,dyskretnie,adverbs,0.1
75,mielipide,przekonanie,nouns,3.2
76,mennä,odchodzić,verbs,1.45
77,kylpy,żona,nouns,0.0
78,epäonnistuminen,bankructwo,nouns,2.05
79,moittia,winić,verbs,4.3
80,uudelleenlämmitys,nagrzewać,nouns,1.35
81,raamattu,hymn,nouns,0.8
82,yhtenäinen,nieukształtowany,adjectives,0.3
83,eversti,dentysta,nouns,0.4
84,kuljettaa,zatrzymywać,verbs,0.1
85,viestintä,język,nouns,2.3
86,vaatimaton,pokorny,adjectives,4.2
87,vesi,koronacja,nouns,0.0
88,katu,samochód,nouns,0.35
89,taistelulaiva,drednot,nouns,4.6
90,opettaja,instruktor,nouns,4.7
91,vanha,mieszany,adjectives,0.05
92,saavuttaa,powieść się,verbs,3.5
93,oikeudenkäynti,test,nouns,0.3
94,koju,pudełko,nouns,0.2
95,korvaus,moneta,nouns,1.15
96,lonkka,warga,nouns,0.75
97,varmasti,wyraźnie,adverbs,3.25
98,vaikea,łatwy,adjectives,0.2
99,lumilauta,narciarstwo,nouns,1.3
100,johtokunta,administracja,nouns,3.5
101,kuume,schorzenie,nouns,2.0
102,terävä,gładki,adjectives,0.3
103,brandy,wino,nouns,1.5
104,kulttuuri,społeczeństwo,nouns,1.75
105,hiilihydraatti,sacharoza,nouns,2.6
106,opettaja,student,nouns,0.65
107,pitää,stracić,verbs,0.1
108,kongressi,parlament,nouns,3.15
109,kryptogrammi,symbol,nouns,2.65
110,soturi,mężczyzna,nouns,1.3
111,meteori,grawitacja,nouns,0.25
112,kaatua,boleć,verbs,0.5
113,pilvinen sää,prognoza,nouns,0.45
114,kuvata,udawać,verbs,0.3
115,levy,ładowarka,nouns,0.25
116,kuulakärkikynä,alfabet,nouns,0.1
117,mehu,mleko,nouns,1.0
118,ystävä,nauczyciel,nouns,0.4
119,paha,świetny,adjectives,0.05
120,auto,miernik,nouns,0.2
121,nenä,usta,nouns,1.1
122,setä,ciotka,nouns,1.2
123,ärsyttää,zgadywać,verbs,0.15
124,papu,ryż,nouns,0.9
125,yksinkertainen,trudny,adjectives,0.2
126,edeltäjä,przeszłość,nouns,1.35
127,ilta,zachód słońca,nouns,2.2
128,puhelin,budka,nouns,0.65
129,prinssi,król,nouns,1.7
130,tankki,samochód,nouns,0.65
131,sana,gazeta,nouns,0.65
132,tohtori,ortodonta,nouns,2.8
133,seinä,dekoracja,nouns,0.4
134,tuore,szeroki,adjectives,0.05
135,synkkä,nudny,adjectives,0.65
136,särkyvä,oziębły,adjectives,0.3
137,ladata,gardzić,verbs,0.1
138,avuton,potrzebujący,adjectives,1.55
139,epävarma,potrzebujący,adjectives,0.4
140,kallisarvoinen,leniwy,adjectives,0.0
141,äänioikeus,wyjście,nouns,0.05
142,teema,książka,nouns,0.3
143,katastrofi,wypadek,nouns,4.4
144,tuoli,łóżko,nouns,0.75
145,imeä itseensä,posiąść,verbs,0.75
146,aihe,opowieść,nouns,0.9
147,kahdesti,zawsze,adverbs,0.45
148,kuvernööri,cesarz,nouns,1.0
149,laiton,niemoralny,adjectives,1.55
150,peitetty,odkryty,adjectives,0.25
151,vilja,pszenica,nouns,3.85
152,luuta,kurz,nouns,0.45
153,loukata,naprzykrzać się,verbs,1.55
154,kahva,białko,nouns,0.0
155,veljeskunta,drzwi,nouns,0.05
156,kahdesti,raz,adverbs,0.55
157,ranne,ramię,nouns,1.6
158,kello,wieża,nouns,0.5
159,ansaita,robić,verbs,0.55
160,järjestäytynyt,chaotyczny,verbs,0.2
161,ei koskaan,szczerze,adverbs,0.0
162,suoja,chatka,nouns,2.1
163,hysteria,konfuzja,nouns,1.1
164,keskikokoinen,łagodny,adjectives,0.6
165,kirjailija,powieść,nouns,0.65
166,suklaa,placek,nouns,0.5
167,huippu,piąty,adjectives,0.05
168,toiminta,gra,nouns,1.15
169,liittyä,przyłączać,verbs,3.35
170,solakka,szczupły,adjectives,5.4
171,kahdesti,wielokrotnie,adverbs,1.05
172,asteroidi,gwiazda,nouns,1.55
173,turkki,norka,nouns,1.4
174,kauneus,wiek,nouns,0.1
175,juoma,piwo,nouns,2.85
176,pohjoinen,zachód,nouns,0.95
177,turvautua,nawalić,verbs,0.1
178,ohjaaja,kinematografia,nouns,0.95
179,osallistua,przybywać,verbs,1.35
180,laskimo,naczynie,nouns,3.2
181,mukavasti,łatwo,adverbs,1.9
182,kauhea,zły,adjectives,3.2
183,halpa,brudny,adjectives,0.15
184,halpa,niedrogi,adjectives,5.35
185,neuvoa,polecić,verbs,3.3
186,ammatti,koledż,nouns,0.2
187,ateria,kolacja,nouns,3.45
188,omituinen,dziwny,adjectives,4.9
189,tuoli,teleskop,nouns,0.0
190,sähköinen,mechaniczny,adjectives,0.75
191,hävitä,kurczyć się,verbs,1.95
192,pitää päällä,erodować,verbs,0.0
193,leikkiä,kłócić się,verbs,0.3
194,universumi,niebo,nouns,1.2
195,moraaliton,zły,adjectives,3.2
196,karja,wołowina,nouns,3.15
197,pikainen,pośpieszny,adjectives,4.9
198,poika,ojciec,nouns,1.25
199,helppo,giętki,adjectives,0.7
