ID,FIN,RUS,PoS,score
1,turhautuminen,злость,nouns,2.15
2,elin,почка,nouns,2.35
3,valloitus,путешествие,nouns,0.25
4,elokuvaus,режиссер,nouns,1.0
5,vene,якорь,nouns,0.8
6,teleskooppi,мозговой штурм,nouns,0.0
7,itsenäisesti,ответственно,adverbs,0.75
8,lippu,столб,nouns,0.7
9,henkilökohtainen,частный,adjectives,4.15
10,käsi,палец,nouns,1.5
11,näyttö,монитор,nouns,4.8
12,päiväkirja,мед,nouns,0.1
13,haluta,занимать,verbs,0.4
14,tuomari,магистрат,nouns,1.2
15,riemuvoitto,победа,nouns,3.95
16,antaa anteeksi,понимать,verbs,1.55
17,rumpu,рожок,nouns,0.35
18,laivasto,армия,nouns,2.0
19,mehiläinen,матка,nouns,1.1
20,onnellinen,молодой,adjectives,0.15
21,myöntyä,противоречить,verbs,0.25
22,puolustaa,защищать,verbs,4.2
23,planeetta,луна,nouns,2.35
24,veljeskunta,бейсбол,nouns,0.3
25,arvata,раздражать,verbs,0.0
26,baari,тюрьма,nouns,0.1
27,sana,литература,nouns,0.95
28,virallisesti,важно,adverbs,0.7
29,vasara,зубы,nouns,0.05
30,lisätä,строить,verbs,0.7
31,keuhkoputkentulendus,ацетаминофен,nouns,0.5
32,mennä,покидать,verbs,1.25
33,sekaannus,истерика,nouns,1.75
34,kutistua,уменьшаться,verbs,3.1
35,avain,замок,nouns,0.9
36,ikkuna,дверь,nouns,0.95
37,kypsennetty,кипячёный,adjectives,3.1
38,aihe,книга,nouns,0.7
39,miljonääri,доллар,nouns,0.9
40,saada selville,изучать,verbs,1.55
41,rotu,выходные,nouns,0.0
42,kirkontorni,часовня,nouns,1.55
43,pysähtyä,свистеть,verbs,0.05
44,laskimo,сосуд,nouns,3.45
45,syvyys,величина,nouns,1.4
46,siirrellä,ездить,verbs,0.55
47,kauniisti,элегантно,adverbs,3.8
48,paristo,театр,nouns,0.0
49,oviaukko,выход,nouns,3.2
50,kuvata,решать,verbs,0.7
51,sotilas,мир,nouns,0.4
52,puutteenalainen,неуверенный,adjectives,0.2
53,asunto,дом,nouns,3.85
54,tavallinen,холодный,adjectives,0.0
55,julma,жесткий,adjectives,2.1
56,lihas,язык,nouns,1.3
57,opettaa,воспитывать,verbs,3.45
58,kärsimättömästi,грубо,adverbs,0.8
59,vastaanottaa,посылать,verbs,0.25
60,juoda,глотать,verbs,1.9
61,kamera,президент,nouns,0.1
62,yleensä,искренне,adverbs,0.05
63,minuus,уверенность,nouns,1.9
64,väkijuoma,группа,nouns,0.15
65,mehu,молоко,nouns,0.8
66,kansallinen,большой,adjectives,0.15
67,sairas,сумасшедший,adjectives,1.55
68,mahtava,выдающийся,adjectives,4.3
69,antelias,приятный,adjectives,1.2
70,torni,колокол,nouns,0.65
71,liiketoiminta,компания,nouns,3.5
72,käsivarsi,запястье,nouns,1.75
73,kysyä,помогать,verbs,0.3
74,veljeskunta,мужчины,nouns,0.95
75,itsevarma,уверенный,adjectives,2.75
76,hermo,мозг,nouns,1.45
77,soitin,скрипка,nouns,2.65
78,kyttä,шериф,nouns,3.95
79,saada kiinni,гнаться,verbs,1.6
80,sankaritar,герой,nouns,3.2
81,viesti,оплата,nouns,0.0
82,osallistua,прибывать,verbs,0.9
83,prinsessa,король,nouns,1.2
84,elefantti,динозавр,nouns,1.0
85,pää,ступня,nouns,0.9
86,uskoa,чувствовать,verbs,1.2
87,keilaaja,боулинг,nouns,1.85
88,kapea,широкий,adjectives,0.2
89,kaliiperi,зонтик,nouns,0.0
90,juoda,выращивать,verbs,0.0
91,lapsi,взрослый,nouns,0.9
92,saada,терять,verbs,0.05
93,muoti,стиль,nouns,3.35
94,kiltisti,щедро,adverbs,1.75
95,hiiri,кошка,nouns,1.0
