ID,FIN,SPA,PoS,score
1,keisari,gobernador,nouns,1.75
2,samannäköinen,similar,adjectives,3.7
3,puhdas,sucio,adjectives,0.65
4,pujotella,empatar,verbs,0.55
5,laivasto,isla,nouns,0.25
6,lapsi,adulto,nouns,0.75
7,tarina,canción,nouns,0.45
8,ilmiselvästi,en la zona,adverbs,0.0
9,kuulakärkikynä,alfabeto,nouns,0.45
10,vanha,fresco,adjectives,0.2
11,sokeri,miel,nouns,1.65
12,tulla,ir,verbs,1.1
13,arkeologia,antropología,nouns,1.3
14,vesi,coronación,nouns,0.0
15,vannoa,prometer,verbs,5.05
16,koettaa,tener la intención,verbs,2.7
17,ovela,difícil,adjectives,0.15
18,lusikka,jugo,nouns,0.2
19,pää,uña,nouns,0.85
20,aliohjelma,compilador,nouns,0.5
21,pohja,ácido,nouns,0.5
22,hermostunut,cierto,adjectives,0.05
23,puhdashenkinen,modesto,adjectives,0.6
24,haistaa,mimar,verbs,0.05
25,meri,delta,nouns,1.3
26,varmistaa,decir,verbs,0.9
27,haudata,morir,verbs,1.05
28,sentti,tamaño,nouns,0.75
29,yllättää,celebrar,verbs,0.5
30,ikkuna,puerta,nouns,1.1
31,aikakauslehti,artículo,nouns,1.55
32,intohimo,emoción,nouns,3.0
33,serkku,tío,nouns,1.15
34,vahvuus,resistencia,nouns,3.5
35,ilmiselvästi,seguramente,adverbs,3.2
36,balladi,canción,nouns,4.1
37,herra,dama,nouns,0.95
38,huippu,fondo,nouns,0.3
39,legioona,ejército,nouns,2.95
40,prinsessa,isla,nouns,0.05
41,häntä,acantilado,nouns,0.0
42,ahdistuneesti,nerviosamente,adverbs,3.85
43,ehdottaa,asesorar,verbs,3.3
44,ksenofobia,racismo,nouns,4.5
45,saada kiinni,lanzar,verbs,0.4
46,yö,día,nouns,1.1
47,hypoteesi,teoría,nouns,3.9
48,muistaa,pensar,verbs,1.35
49,epäreilusti,justamente,adverbs,0.25
50,sähköinen,mecánico,adjectives,1.15
51,ympärileikkaus,prepucio,nouns,1.5
52,aikakausi,década,nouns,2.35
53,kerran,dos veces,adverbs,0.8
54,tietämättömyys,inteligencia,nouns,0.55
55,harvinainen,tonto,adjectives,0.1
56,sitruuna,manzana,nouns,1.05
57,kuva,idea,nouns,1.3
58,tietää,dar,verbs,0.4
59,tavata,nadar,verbs,0.0
60,pohjoinen,oeste,nouns,0.8
61,meri,río,nouns,1.9
62,tragedia,muerte,nouns,1.8
63,valmistaa,destruir,verbs,0.3
64,putka,célula,nouns,0.3
65,taimen,guitarra,nouns,0.0
66,vaatteet,chaqueta,nouns,1.65
67,haudata,cubrir,verbs,3.6
68,kaikkivaltius,supremacía,nouns,3.1
69,pakti,acuerdo,nouns,5.05
70,suojella,mantener,verbs,1.25
71,julkinen,privado,adjectives,0.3
72,murehtia,malgastar,verbs,0.1
73,varastaa,adquirir,verbs,1.05
74,luokkahuone,pasillo,nouns,0.7
75,poissa,a casa,adverbs,0.3
76,biohajoaminen,factorización,nouns,0.8
77,kunniamerkki,vaso,nouns,0.35
78,avioliiton ulkopuolinen,inmencionable,adjectives,0.15
79,behaviorismi,terapia,nouns,0.8
80,pitää,perder,verbs,0.15
81,kuoro,iglesia,nouns,0.9
82,todellisuus,espejismo,nouns,0.3
83,kauhea,malo,adjectives,3.85
84,auto,fábrica,nouns,0.3
85,makea,eléctrico,adjectives,0.0
86,kulttuuri,sociedad,nouns,2.05
87,antaa,pedir prestado,verbs,1.4
88,neuletakki,camisa,nouns,1.45
89,kesä,invierno,nouns,0.85
90,laillinen,seguro,adjectives,1.35
91,siemailla,beber,verbs,3.5
92,luonto,flora,nouns,2.4
93,kertoa,dividir,verbs,0.95
94,ihanteellisesti,de modo realista,adverbs,0.55
95,löytää,buscar,verbs,1.55
96,alue,región,nouns,4.25
97,demoni,monstruo,nouns,3.8
98,viulu,guitarra,nouns,1.2
99,nihilismi,película,nouns,0.1
100,tuoda,venir,verbs,1.0
101,jäädä,obtener,verbs,0.05
102,apina,campaña,nouns,0.05
103,ilmiselvä,perceptible,adjectives,2.65
104,lopettaa,hacer,verbs,0.45
105,valinta,opinión,nouns,0.95
106,murskata,demoler,verbs,2.25
107,pelto,avena,nouns,0.7
108,teoria,química,nouns,0.65
