ID,FIN,SWA,PoS,score
1,suostutella,kugombana,verbs,0.45
2,hämmentää,koroga,verbs,2.15
3,tietää,kupa,verbs,0.15
4,laulusolisti,mtaalamu wa sauti,nouns,0.15
5,rauta,vitamini,nouns,0.45
6,hahmo,mhusika,nouns,3.15
7,tulla sisään,kuondoka,verbs,0.05
8,kirja,taarifa,nouns,0.75
9,mennä,kuuza,verbs,0.1
10,kulho,sahani,nouns,2.75
11,kamera,mfanyakazi,nouns,0.05
12,salaatti,mpangilio wa chakula,nouns,0.8
13,auto,kiwanda,nouns,0.15
14,koodi,alama,nouns,2.25
15,puutteenalainen,uhitaji,adjectives,1.15
16,yhdistetty,iliyojumuishwa,adjectives,2.5
17,korottaa,kulea,verbs,0.0
18,rakennus,jengo,nouns,1.1
19,kiistellä,kushawishi,verbs,0.45
20,puhdas,safi,adjectives,5.4
21,kallisarvoinen,yenye thamani,adjectives,1.02
22,vika,kosa,nouns,0.1
23,lumi,hali ya hewa,nouns,0.7
24,lainrikkoja,mkosaji,nouns,5.25
25,tietämättömyys,akili,nouns,0.4
26,kaneli,mdalasini,nouns,0.35
27,papu,wali,nouns,0.85
28,päättää,kufikiria,verbs,1.95
29,löysä,pwaya,adjectives,0.9
30,jäähdytin,radiator,nouns,0.35
31,etelä,kaskazini,nouns,0.65
32,peittää,kufunika,verbs,3.2
33,veri,uboho,nouns,0.3
34,paha,poa,adjectives,0.1
35,jättää,kubaki,verbs,0.6
36,korvaus,malipo,nouns,0.9
37,psykologia,sayansi,nouns,2.2
38,pilli,nyimbo,nouns,0.1
39,tehdas,gari,nouns,0.15
40,raha,lulu,nouns,0.2
41,rumpu,pembe,nouns,0.1
42,ärsyttää,kusumbua,verbs,0.0
43,ero,tofauti,nouns,0.35
44,isä,mzazi,nouns,3.75
45,kiireinen,bizi,adjectives,0.2
46,auto,geji,nouns,0.25
47,varastaa,iba,verbs,0.8
48,töykeä,jeuri,adjectives,0.32
49,dia,teleza,nouns,0.0
50,poika,kaka,nouns,2.55
51,jogurtti,mgando,nouns,0.2
52,vauva,mtu mzima,nouns,0.5
53,saatana,mungu,nouns,0.65
54,tyhmä,ana akili,adjectives,0.25
55,vakavasti,kwa umakini,adverbs,1.1
56,puu,mti,nouns,1.1
