ID,FIN,YUE,PoS,score
1,unohtaa,知道,verbs,0.2
2,lentoperämies,警察,nouns,0.49
3,innostunut,受驚,adjectives,0.33
4,vetäytyä,吸收,verbs,0.39
5,globalismi,簽證,nouns,0.43
6,työ,管理,nouns,0.72
7,epänormaalisti,一般,adverbs,0.2
8,varastaa,給,verbs,0.2
9,mukavasti,容易地,adverbs,1.21
10,lenkkikengät,獎章,nouns,0.1
11,käsivarsi,肌肉,nouns,0.88
12,riisi,豆,nouns,0.88
13,pitkästynyt,平淡,adjectives,2.51
14,sana,字典,nouns,1.02
15,uhri,電話,nouns,0.04
16,kunnia,敬重,nouns,2.71
17,kivi,木,nouns,0.67
18,valita,拒絕,verbs,0.0
19,väkijoukko,遊行,nouns,1.4
20,kuunnella,學習,verbs,0.48
21,moittia,說謊,verbs,0.14
22,ilmiselvästi,本地,adverbs,0.09
23,vaikea,容易,adjectives,0.38
24,sininen,紅色,adjectives,0.69
25,virallisesti,強烈地,adverbs,0.57
26,intohimo,情緒,nouns,2.5
27,peitetty,沒有冚住的,adjectives,0.24
28,ajaa,拖著腳走,verbs,0.45
29,kalkkuna,母雞,nouns,2.09
30,tehtävä,高速公路,nouns,0.0
31,joki,大海,nouns,1.79
32,jalkaterä,手,nouns,1.61
33,sisältää,包含,verbs,5.26
34,apuraha,學費,nouns,0.61
35,tunnettu,好,adjectives,0.5
36,ranta,海,nouns,1.73
37,elämäkerta,小說,nouns,1.32
38,poika,父親,nouns,1.7
39,aggressiivinen,彎曲,adjectives,0.0
40,väsynyt,無聊,adjectives,0.49
41,onnellisesti,積極地,adverbs,0.76
42,löysä,靈活,adjectives,0.95
43,harvoin,平時,adverbs,0.24
44,viides,最佳,adjectives,0.14
45,ajatella,嘗試,verbs,0.52
46,vaatteet,抽屜,nouns,0.33
47,asenne,自信,nouns,1.36
48,hiekka,腳,nouns,0.04
49,muurahainen,蒼蠅,nouns,1.21
50,kuoro,歌手,nouns,1.31
51,olla erilainen,同意,verbs,0.04
52,läksyt,文章,nouns,1.86
53,huippu,下面,nouns,0.2
54,kurssi,肚,nouns,0.0
55,luotettavasti,被動地,adverbs,0.05
56,poika,合作夥伴,nouns,0.73
57,vene,電動機,nouns,0.44
58,päivällinen,雞,nouns,0.79
59,epäonnistuminen,破產,nouns,1.4
60,rehellisesti,真誠地,adverbs,4.58
61,ruokalista,點菜,nouns,0.46
62,elokuvateatteri,爆谷,nouns,0.52
63,molekyyli,空氣,nouns,0.62
64,tykki,球,nouns,0.09
65,mikroskooppi,生物學家,nouns,0.56
66,valittaa,拗撬,verbs,0.74
67,nolla,無窮,nouns,0.28
68,lamppu,精靈,nouns,0.19
69,ilmailu,飛行,nouns,3.03
70,viisaus,智力,nouns,3.9
71,kerätä,保存,verbs,3.5
72,suutin,流體,nouns,0.18
73,taivutus,感染,nouns,0.09
74,kiertäminen,行李,nouns,0.38
75,vuosi,生日,nouns,0.85
76,moittia,責怪,verbs,3.46
77,tehdä,戒除,verbs,0.29
