ID,FRA,RUS,PoS,score
1,expulser,освобождать,verbs,1.35
2,gouvernement,ящерица,nouns,0.0
3,gros,крупный,adjectives,4.55
4,viande,хлеб,nouns,1.15
5,sandwich,мясо,nouns,1.3
6,localement,тесно,adverbs,0.25
7,sultan,министерство,nouns,0.5
8,cinquième,первый,adjectives,0.15
9,apparaître,покидать,verbs,0.15
10,politicien,президент,nouns,3.05
11,commencer,прекращать,verbs,0.85
12,tuyau,сад,nouns,0.95
13,prévenir,останавливаться,verbs,0.85
14,solitaire,бедный,adjectives,0.65
15,rivaliser,заканчивать,verbs,0.1
16,corps,нижняя одежда,nouns,1.0
17,ressemblant,похожий,adjectives,5.65
18,contraire,уникальный,adjectives,0.4
19,union,сумма,nouns,2.75
20,couverture,постель,nouns,1.8
21,aimablement,мило,adverbs,4.95
22,disparaître,сжиматься,verbs,1.35
23,donner,знать,verbs,0.5
24,renoncer,отрицать,verbs,3.25
25,télescope,стул,nouns,0.2
26,homme,воин,nouns,1.85
27,différemment,странно,adverbs,1.55
28,obtenir,брать,verbs,2.35
29,semis,лист,nouns,1.15
30,bras,тело,nouns,1.75
31,habit,пуговица,nouns,1.75
32,malhonnête,правдивый,adjectives,0.5
33,événement,сбор пожертвований,nouns,1.1
34,groupe,толпа,nouns,3.75
35,promouvoir,продвигаться,verbs,1.95
36,dieu,жертва,nouns,0.2
37,tâche,пустяк,nouns,0.05
38,brillamment,слегка,adverbs,0.3
39,engloutir,хлебать,verbs,2.4
40,île,задача,nouns,0.05
41,dense,твердый,adjectives,2.4
42,souris,палуба,nouns,0.45
43,élastique,гибкий,adjectives,4.45
44,boire,перемешать,verbs,0.45
45,musulman,епископ,nouns,0.95
46,baignoire,жена,nouns,0.05
47,maladie,инфекция,nouns,3.8
48,heureusement,активно,adverbs,0.3
49,rester,достигать,verbs,0.2
50,chambre à coucher,велосипед,nouns,0.05
51,informe,аморфный,adjectives,3.55
52,incroyable,грязный,adjectives,0.35
53,prendre,завладевать,verbs,2.8
54,objectif,победитель,nouns,0.8
55,confortablement,легко,adverbs,1.7
56,frapper,привлекать,verbs,0.55
57,laisser,входить,verbs,0.2
58,poussière,метла,nouns,1.65
59,éroder,разрешать,verbs,0.15
60,sincèrement,обычно,adverbs,0.25
61,prépuce,обрезание,nouns,2.55
62,secrétaire,женщина,nouns,1.15
63,monsieur,госпожа,nouns,2.55
64,portable,пистолет,nouns,0.1
65,agresser,раздражать,verbs,0.65
66,collecter,сохранять,verbs,2.7
67,posséder,брать,verbs,2.8
68,mélanger,пить,verbs,0.45
69,grand,гибкий,adjectives,0.15
70,employé,вокалист,nouns,0.2
71,fraternité,мужчины,nouns,1.1
72,pièce,здание,nouns,1.2
73,cliquetis,шум,nouns,4.7
74,détacher,раскалывать,verbs,1.55
75,infection,сгибание,nouns,0.15
76,froid,обычный,adjectives,0.2
77,attention,интерес,nouns,4.25
78,porter,разъедать,verbs,0.15
79,plante,сельское хозяйство,nouns,1.35
80,clocher,часовня,nouns,2.0
81,confondre,учить,verbs,0.5
82,sûrement,иногда,adverbs,0.8
83,bourse d'étude,обучение,nouns,1.55
84,président,фотоаппарат,nouns,0.15
85,porte,братство,nouns,0.0
86,défilé,толпа,nouns,2.2
87,pistolet,рассвет,nouns,0.05
88,stupide,сообразительный,adjectives,1.0
89,pacifiquement,хаотично,adverbs,0.6
90,gestion,руководство,nouns,4.75
91,vol,авиация,nouns,2.05
92,apporter,жаловаться,verbs,0.2
93,vulnérable,удобный,adjectives,0.5
94,perceptible,очевидный,adjectives,3.0
95,permettre,идти,verbs,0.3
96,protéine,ручка,nouns,0.1
97,rencontrer,плавать,verbs,0.3
98,réel,фальшивый,adjectives,1.0
99,camion,автомобиль,nouns,2.9
100,débattre,различаться,verbs,0.95
101,ballon,народ,nouns,0.0
102,médiocre,хороший,adjectives,1.3
103,autoroute,задача,nouns,0.15
104,parent,отец,nouns,4.2
105,bol,тарелка,nouns,3.1
106,père,бог,nouns,2.0
107,journal,информация,nouns,2.9
108,bague,помолвка,nouns,1.85
109,flexible,покладистый,adjectives,1.9
110,discrètement,очевидно,adverbs,0.8
111,ampoule,иллюстрация,nouns,0.15
112,déclarer,объявлять,verbs,5.25
113,fermement,внимательно,adverbs,0.95
114,chemin,тоннель,nouns,1.5
115,vitesse,пост,nouns,0.0
116,parfois,когда,adverbs,0.3
117,whisky,джин,nouns,2.5
118,dune,пустыня,nouns,2.7
119,confiance,самость,nouns,2.1
120,violon,инструмент,nouns,2.95
121,section,армия,nouns,2.15
122,mouton,скот,nouns,3.6
123,mettre,получать,verbs,0.4
124,étranger,переводчик,nouns,1.15
125,colère,ярость,nouns,4.9
126,réinhumation,гробница,nouns,1.9
127,reconnaître,уведомлять,verbs,0.9
128,mélodie,ритм,nouns,3.5
129,alcool,группа,nouns,0.3
130,admirer,обожать,verbs,4.1
131,boîte,шляпа,nouns,0.9
132,mettre,вешать,verbs,0.75
133,papier,плакат,nouns,2.7
134,condition,мальчик,nouns,0.05
135,mordre,читать,verbs,0.0
