ID,FRA,SPA,PoS,score
1,voyage,viaje,nouns,3.7
2,gens,partido,nouns,1.0
3,organe,riñón,nouns,3.7
4,campagne,mono,nouns,0.1
5,bourse d'étude,matrícula,nouns,1.75
6,poursuivre,investigar,verbs,1.5
7,sauver,proteger,verbs,3.2
8,appartement,mueble,nouns,1.25
9,attitude,confianza,nouns,2.1
10,goutter,verter,verbs,1.6
11,inhabituel,único,adjectives,4.45
12,cuisiner,mezclar,verbs,1.65
13,flexible,modesto,adjectives,0.35
14,armée,legión,nouns,3.45
15,étouffer,abrumar,verbs,2.15
16,essayer,lograr,verbs,1.15
17,activement,pasivamente,adverbs,0.95
18,stupide,raro,adjectives,0.25
19,amical,improbable,adverbs,0.0
20,déterminer,evacuar,verbs,0.55
21,perle,dinero,nouns,1.3
22,marine,ejército,nouns,4.2
23,politicien,policía,nouns,1.0
24,mort,catástrofe,nouns,2.0
25,table,puesta de sol,nouns,0.05
26,critique,argumento,nouns,2.8
27,groupe,orquesta,nouns,3.95
28,candidat,ganador,nouns,2.15
29,chanter,reír,verbs,1.15
30,nombre,dígito,nouns,5.05
31,ce soir,hoy,adverbs,2.8
32,centime,tamaño,nouns,0.15
33,tenter,tener la intención,verbs,3.8
34,nain,pequeñito,adjectives,4.65
35,traiter,vender,verbs,0.85
36,soin,precaución,nouns,5.35
37,mot,periódico,nouns,1.55
38,attacher,unirse,verbs,2.3
39,rive,costa,nouns,4.8
40,portable,pistola,nouns,0.15
41,statue,escultura,nouns,5.25
42,docteur,ortodoncista,nouns,2.85
43,fille,mucama,nouns,0.75
44,précieux,especial,adjectives,3.9
45,liquide,dinero,nouns,4.2
46,bientôt,inmediatamente,adverbs,3.75
47,toit,ventana,nouns,1.1
48,fiablement,aproximadamente,adverbs,1.05
49,circoncision,prepucio,nouns,2.15
50,prétendre,retratar,verbs,0.65
51,précis,incorrecto,adjectives,0.3
52,actuellement,recientemente,adverbs,3.5
53,réussir,lograr,verbs,4.55
54,hiver,temporada,nouns,3.25
55,fort,orgulloso,adjectives,1.4
56,jeune,feliz,adjectives,0.4
57,content,feliz,adjectives,4.75
58,club,marca,nouns,0.7
59,tramway,tren,nouns,3.6
60,valeur,creencia,nouns,2.5
61,confiance,actitud,nouns,2.1
62,être d'accord,diferir de,verbs,0.85
63,reine,abeja,nouns,1.45
64,restaurer,reemplazar,verbs,2.65
65,dissertation,tarea,nouns,3.75
66,effrayé,nervioso,adjectives,1.9
67,terne,emocionante,adjectives,0.4
68,perspective,distancia,nouns,2.75
69,paresseux,ocupado,adjectives,0.6
70,élire,rechazar,verbs,0.75
71,localement,obviamente,adverbs,0.15
72,épicé,bueno,adjectives,0.15
73,choix,vena,nouns,0.25
74,candidat,solicitud,nouns,2.25
75,musée,menta,nouns,0.0
76,vendre,pedir prestado,verbs,0.8
77,jet,fluido,nouns,1.05
78,brin,hilo,nouns,2.75
79,exactement,activamente,adverbs,0.75
80,orchestre,banda,nouns,3.95
81,riz,niño,nouns,0.05
82,généralement,irregularmente,adverbs,1.0
83,obéir,comportarse,verbs,3.15
84,intime,personal,adjectives,5.15
85,punir,obedecer,verbs,1.3
86,actif,valores,nouns,3.3
87,fourmi,abeja,nouns,1.55
88,violon,instrumento,nouns,3.15
89,cube,dado,nouns,4.05
90,semaine,fin de semana,nouns,2.6
91,clé,corona,nouns,0.15
92,ouvrier,mecánico,nouns,3.0
93,enseigner,educar,verbs,5.0
94,sortie,sufragio,nouns,0.35
95,blé,maizal,nouns,3.2
96,siroter,tragar,verbs,1.95
97,échapper,encontrar,verbs,0.45
98,généreux,simpático,adjectives,2.15
99,chasser,capturar,verbs,1.4
100,accepter,recibir,verbs,2.8
101,coude,hueso,nouns,1.6
102,étamine,polinización,nouns,1.6
103,bras,muñeca,nouns,1.75
104,précisément,inexactamente,adverbs,0.8
105,virus,sangre,nouns,1.65
106,compter,fallar,verbs,0.3
107,anormalement,negativamente,adverbs,1.65
108,classe,caos,nouns,0.25
109,autobus,vehículo,nouns,3.25
110,catastrophe,accidente,nouns,4.1
111,permis,legal,adjectives,4.7
112,cyclone,tifón,nouns,4.8
113,fil,ovillo,nouns,2.75
114,mer,río,nouns,2.6
115,participer,cooperar,verbs,3.95
116,aujourd'hui,esta noche,adverbs,2.8
117,photophone,homófono,nouns,0.65
118,admirer,adorar,verbs,4.2
119,jupe,reloj,nouns,0.5
120,pont,coche,nouns,0.4
121,couvrir,proteger,verbs,4.35
122,ciel,sueño,nouns,0.65
123,pièce,aeropuerto,nouns,0.1
124,propre,sucio,adjectives,1.2
125,conversion,altitud,nouns,0.55
126,plaider,complacer,verbs,0.5
127,cheval,buey,nouns,1.9
128,femme,centavo,nouns,0.2
129,plafond,tejado,nouns,4.6
130,téléphone,teléfono móvil,nouns,5.4
131,avocat,licenciado en derecho,nouns,4.5
132,condition,situación,nouns,4.55
133,penderie,ropa,nouns,2.15
134,devoir,prestar,verbs,0.75
135,luire,irradiar,verbs,4.85
136,collant,mojado,adjectives,1.35
137,mode,estilo,nouns,4.15
138,médaille,zapatillas,nouns,0.35
139,demander,ayudar,verbs,0.85
140,ballon,esfera,nouns,2.85
141,boîtier,electricidad,nouns,0.65
142,apprendre,absorber,verbs,2.1
143,château,escultor,nouns,0.65
144,bacon,desayuno,nouns,0.95
145,élection,decisión,nouns,4.0
146,opinion,idea,nouns,4.35
147,délicatement,actualmente,adverbs,0.15
148,malin,inteligente,adjectives,5.05
149,membre,pierna,nouns,3.65
150,porter,erosionar,verbs,0.15
151,coopérer,unirse,verbs,2.9
152,terminer,resolver,verbs,3.45
153,agréable,cruel,adjectives,0.6
154,cabane,cabina,nouns,1.6
155,corridor,pasillo,nouns,5.35
156,savoir,entender,verbs,3.4
157,tissu,ropa,nouns,2.8
158,lâche,flexible,adjectives,1.25
159,mouton,ganado,nouns,3.35
160,partir,separar,verbs,1.05
161,accuser,despreciar,verbs,1.1
162,jus,batido,nouns,3.0
163,sauver,rescatar,verbs,5.65
164,smartphone,piña,nouns,0.0
165,incertain,asustado,adjectives,1.55
166,parfois,a menudo,adverbs,2.45
167,morale,leyenda,nouns,1.2
168,dur,duro,adjectives,5.5
169,chaise,banco,nouns,3.55
170,protéger,salvar,verbs,3.2
171,construire,añadir,verbs,1.25
172,ère,década,nouns,2.85
173,différer,de acuerdo,verbs,0.85
174,permettre,erosionar,verbs,0.15
175,théorie,hipótesis,nouns,4.25
176,planète,estrella,nouns,3.05
177,globalisation,visado,nouns,1.0
178,voyager,ir,verbs,3.5
179,verrou,llave,nouns,2.55
180,sonnet,belleza,nouns,0.65
181,nouveau,fresco,adjectives,4.0
182,estomac,habitación,nouns,0.15
183,animal,bestia,nouns,4.75
184,se plaindre,traer,verbs,0.1
185,voiture,manguera,nouns,0.25
186,idée,esquema,nouns,2.9
187,manette,radar,nouns,0.3
188,aluminium,estaño,nouns,1.85
189,insulter,ofender,verbs,4.55
190,échouer,desalentar,verbs,1.45
191,sucre,miel,nouns,2.15
192,personne,centavo,nouns,0.1
193,mentir,acusar,verbs,0.75
194,idéalement,mecánicamente,adverbs,0.25
195,collant,sucio,adjectives,2.05
196,célébration,ceremonia,nouns,4.7
197,livrer,tomar,verbs,0.9
198,pur,modesto,adjectives,1.1
199,prétendre,asumir,verbs,2.65
200,détacher,dividir,verbs,1.4
201,scientifique,enfermera,nouns,0.9
202,menthe,museo,nouns,0.0
203,garçon,hijo,nouns,3.8
204,vision,percepción,nouns,4.75
205,cocktail,alcohol,nouns,3.05
206,sorcier,cable,nouns,0.0
207,acteur,actriz,nouns,4.45
208,stupide,obstinado,adjectives,1.35
209,rapide,veloz,adjectives,5.65
210,bétail,oveja,nouns,3.35
211,fortement,oficialmente,adverbs,0.2
212,sournois,difícil,adjectives,0.5
213,différer,discutir,verbs,2.25
214,lutter,ejecutar,verbs,0.75
215,richesse,fama,nouns,2.1
