ID,FRA,YUE,PoS,score
1,négativement,非自然,adverbs,1.06
2,étain,金屬,nouns,2.94
3,mince,瘦,adjectives,5.21
4,penser,嘗試,verbs,0.52
5,chercher,搜索,verbs,2.94
6,laver,沖洗,verbs,4.35
7,disparaître,收縮,verbs,1.27
8,veine,肚,nouns,0.79
9,marrant,枯燥,adjectives,0.29
10,poulet,米飯,nouns,0.92
11,facile,簡單,adjectives,5.63
12,rapide,快,adjectives,5.38
13,surface,角,nouns,0.6
14,couvent,沖涼,nouns,0.1
15,affaire,工業,nouns,2.77
16,jupe,手錶,nouns,0.44
17,enfant,人,nouns,2.16
18,boîte,雪茄,nouns,0.74
19,naturellement,非自然,adverbs,0.8
20,bon marché,髒,adjectives,0.43
21,ballon,球狀物,nouns,3.36
22,cesser,做,verbs,0.74
23,poulain,馬,nouns,3.88
24,calendrier,日期,nouns,3.46
25,campagne,猴子,nouns,0.14
26,représenter,決定,verbs,0.75
27,entrant,向外,adjectives,0.24
28,vaste,大,adjectives,3.25
29,prendre,獲得,verbs,3.46
30,sauver,救援,verbs,5.58
31,merveilleux,愉快,adjectives,3.37
32,charbon,木炭,nouns,3.98
33,poursuivre,調查,verbs,1.5
34,fleur,紫羅蘭,nouns,3.72
35,parfois,一致地,adverbs,0.39
36,estomac,身體,nouns,2.63
37,terminer,解決,verbs,3.26
38,champagne,啤酒,nouns,3.06
39,bateau,錨,nouns,1.37
40,berceau,床,nouns,3.77
41,précisément,不準確地,adverbs,0.8
42,national,大,adjectives,0.15
43,mutant,社會生物學,nouns,0.39
44,maladie,癌症,nouns,3.92
45,banquier,律師,nouns,1.77
46,image,映像,nouns,3.97
47,parler,承認,verbs,0.53
48,attirer,打,verbs,0.55
49,accident,緊急情況,nouns,3.19
50,ouvrier,相機,nouns,0.23
51,jambe,肢體,nouns,3.08
52,droit,彎曲,adjectives,0.94
53,pièce,飛機場,nouns,0.1
54,accomplir,達到,verbs,4.64
55,industrie,商業,nouns,2.77
56,île,海軍,nouns,0.65
57,être d'accord,使滿意,verbs,2.42
58,préchauffage,再熱,nouns,3.03
59,tempête,毯,nouns,0.05
60,créatif,創新,adjectives,5.07
61,zinc,金,nouns,2.44
62,vin,酒,nouns,3.62
63,ajouter,加入,verbs,3.97
64,bain,原木,nouns,0.0
65,compagnon,情人,nouns,4.38
66,menthe,博物館,nouns,0.04
67,urgence,意外,nouns,3.19
68,grandement,正式地,adverbs,0.76
69,détruire,建造,verbs,1.18
70,activité,運動,nouns,3.22
71,sincèrement,平時,adverbs,0.43
72,soin,謹慎,nouns,4.46
73,ordinateur,磁盘,nouns,1.78
74,manteau,衣服,nouns,2.93
75,couloir,走廊,nouns,4.75
76,amical,大方,adjectives,2.44
77,immature,長大,adjectives,0.74
78,devoir,借,verbs,0.72
79,actuellement,微妙地,adverbs,0.33
80,agression,敵意,nouns,3.63
81,milliardaire,無家可歸,nouns,0.8
82,copilote,警察,nouns,0.45
83,frustration,憤怒,nouns,4.21
84,steak,肉,nouns,4.54
85,pauvre,孤獨,adjectives,0.5
86,estomac,靜脈,nouns,0.79
87,meuble,床,nouns,2.96
88,bourrasque,風,nouns,3.46
89,bien,辣,adjectives,0.2
90,frais,寬,adjectives,0.1
91,génial,壞,adjectives,0.34
92,ajouter,除,verbs,1.27
93,dessin,暴動,nouns,0.2
94,soigneusement,危險地,adverbs,0.49
95,voler,給,verbs,0.74
96,écran,音系學,nouns,0.05
97,chasser,跟隨,verbs,2.58
98,bol,碟,nouns,2.63
99,nord,南,nouns,1.94
100,week-end,種族,nouns,0.25
101,canapé,棒球,nouns,0.05
102,voiture,的士,nouns,4.09
103,confondre,學習,verbs,0.5
104,tombe,重新安葬,nouns,1.65
105,alphabet,鋼筆,nouns,0.55
106,sable,腳,nouns,0.34
107,grossier,噪,adjectives,1.13
108,difficile,容易,adjectives,1.03
109,généreusement,從未,adverbs,0.1
110,bétail,乳酪,nouns,0.33
111,bonheur,和平,nouns,3.01
112,tâche,高速公路,nouns,0.05
113,fier,貧窮,adjectives,0.3
114,coureur,運動員,nouns,3.9
115,semaine,週末,nouns,2.91
116,rue,汽車,nouns,0.97
117,clé,房屋,nouns,0.93
118,acheter,付款,verbs,3.78
119,rabbin,部長,nouns,0.8
120,coucher de soleil,表,nouns,0.0
121,gens,派對,nouns,0.96
122,frais,新,adjectives,3.32
123,baseball,籃球,nouns,2.42
124,bronchite,對乙酰氨基酚,nouns,0.75
125,abeille,螞蟻,nouns,1.97
126,panier,球,nouns,0.74
127,type,靚仔,nouns,2.5
128,éroder,允許,verbs,0.15
129,décomposition,因式分解,nouns,3.04
130,examiner,檢查,verbs,5.54
131,visa,全球化,nouns,0.78
132,faire,毀滅,verbs,0.83
133,disparaître,消失,verbs,5.07
134,côte,小炮艦,nouns,0.24
135,réduire,降低,verbs,4.22
136,représenter,通知,verbs,0.7
137,attention,注意,nouns,4.46
138,étamine,授粉,nouns,1.6
139,flexible,活動,adjectives,3.36
140,canonnière,海岸,nouns,0.24
141,tuyau,花園,nouns,0.6
142,mettre,給,verbs,1.22
143,combiner,混合,verbs,4.42
144,faire,賺,verbs,0.3
145,voiture,電梯,nouns,0.44
146,verre,徽章,nouns,0.34
147,réalité,幻想,nouns,1.31
148,dispute,批評,nouns,2.58
149,champagne,威士忌酒,nouns,3.51
150,oncle,表哥,nouns,2.23
151,péninsule,島,nouns,2.79
152,arriver,離開,verbs,0.2
153,concrètement,最近,adverbs,0.47
154,volcan,岩漿,nouns,2.16
155,incurvé,好鬥,adjectives,0.0
156,colère,懊惱,nouns,4.21
157,lézard,鱷魚,nouns,2.7
158,auteur,創造者,nouns,4.37
159,soigneusement,謹慎地,adverbs,4.02
160,réveiller,打鼻鼾,verbs,0.7
161,littérature,書,nouns,3.1
162,manifestement,不顯眼地,adverbs,0.6
163,envoyer,出席,verbs,0.34
164,bois,石,nouns,1.22
165,chasser,搜索,verbs,1.36
166,fête,人們,nouns,0.96
167,test,試驗,nouns,5.08
168,idée,方案,nouns,3.49
169,pesticide,蟲害,nouns,1.42
170,mine,岩石,nouns,1.46
171,division,乘法,nouns,2.4
172,sévèrement,實質上,adverbs,0.43
173,paume,手指,nouns,1.88
174,occasion,便士,nouns,0.24
175,flotter,唱,verbs,0.1
176,tunnel,路徑,nouns,1.46
177,poursuivre,說服,verbs,0.48
178,spécialement,有意義地,adverbs,1.6
179,mobile,靈活,adjectives,3.36
180,évaluer,學習,verbs,0.7
181,sel,水,nouns,0.65
182,déchirer,穿,verbs,0.1
183,violent,激進,adjectives,3.2
184,confession,否認,nouns,1.07
185,chaise,長凳,nouns,3.48
186,bain,戲法,nouns,0.04
187,souris,容器,nouns,0.05
188,organiser,收集,verbs,1.48
189,marine,軍隊,nouns,3.63
190,lame,草,nouns,0.1
