ID,HEB,RUS,PoS,score
1,לצבוט,бить,verbs,0.6
2,מידה,величина,nouns,4.35
3,לסחור,продавать,verbs,4.45
4,קסנופוביה,расизм,nouns,2.65
5,מוגן,утомительный,adjectives,0.1
6,ליידע,полировать,verbs,0.0
7,מחלה,жар,nouns,1.6
8,להעמיד פנים,лгать,verbs,3.15
9,מבחן,суд,nouns,1.15
10,אישי,интимный,adjectives,4.35
11,מנעול,ключ,nouns,1.2
12,כעס,настроение,nouns,1.05
13,להתחתן,присоединиться,verbs,0.55
14,צר,широкий,adjectives,0.55
15,להכות,целиться,verbs,0.55
16,מטוס,аэропорт,nouns,1.25
17,גדה,побережье,nouns,3.05
18,מיותר,необходимый,adjectives,0.6
19,להגן,помогать,verbs,2.05
20,טבק,сигарета,nouns,1.75
21,לחוץ,расслабленный,adjectives,0.55
22,סכנה,угроза,nouns,4.45
23,לעיתים רחוקות,часто,adverbs,0.6
24,להפציר,умолять,verbs,4.25
25,לכסות,маскировать,verbs,3.0
26,סוכר,мед,nouns,1.5
27,לאשר,говорить,verbs,0.8
28,אמן,искусства,nouns,1.35
29,להינות,ненавидеть,verbs,0.2
30,תסכול,злость,nouns,2.55
31,מקצב,стих,nouns,1.75
32,ציוויליזציה,образ жизни,nouns,0.85
33,פגישה,пациент,nouns,0.7
34,סקי,сноуборд,nouns,2.45
35,מכונית,карета,nouns,1.45
36,בסיס,ступня,nouns,0.55
37,להקטין,пропитывать,verbs,0.25
38,חילוניות,религия,nouns,0.8
39,עיר,городок,nouns,3.4
40,שחקן כדורת,боулинг,nouns,2.45
41,שכר לימוד,стипендия,nouns,1.05
42,להפריך,разрешать,verbs,0.15
43,לחבק,душить,verbs,0.65
44,בעדינות,громко,adverbs,0.2
45,מטאטא,пыль,nouns,1.3
46,דלת,братство,nouns,0.0
47,להסביר,обсуждать,verbs,1.2
48,עצבני,беспокойный,adjectives,2.1
49,גמיש,крупный,adjectives,0.1
50,לנער,собирать,verbs,0.1
51,מטורף,сумасшедший,adjectives,5.15
52,ספורטאי,бегун,nouns,2.15
53,מוכר,хороший,adjectives,0.5
54,מוות,трагедия,nouns,2.15
55,חול,ступня,nouns,0.25
56,בשר,стейк,nouns,3.85
57,מזג אוויר,волна,nouns,0.55
58,בקול רם,тонко,adverbs,0.2
59,צינור,сад,nouns,1.0
60,מתוחכם,зрелый,adjectives,0.75
61,להיכחד,пропадать,verbs,4.95
62,לתפוס,выпускать,verbs,0.55
63,גיטרה,барабан,nouns,1.5
64,חום,грипп,nouns,1.3
65,בוודאי,благоразумно,adverbs,0.35
66,תחתית,верх,nouns,0.65
67,פופקורן,кино,nouns,1.05
68,סופר,читатель,nouns,1.0
69,כהונה,султан,nouns,0.55
70,כיכר,карта,nouns,0.8
71,פעמיים,множественный,adverbs,0.75
72,להסכים,принимать,verbs,2.55
73,לנשל,запускать,verbs,0.5
74,משוגע,счастливый,adjectives,0.5
75,הומופון,фотофон,nouns,0.6
76,ללכוד,брать,verbs,1.05
77,דת,секулярист,nouns,0.8
78,עסק,компания,nouns,3.4
79,מכונית,шланг,nouns,0.65
80,להשתתף,присоединяться,verbs,1.95
81,לקחת,получать,verbs,1.3
82,סוללה,театр,nouns,0.0
83,עצרת,сбор,nouns,4.7
84,אומלל,рассерженный,adjectives,0.7
85,דגנים,пшеница,nouns,3.0
86,לפגוע,оскорблять,verbs,3.4
87,ילד,взрослый,nouns,1.1
88,כומר,пророк,nouns,1.5
89,מוות,погребение,nouns,1.8
90,יוצר,создатель,nouns,4.65
91,דעה,выбор,nouns,1.2
92,יריב,противник,nouns,3.65
93,חוף,море,nouns,1.75
94,שפה,бедро,nouns,1.0
95,מנוע,поршень,nouns,1.75
96,פרופסור,студент,nouns,0.95
97,מונוקלטורה,сельское хозяйство,nouns,0.8
98,פרטי,общественный,adjectives,0.5
99,יקר ערך,священный,adjectives,2.2
100,לקפוא,дрожать,verbs,1.6
101,תלמיד,учащийся,nouns,5.3
102,חלון,дверь,nouns,1.05
103,ענק,большой,adjectives,4.65
104,חוף,пляж,nouns,2.75
105,להתעלם,распечатать,verbs,0.1
106,קריקט,сторонник,nouns,0.3
107,בשלווה,хаотично,adverbs,0.3
108,אישה,задача,nouns,0.0
109,מסודר,беспорядочный,verbs,0.5
110,מכונית,танк,nouns,1.45
111,סופר,композитор,nouns,1.35
112,מטרה,стрела,nouns,1.25
113,חזק,гордый,adjectives,0.65
114,לסמוך,провалиться,verbs,0.2
115,לקטוף,выбирать,verbs,0.6
116,וריד,желудок,nouns,0.7
117,רהיט,квартира,nouns,0.95
118,לסדר,нуждаться,verbs,0.15
119,פה,губа,nouns,1.35
120,מס,доход,nouns,0.95
121,מפה,площадь,nouns,0.8
122,צמד,чета,nouns,5.4
123,ביישן,дорогой,adjectives,0.05
124,בקר,йогурт,nouns,0.65
125,להסביר,доказывать,verbs,2.35
126,עמלה,платеж,nouns,3.45
