ID,HEB,SWA,PoS,score
1,יקר ערך,yenye thamani,adjectives,0.9
2,אחות,dada,nouns,2.3
3,מדען,muuguzi,nouns,0.4
4,לימון,chai,nouns,0.55
5,קסדה,helmeti,nouns,0.95
6,ללמד,kufundisha,verbs,2.7
7,שביר,baridi,adjectives,0.4
8,תותח,bunduki,nouns,2.2
9,מכשיר,chungu,nouns,0.8
10,כסף,mshahara,nouns,3.3
11,מטחנה,koboa,nouns,0.55
12,ילד,mazingira,nouns,0.0
13,לכווץ,kupunguza,verbs,3.3
14,ספר,taarifa,nouns,1.05
15,לחבר,kubandika,verbs,0.5
16,להתחיל,kutokana,verbs,1.2
17,מועמד,mshindi,nouns,1.15
18,תוקפני,kua na hasira,adjectives,0.1
19,כרגע,kwa sasa,adverbs,1.5
20,הסכם,makubaliano,nouns,5.25
21,פעמיים,mara mbili,adverbs,0.75
22,עדשה,kamera,nouns,2.05
23,למשוך,kuvutia,verbs,0.45
24,דיסק,kompyuta,nouns,0.75
25,מעולה,ana hasira,adjectives,0.3
26,דודה,mpwa,nouns,0.75
27,מעולה,mbaya,adjectives,0.5
28,מדהים,maradufu,adjectives,0.45
29,דרמטיטיס,ugonjwa wa ngozi,nouns,2.2
30,שרפרף,kigoda,nouns,3.2
31,הונאה,uhalifu,nouns,2.7
32,גג,dari,nouns,4.05
33,בירה,shampeni,nouns,2.55
34,חולצה,shati,nouns,1.9
35,בעדינות,kijanja,adverbs,0.2
36,מפתח,nyumba,nouns,1.05
37,להסית,kubagua,verbs,3.3
38,לנער,kutikisa,verbs,0.1
39,לנשל,kutelekeza,verbs,0.98
40,חופש,uhuru,nouns,0.45
41,נועז,wa kujivunia,adjectives,0.45
42,לעולם לא,kamwe,adverbs,0.0
43,מלוכלך,chafu,adjectives,0.6
44,הורה,baba,nouns,3.8
45,מכתב,aya,nouns,1.05
46,בדיל,tini,nouns,2.1
47,מנייה,akiba,nouns,2.95
48,אחוזה,nyumba,nouns,0.25
49,בטוח,bila shaka,adjectives,4.8
50,גרגיר,viungo,nouns,0.75
51,זרוע,kifundo,nouns,1.35
52,אפוקליפסה,siku ya mwisho,nouns,0.5
53,דם,uboho,nouns,1.0
54,בחירה,jela,nouns,0.45
55,גאה,mjasiri,adjectives,0.45
56,להפתיע,kushangaza,verbs,0.65
57,מעורבב,changanywa,adjectives,2.8
58,כעס,hali,nouns,0.4
59,אח,mvulana,nouns,2.65
60,שחר,bunduki,nouns,0.0
61,נחמד,mkorofi,adjectives,0.45
62,וקטור,vector,nouns,2.0
63,קרן,ngoma,nouns,0.55
64,אבא,mtoto wa kiume,nouns,1.25
65,בעיקרון,kimsingi,adverbs,0.55
66,לחלק,kuzidisha,verbs,0.85
67,בנחישות,kwa kidete,adverbs,0.2
68,מכונית,boti,nouns,1.15
69,צעצוע,kichezeo,nouns,0.75
70,מקלחת,shower,nouns,0.0
71,אלכוהול,brandi,nouns,2.75
72,ברור,wa kuona,adjectives,2.8
73,שלפוחית,malengelenge,nouns,0.0
74,רחב,mkubwa,adjectives,2.7
75,פקעת,ua,nouns,1.8
76,כיף,mpira wa miguu,nouns,0.85
77,לסדר,kuhitaji,verbs,0.25
78,ממתק,peremende,nouns,0.75
79,תמוה,si wa kawaida,adjectives,3.75
80,מצחיק,mwenye huzuni,adjectives,0.55
81,לשלוח,kuleta,verbs,0.6
82,ברנדי,kileo,nouns,2.75
83,להינשא,oa,verbs,3.1
84,מצלמה,kamera,nouns,0.0
85,קמפיין,kampeni,nouns,0.0
86,ג'ינס,jinzi,nouns,0.3
87,גלקסיה,giligili,nouns,0.75
88,לריב,kupigana,verbs,0.85
89,להקטין,kupungua,verbs,3.3
90,וריד,tumbo,nouns,0.5
91,רעיה,mwanamke,nouns,4.5
92,אחוה,wanaume,nouns,0.9
93,שפה,nyonga,nouns,0.75
94,מהומה,mgomo,nouns,0.1
95,פונולוגיה,fonolojia,nouns,0.3
96,שפה,mawasiliano,nouns,2.15
97,להאשים,kushtaki,verbs,2.0
98,לזהור,kumeremeta,verbs,3.8
99,זנב,sura,nouns,0.2
100,גיל,urembo,nouns,0.6
101,דעה קדומה,ubaguzi,nouns,2.4
102,עובד,mwajiri,nouns,1.05
103,כף,kikombe,nouns,1.1
104,יומן,kanuni,nouns,0.2
105,מלהיב,sisimsha,adjectives,0.45
106,בן,kijana,nouns,3.8
107,קרסול,mfupa,nouns,1.8
108,בניין,jengo,nouns,1.15
109,רוחני,kiroho,adjectives,1.3
110,חד,ncha kali,adjectives,0.45
111,יד,kifundo,nouns,1.1
112,לתת,kuiba,verbs,0.4
113,פסנתר,kinanda,nouns,0.5
114,סכום,jumla,nouns,2.15
115,פסיכולוגיה,sayansi,nouns,2.05
116,כומר,mungu,nouns,0.9
117,עניין,ufahamu,nouns,1.05
118,רמז,neno,nouns,0.55
119,טייפון,dhoruba,nouns,4.5
120,דרך,namna,nouns,4.6
121,ללבוש,kuvaa,verbs,0.2
122,לשוטט,kutangatanga,verbs,1.3
123,לאומי,kitaifa,adjectives,0.6
124,לעשות,kutukia,verbs,0.8
125,להשיג,kupata,verbs,2.3
126,להקשיב,kusikia,verbs,4.4
127,חכם,mpumbavu,adjectives,0.55
128,מתוק,tamu,adjectives,0.0
129,נמלה,nyuki,nouns,1.1
130,כיסא,kitanda,nouns,0.9
131,חסר צורה,kutobadilishwa,adjectives,0.15
132,להישאר,kudumisha,verbs,0.4
133,נורא,kwa ghadhabu,adverbs,0.85
134,משימה,njia kuu,nouns,0.1
135,טריק,mchezo,nouns,1.0
136,מנומס,sahihi,adjectives,0.5
137,לנצח,kutawala,verbs,1.15
138,להתכווץ,kukua,verbs,0.7
139,טיול,safari,nouns,3.85
140,צורה,njia,nouns,1.05
141,בנדיבות,kwa ukarmu,adverbs,0.15
142,כיסא,kiti,nouns,3.2
143,עגלה,gari la farasi,nouns,3.65
144,דלת,sela,nouns,0.45
145,לנשוך,kung'ata,verbs,0.75
146,חלון,mlango,nouns,1.3
147,שלב,kiwango,nouns,0.55
148,להציל,kuokoa,verbs,2.9
149,אקדח,watu,nouns,0.35
150,קולנוע,sinema,nouns,1.65
151,בשר,nyama,nouns,2.85
152,לפני,kabla,adverbs,0.55
153,כניסה,mlango wa kutoka,nouns,1.65
154,כאן,papa hapa,adverbs,2.2
155,מיטה,chumba,nouns,0.7
156,בקבוק,chupa,nouns,1.9
157,זנב,jabali,nouns,0.0
158,קובייה,mchemraba,nouns,0.75
159,טלסקופ,darubini,nouns,0.15
160,חקר דגלים,elimu ya bendera,nouns,1.3
161,לרצות,kuazima,verbs,0.4
162,תשלום,malipo,nouns,2.45
163,דלת,dirisha,nouns,1.3
164,מטומטם,adimu,adjectives,0.1
165,תאריך,siku ya kuzaliwa,nouns,1.5
166,ייחודי,ya pekee,adjectives,0.4
167,חומרה,kifaa,nouns,0.3
168,עץ,kuoga,nouns,0.1
169,קבל,capacitor,nouns,1.7
170,קערה,mkia,nouns,0.0
171,עורך דין,wakili,nouns,3.0
172,לקבוע,kutabiri,verbs,0.7
173,להתחנן,kuuliza,verbs,3.15
174,ייתכן,inawezekana,adverbs,1.0
175,לבחור,kuteua,verbs,0.1
176,לחלוטין,kiukamilifu,adverbs,1.2
177,מוח,damu,nouns,1.0
178,מרפק,mfupa,nouns,1.1
179,דלת,jiko,nouns,0.5
180,חצאית,sketi,nouns,0.25
181,חיבור,kitabu,nouns,1.1
182,גב,mwili,nouns,1.05
183,מזיק,wadudu,nouns,1.0
184,לפנות,kufukuza,verbs,0.75
185,זכות בחירה,haki ya upigaji kura,nouns,0.0
186,הופעה,utendaji,nouns,0.6
187,אחות,mwanasayansi,nouns,0.4
188,לשלוח,kupokea,verbs,0.6
189,נמרצות,kwa juhudi,adverbs,0.85
190,ללכוד,kamata,verbs,0.95
191,לאחרונה,hivi karibuni,adverbs,1.5
192,להתלונן,kugombana,verbs,1.45
193,באופן שולי,mara kwa mara,adverbs,0.6
194,פרטי,binafsi,adjectives,0.5
195,מרתף,mlango,nouns,0.45
196,מדריך טיולים,kitabu cha mwongozi,nouns,1.25
197,לקחת,kurithi,verbs,1.25
198,עין,chozi,nouns,1.45
199,יד,ukucha,nouns,0.8
200,צער,uchungu,nouns,3.0
201,אופן,njia,nouns,4.6
202,להשתתף,kusema,verbs,0.35
203,גשר,gari,nouns,0.45
204,אגודל,mkono,nouns,1.6
205,בוגר,kukomaa,adjectives,0.55
206,למה,lemma,nouns,0.9
207,להרוס,kuua,verbs,1.75
208,ביקורת,hoja,nouns,1.15
209,אלים,wa ghadhabu,adjectives,1.3
210,שמחה,bahati,nouns,0.65
211,בחשאי,kwa siri,adverbs,0.1
212,ראוי,rasmi,adjectives,1.2
213,סמל,ishara,nouns,4.3
214,לגרור,kuvuta,verbs,1.0
215,לקרוא,kufahamu,verbs,1.0
216,לגנוב,kuchukua,verbs,1.7
217,הון,hela,nouns,5.15
218,כותנה,pamba,nouns,0.75
219,בן,mvulana,nouns,4.3
220,תלמיד,mwanafunzi,nouns,3.05
221,סוכרוז,sukrosi,nouns,1.7
222,להגיע,kwenda,verbs,0.7
223,אצבע,kidole cha mguu,nouns,2.15
224,למות,kufariki,verbs,0.3
225,התחייבות,mkutano,nouns,0.65
226,להראות,kuwa,verbs,0.25
227,פאון,pembe zaidi ya sita,nouns,0.6
228,לגנות,laani,verbs,1.55
229,עושר,umasikini,nouns,0.65
230,עץ,gogo,nouns,2.3
231,אטום,kaboni,nouns,1.3
232,מנוע,mashine,nouns,2.95
233,עצוב,kasirika,adjectives,0.55
234,מחשב,cd,nouns,0.75
235,ביולוג,mbiolojia,nouns,0.8
236,להוכיח,kueleza,verbs,1.1
237,תנאי,makubaliano,nouns,0.75
238,לברוח,kutoroka,verbs,4.7
239,דינוזאור,mijusi ya kale,nouns,0.55
240,מדריך,mwalimu,nouns,4.05
241,לחם,unga,nouns,1.35
242,מכונית,lifti,nouns,0.75
243,זרוע,goti,nouns,0.95
244,ארכיאולוגיה,akiolojia,nouns,2.6
245,להפסיק,kufanya,verbs,0.4
246,חצי אי,peninsula,nouns,1.75
247,תחום,ukingo,nouns,4.2
248,מאוד,zaidi,adverbs,0.15
249,עצמי,hakika,nouns,0.5
250,מאה,pombe,nouns,0.0
251,ביישן,aibu,adjectives,0.6
252,שמן,ngozi,nouns,0.15
253,מאמן,kocha,nouns,1.25
254,גדול,mpana,adjectives,2.7
255,לא חוקי,haramu,adjectives,0.6
256,התרמה,mfadhili,nouns,0.85
257,חבוי,haijafichuliwa,adjectives,0.65
258,אינסוף,usio na mwisho,nouns,0.65
259,חד,kali,adjectives,0.45
260,לגנוב,kuiba,verbs,2.2
261,שמח,wa ghadhabu,adjectives,0.65
262,קמח,mkate,nouns,1.35
263,מיליונר,milionea,nouns,1.35
264,לשלב,kuchanganya,verbs,0.05
265,אדום,nyekundu,adjectives,1.05
266,באופן אמין,kwa kuaminika,adverbs,2.1
267,אלכוהול,jini,nouns,2.35
268,נוקשה,mdhaifu,adjectives,0.4
269,סירה,nanga,nouns,1.2
270,לכוון,kulenga,verbs,0.8
271,חדר שינה,tumbo,nouns,0.05
272,להרגיז,kusumbua,verbs,0.05
273,מעוקל,pinda,adjectives,4.85
274,עשור,karne,nouns,1.0
275,חולי,ugonjwa wa kuambukiza ,nouns,1.6
276,כאוס,mchafuko,nouns,4.55
277,תפוד,siagi,nouns,0.6
278,למכור,kuazima,verbs,0.7
279,באופן משמעותי,kwa maana,adverbs,2.4
280,ספר,dhima,nouns,0.5
281,כאוס,vurugu,nouns,0.1
282,חלב,juisi,nouns,1.05
283,בגדים,kitambaa,nouns,2.8
284,להתעלם,kuuliza,verbs,0.4
285,כיסא,kiti,nouns,0.15
286,אסטרואיד,kimondo,nouns,2.65
287,להפריע,kunyanyasa,verbs,1.65
288,עסוק,bizi,adjectives,0.45
289,חוט,uzi,nouns,0.0
290,רועש,yenye sauti,adjectives,0.25
291,מכונה,mashine,nouns,2.7
292,לדבר,kutamka,verbs,1.7
293,אשם,mbaya,adjectives,1.35
294,לערבב,kuchanganya,verbs,2.93
295,פרוטסטנט,protestanti,nouns,3.15
296,לעזור,saidia,verbs,1.15
297,היום,leo,adverbs,1.4
298,בושה,huzuni,nouns,0.8
299,לברוח,kuhepa,verbs,0.4
300,מטרייה,mwavuli,nouns,0.3
301,ים,bahari,nouns,1.1
302,למצוא,kupotea,verbs,0.6
303,לאסוף,kuchukua,verbs,0.1
304,דבש,asali,nouns,0.25
305,מצפן,dira,nouns,0.0
306,אישה,mke,nouns,4.5
307,שיניים,mfupa,nouns,0.9
308,עצם,akili,nouns,0.5
309,להיווצר,kuanza,verbs,1.2
310,מבולגן,kutopangilia,verbs,0.5
311,רגש,hamu,nouns,2.95
312,אריה,paka,nouns,1.35
313,מערכת,mfumo,nouns,0.2
314,מוסר,adili,nouns,0.15
315,להתנהג,kutii,verbs,1.5
316,גיהנום,purigatori,nouns,1.7
317,תרנגולת,batamzinga,nouns,1.25
318,באושר,kwa furaha,adverbs,0.15
319,דם,damu,nouns,0.7
320,באופן אחראי,kwa kuwajibika,adverbs,2.1
321,להרוג,ua,verbs,0.6
322,בקלות,kiurahisi,adverbs,0.2
323,מחלבה,maziwa,nouns,0.25
324,גוף,tumbo,nouns,1.35
325,מכונית,mtaa,nouns,0.55
326,רב,mwalimu,nouns,1.8
327,שלג,theluji,nouns,3.3
328,ילד,mtoto wa kiume,nouns,4.3
329,חדש,wa kale,adjectives,0.6
330,לרוץ,kimbia,verbs,0.5
331,שונית,ufuko,nouns,1.3
332,עבודת יד,kazi za mikono,nouns,0.55
333,ראש,mguu,nouns,0.7
334,מצוין,mbaya,adjectives,0.3
335,אשם,mkweli,adjectives,0.4
336,משאית,gari la mzigo,nouns,0.35
337,בדיוק,kwa usahihi,adverbs,0.5
338,הקפת כדור הארץ,mzunguko,nouns,0.1
339,ליפול,kuanguka,verbs,1.0
340,בייקון,chakula cha asubuhi,nouns,1.1
341,דיודה,diode,nouns,1.7
342,דביק,kunata,adjectives,0.6
343,פרק,mkia,nouns,0.2
344,סוסה,farasi,nouns,3.65
345,לקבל,kubaki,verbs,0.45
346,זנב,bakuli,nouns,0.0
347,קודם,antecedent,nouns,1.7
348,לאסור,kukataza,verbs,2.1
349,פרקליט,wakili,nouns,4.75
350,אי,jukumu,nouns,0.0
351,בחור,rafiki,nouns,1.05
352,לחי,ulimi,nouns,0.85
353,ראש,msumari,nouns,0.45
354,לבחור,kutaka,verbs,1.05
355,לאומי,kitaifa,adjectives,0.4
356,לחרוק,kuteketa,verbs,0.25
357,מקור,chanzo,nouns,0.0
358,חלון,dirisha,nouns,0.3
359,מותן,tumbo,nouns,0.95
360,רעיה,kuoga,nouns,0.05
361,להתעורר,kuamka,verbs,0.5
362,מסע,ushindi,nouns,0.7
363,לעזוב,kubaki,verbs,0.55
364,יען,mbuni,nouns,0.1
365,להסיק,kuamua,verbs,0.85
366,לשכוח,kusamehe,verbs,1.2
367,מרווח,uwazi,nouns,3.05
368,מבושל,pikwa,adjectives,3.6
369,מד,gari,nouns,0.45
370,לפעמים,mara nyingine,adverbs,1.3
371,ספרה,tarakimu,nouns,5.4
372,לאחר מכן,baadae,adverbs,0.35
373,משימה,mwanamke,nouns,0.05
374,מאה,miaka kumi,nouns,1.0
375,לבעוט,kupiga,verbs,0.7
376,להשיג,kufanikiwa,verbs,2.45
377,מנצח,lengo,nouns,0.55
378,מטבח,mlango,nouns,0.5
379,אמונה,ono,nouns,0.6
