ID,POL,RUS,PoS,score
1,wydawać się,становиться,verbs,0.85
2,kolano,кость,nouns,1.3
3,kamera,продолжение,nouns,0.0
4,robić,происходить,verbs,1.2
5,może,наверное,adverbs,4.2
6,zdolność,компетенция,nouns,3.1
7,zaciskać,схватывать,verbs,0.7
8,pistolet,народ,nouns,0.05
9,ogłaszać,провозглашать,verbs,4.95
10,faktoryzacja,разложение,nouns,1.15
11,brzeg morski,пляж,nouns,3.15
12,sztuczny,фальшивый,adjectives,4.15
13,hematologia,патология,nouns,0.35
14,koniecznie,практически,adverbs,0.95
15,papier,картон,nouns,3.15
16,pobieżnie,грубо,adverbs,0.45
17,klon,дерево,nouns,2.9
18,drzwi,коридор,nouns,0.45
19,zabawa,футбол,nouns,1.15
20,ramię,запястье,nouns,1.15
21,słoik,бутылка,nouns,1.25
22,dostać,назначать,verbs,0.15
23,cenzura,свобода,nouns,0.35
24,czytać,понимать,verbs,0.85
25,autor,читатель,nouns,0.4
26,chmura,дымка,nouns,1.95
27,konkludować,решать,verbs,1.6
28,policzek,язык,nouns,0.8
29,pojawić się,покидать,verbs,0.3
30,samochód,гудок,nouns,0.55
31,grawitacja,метеор,nouns,0.25
32,kłaść,получать,verbs,0.15
33,polano,дерево,nouns,3.95
34,zespół,парад,nouns,0.6
35,dżinsy,женщина,nouns,0.15
36,gałęź,рука,nouns,0.25
37,kompozytor,писатель,nouns,0.75
38,dostać,терять,verbs,0.0
39,mianować,избирать,verbs,0.95
40,morze,дельта,nouns,0.55
41,północ,юг,nouns,0.3
42,zapominać,знать,verbs,0.05
43,spotykać,покидать,verbs,0.0
44,kurz,метла,nouns,0.75
45,dowód,факт,nouns,3.45
46,kurczak,рис,nouns,0.35
47,robotnik,механик,nouns,2.0
48,klon,дуб,nouns,1.3
49,uwalniać,нажимать,verbs,0.0
50,śmierć,бедствие,nouns,1.6
51,monitor,экран,nouns,4.8
52,rytm,мелодия,nouns,2.55
53,świetny,плохой,adjectives,0.0
54,ilustracja,волдырь,nouns,0.0
55,piosenka ,баллада,nouns,3.65
56,kupować,воровать,verbs,0.0
57,fleksja,инфекция,nouns,0.05
58,klucz,дом,nouns,0.5
59,kino,опера,nouns,0.85
60,zgromadzenie,собрание,nouns,5.1
61,martwić,тратить,verbs,0.0
62,ignorować,распечатать,verbs,0.0
63,miód,сахар,nouns,0.8
64,niewiarygodnie,значительно,adverbs,0.7
65,grzesznik,святой,nouns,0.15
66,rysować,создавать,verbs,1.4
67,swobodnie,легко,adverbs,2.0
68,wielkość,размер,nouns,4.95
69,zezwalać,опровергать,verbs,0.05
70,wygrać,доминировать,verbs,1.9
71,brudny,дешевый,adjectives,0.05
72,płakać,рыдать,verbs,4.6
73,jaszczurka,правительство,nouns,0.0
74,podbój,битва,nouns,2.25
75,warunek,мальчик,nouns,0.0
76,swoboda,свобода,nouns,5.55
77,uczestniczyć,присоединяться,verbs,1.75
78,alkohol,бренди,nouns,2.75
79,nerw,тело,nouns,0.5
80,bęben,рожок,nouns,0.6
81,trzcina cukrowa,комбайн,nouns,0.15
82,chłopiec,состояние,nouns,0.0
83,schorzenie,жар,nouns,1.35
84,pisać,строчить,verbs,2.4
85,kinematografia,режиссер,nouns,1.15
86,weekend,неделя,nouns,0.75
87,frytki,курсор,nouns,0.1
88,pistolet,мех,nouns,0.05
89,chleb,мука,nouns,0.95
90,potknąć się,падать,verbs,1.55
91,aktor,певец,nouns,0.65
92,uczeń,президент,nouns,0.15
93,dumny,сильный,adjectives,0.9
94,cynk,золото,nouns,0.35
95,kotwica,лодка,nouns,0.95
96,symbol,код,nouns,1.55
97,mięso,кровь,nouns,0.9
98,wąski,тонкий,adjectives,2.8
99,szczęśliwy,рассерженный,adjectives,0.05
