ID,POL,SWA,PoS,score
1,otrzymywać,kupokea,verbs,1.7
2,prosty,nyooka,adjectives,0.1
3,gniewny,mkali,adjectives,0.15
4,gwałtowny,wa ghadhabu,adjectives,1.85
5,szalony,ana kichaa,adjectives,5.4
6,planeta,sayari,nouns,2.7
7,czekolada,keki,nouns,0.65
8,automobil,motokaa,nouns,5.6
9,słoma,mke,nouns,0.0
10,aparat,mfanyakazi,nouns,0.15
11,łazienka,jiko,nouns,0.4
12,wstępniak,uhariri,nouns,0.85
13,łatwo,kirahisi,adverbs,3.05
14,ryż,kuku,nouns,0.15
15,krzywa,pembe,nouns,1.05
16,przestępca,mkosaji,nouns,5.15
17,dusić,kupumua,verbs,0.05
18,argument,mapatano,nouns,0.25
19,klucz,nyumba,nouns,0.5
20,niesprawiedliwy,jeuri,adjectives,2.05
21,drewno,mbao,nouns,0.1
22,katastrofa,kifo,nouns,1.85
23,książka,kitabu,nouns,0.0
24,bezdomny,wasio na makazi,nouns,0.0
25,nieskończoność,usio na mwisho,nouns,0.3
26,dodawać,kuunda,verbs,0.55
27,poważnie,kwa umakini,adverbs,2.85
28,faktoryzacja,sababu,nouns,0.5
29,bractwo,mlango,nouns,0.05
30,deputowany,msaidizi,nouns,1.05
31,zęby,meno,nouns,0.0
32,ryż,mvulana,nouns,0.0
33,infekcja,maambukizo,nouns,0.8
34,sos,matofaa,nouns,0.1
35,uporządkowany,kwa mpangilio,adjectives,0.0
36,anarchia,vurugu,nouns,4.65
37,czekać,kusubiri,verbs,1.8
38,kość,misuli,nouns,0.3
39,pistolet,manyoya,nouns,0.0
40,zero,sufuri,nouns,0.3
41,uznawać,kuzungumza,verbs,0.35
42,kurczak,chakula cha usiku,nouns,0.45
43,pogoda,hali ya hewa,nouns,0.45
44,żona,majani makavu,nouns,0.0
45,maska,maski,nouns,0.3
46,rzeczywistość,ndoto,nouns,0.05
47,wstrzymać się,kusubiri,verbs,5.5
48,prosty,rahisi,adjectives,5.25
49,zależeć,kuhitaji,verbs,1.15
50,cesarz,mtawala,nouns,0.15
51,koza,ngombe,nouns,0.8
52,dar,zawadi,nouns,0.0
53,ramię,bega,nouns,2.8
