ID,RUS,YUE,PoS,score
1,информация,報紙,nouns,2.42
2,флейта,音樂,nouns,1.23
3,свитер,棉,nouns,0.68
4,ванна,房間,nouns,1.02
5,контейнер,四輪貨運馬車,nouns,0.1
6,с гордостью,和平地,adverbs,0.28
7,преследовать,嚇,verbs,0.39
8,обычно,異常地,adverbs,0.0
9,странно,不同的,adverbs,0.79
10,ритм,算術,nouns,0.1
11,информация,書,nouns,1.2
12,график,圖表,nouns,3.35
13,замок,鎖匙,nouns,0.95
14,галакси,應用程式,nouns,0.3
15,охотиться,搜索,verbs,1.11
16,аппара́тное обеспече́ние,案件,nouns,0.24
17,принцесса,餅乾,nouns,0.0
18,трамвай,火車,nouns,2.27
19,реалистично,理想地,adverbs,0.24
20,бить,鞭打,verbs,0.46
21,одеяло,木,nouns,0.0
22,приблизительно,粗糙地,adverbs,0.97
23,всегда,兩次,adverbs,0.18
24,музей,薄荷,nouns,0.04
25,циклон,颱風,nouns,3.29
26,мебель,公寓,nouns,0.63
27,гордость,喜悅,nouns,1.93
28,новый,新鮮,adjectives,3.02
29,тычинка,授粉,nouns,1.1
30,лодыжка,窗口,nouns,0.09
31,продавать,走,verbs,0.45
32,подвал,門,nouns,0.39
33,пальто,衣服,nouns,1.98
34,бесформенный,制服,adjectives,0.0
35,испуганный,不肯定,adjectives,0.93
36,объединяться,獲得,verbs,0.1
37,полиэстер,棉,nouns,0.38
38,автомобиль,高速公路,nouns,1.01
39,диаграмма,圖解,nouns,3.35
40,базилика,馬賽克,nouns,0.15
41,плакат,紙,nouns,2.23
42,явно,肯定地,adverbs,3.49
43,смертельно,高高興興地,adverbs,0.15
44,пол,天花板,nouns,0.48
45,выигрывать,統治,verbs,1.07
46,иссохший,飢餓,adjectives,1.59
47,оптимистически,可能,adverbs,0.63
48,спиртное,世紀,nouns,0.04
49,актер,多面體,nouns,0.28
50,трапеза,晚飯,nouns,2.96
51,локально,緊密地,adverbs,0.1
52,операция,心臟,nouns,0.77
53,море,河流,nouns,1.49
54,информация,熵,nouns,0.14
55,оставаться,得到,verbs,0.55
56,автомобиль,橋,nouns,0.34
57,вена,手臂,nouns,0.49
58,башня,鐘,nouns,0.58
59,шланг,花園,nouns,0.45
60,нервно,焦急地,adverbs,3.19
61,молиться,溝通,verbs,0.29
62,тупой,聰明,adjectives,0.2
63,поднимать,運輸,verbs,0.78
64,зуб,嘴巴,nouns,0.77
65,общаться,祈禱,verbs,0.29
66,облако,霧,nouns,1.35
67,анархия,混亂,nouns,3.84
68,яблоко,飲食,nouns,0.57
69,чистый,亂,adjectives,0.09
70,кроватка,床,nouns,4.08
71,отходить,離開,verbs,3.3
72,управление,老鼠,nouns,0.39
73,равномерно,有時,adverbs,0.1
74,бойко,成熟,adverbs,0.29
75,странно,異常,adverbs,3.4
76,великолепный,壞,adjectives,0.04
77,наливать,滴,verbs,0.46
78,бихевиоризм,治療,nouns,0.25
79,храпеть,醒覺,verbs,0.15
80,срочно,迅速地,adverbs,3.71
81,в принципе,充分,adverbs,0.67
82,гелий,空氣,nouns,1.12
83,погода,雲,nouns,0.72
84,хотеть,借,verbs,0.09
85,лгать,否認,verbs,0.78
86,редко,平時,adverbs,0.04
87,подчиниться,懲罰,verbs,0.24
88,защищать,防御,verbs,3.77
89,выдающийся,棒,adjectives,4.14
90,обязательно,實質上,adverbs,0.72
91,век,十年,nouns,0.7
92,свободный,靈活,adjectives,0.95
93,доставлять,攞,verbs,0.7
94,обнаруживать,探索,verbs,2.51
95,акции,資產,nouns,2.74
96,расслабленный,強調,adjectives,0.23
97,подражать,捕獲,verbs,0.0
98,болезнь,發燒,nouns,1.83
99,изучать,發現,verbs,2.51
100,спасти,淹,verbs,0.1
101,обычный,冷,adjectives,0.0
102,факультет,法律,nouns,0.58
103,равнодушный,粗暴,adjectives,0.1
104,полицейский,政治家,nouns,0.15
105,сообразительный,笨,adjectives,0.2
106,нож,槍,nouns,1.5
107,друг,傢伙,nouns,1.26
108,банкир,律師,nouns,1.27
109,рис,豆,nouns,0.57
110,доставлять,接受,verbs,0.1
111,сезон,冬天,nouns,2.03
112,священный,珍貴,adjectives,1.74
113,дверь,走廊,nouns,0.53
114,голова,腳,nouns,0.43
115,серия,插曲,nouns,1.3
116,юбилей,年,nouns,1.16
117,повидло,蘋果,nouns,0.68
118,высказываться,參與,verbs,0.3
119,погребение,死亡,nouns,1.93
120,мишень,箭頭,nouns,1.0
121,давать,斷絕父子關係,verbs,0.04
122,сын,父親,nouns,1.45
123,честно говоря,真誠地,adverbs,4.29
124,искать,狩獵,verbs,1.11
125,бумага,硬紙板,nouns,2.67
126,посещать,來,verbs,2.56
127,делать,戒除,verbs,0.15
128,овца,牛,nouns,2.56
129,активно,被動地,adverbs,0.1
130,лимон,茶,nouns,0.58
131,бог,父親,nouns,0.74
132,беспорядочный,井然有序,adjectives,0.24
133,боб,煙肉,nouns,0.1
134,бежать,騎,verbs,0.29
135,мяч,手套,nouns,0.14
136,звук,聲學,nouns,3.13
137,забывать,知道,verbs,0.1
138,преуспевать,節約,verbs,0.0
139,тело,神經,nouns,0.57
140,недавно,現實地,adverbs,0.32
141,прямой,彎曲,adjectives,0.18
142,кровь,身體,nouns,0.81
143,вода,乾旱,nouns,0.25
144,табуретка,椅子,nouns,3.63
145,белок,柄,nouns,0.04
146,старый,新,adjectives,0.09
147,ненормальный,正常,adjectives,0.14
148,зубы,骨頭,nouns,1.65
149,вирус,血液,nouns,0.68
150,обвинять,蔑視,verbs,0.15
151,салат,醋,nouns,0.53
152,тема,主題標籤,nouns,3.27
153,сок,匙羹,nouns,0.33
154,чашка,罐子,nouns,1.69
155,солдат,男孩,nouns,1.04
156,мука,麵包,nouns,0.97
157,вопить,拗撬,verbs,0.34
158,внимательно,危險地,adverbs,0.19
159,карта,橋,nouns,0.5
160,нажимать,放開,verbs,0.09
161,задыхаться,呼吸,verbs,0.61
162,скромный,純,adjectives,0.34
163,пристыженный,幸運,adjectives,0.04
164,рассвет,槍,nouns,0.0
165,пристуствие,缺席,nouns,0.34
166,наказать,教,verbs,0.23
167,дерево,原木,nouns,3.97
168,ситуация,狀態,nouns,2.97
169,шквал,風,nouns,3.42
170,выселять,空出,verbs,0.54
171,драгоценный,神聖,adjectives,1.74
172,приличный,有禮貌,adjectives,2.94
173,специально,有意義地,adverbs,0.6
174,берег,海岸,nouns,3.34
175,потолок,地板,nouns,0.48
176,бедствие,死亡,nouns,1.2
177,зерно,芥末,nouns,1.25
178,пол,屋頂,nouns,0.43
179,дважды,一次,adverbs,0.14
180,тонко,冷靜地,adverbs,0.46
181,слушать,明白,verbs,0.39
182,камера,續集,nouns,0.04
183,море,海嘯,nouns,1.31
184,задача,高速公路,nouns,0.1
185,отговаривать,鼓勵,verbs,0.05
186,крикет,支持者,nouns,0.04
187,монастырь,沖涼,nouns,0.0
188,напряжённый,輕鬆,adjectives,0.23
189,другой,相反,adjectives,0.69
190,прекращать,開始,verbs,0.1
191,компьютер,機器,nouns,2.02
192,талия,一餐,nouns,0.0
193,спор,批評,nouns,1.73
194,конденсатор,二極管,nouns,1.93
195,остров,海灘,nouns,0.76
196,агрессивный,柔軟,adjectives,0.0
197,история,歌曲,nouns,0.29
198,преступление,攻擊,nouns,0.71
199,бить,混合,verbs,0.05
200,ехать,停,verbs,0.1
201,верование,概念,nouns,1.15
202,риф,海灘,nouns,0.58
203,пруток,籠子,nouns,0.23
204,автомобиль,電梯,nouns,0.49
205,большой,重,adjectives,1.17
