ID,SPA,SWA,PoS,score
1,estúpido,mpumbavu,adjectives,4.65
2,años,urembo,nouns,0.35
3,escultor,sonara,nouns,0.35
4,comida,chakula,nouns,0.05
5,lector,mtunzi,nouns,0.5
6,bicicleta,chumba cha kulala,nouns,0.15
7,estrecho,nyembamba,adjectives,2.17
8,libro,insha,nouns,1.0
9,behaviorismo,somo la tabia,nouns,0.6
10,determinar,kutabiri,verbs,1.0
11,virus,kirusi,nouns,0.85
12,comida,chakula cha usiku,nouns,3.8
13,vexilología,elimu ya bendera,nouns,1.2
14,coche,baisikeli,nouns,0.75
15,empatar,kuvunga,verbs,0.1
16,aumentar,kulea,verbs,0.0
17,antes de,kabla,adverbs,0.1
18,herméticamente,kwa mkazo,adverbs,0.5
19,carbohidrato,wanga,nouns,1.55
20,emoción,hamu,nouns,2.95
21,discrepar,kataa,verbs,0.5
22,caso,kesi,nouns,0.17
23,aparente,wazi,adjectives,4.35
24,cuota,malipo,nouns,4.45
25,estrecho,mpana,adjectives,0.15
26,seguro,lindwa,adjectives,0.05
27,carne,ugali,nouns,0.65
28,niño,mazingira,nouns,0.05
29,comunicación,televisheni,nouns,1.5
30,segundo,dakika,nouns,2.65
31,banda,gwaride,nouns,2.0
32,libertad,uhuru,nouns,0.17
33,apertura,kufungua,nouns,2.75
34,inmoral,mbaya,adjectives,2.4
35,colegio,sheria,nouns,0.45
36,levantar,nyanyua,verbs,0.3
37,abogado,mfanyakazi wa benki,nouns,0.95
38,avena,ngano,nouns,0.35
39,privado,faragha,adjectives,3.65
40,mentir,kudanganya,verbs,0.42
41,intención,nia,nouns,1.6
42,crear,kutengeneza,verbs,1.65
43,ensalada,siki,nouns,0.65
44,dividir,kugawanya,verbs,0.25
45,precisamente,kwa usahihi,adverbs,0.38
46,menta,mti wa minti,nouns,0.05
47,miel,sukari,nouns,2.0
48,cierto,uhakika,adjectives,0.05
49,unirse,kukuunga,verbs,0.25
50,cubierta,boti,nouns,0.7
51,marco,fremu,nouns,0.15
52,nacional,kitaifa,adjectives,0.2
53,imposible,kutowekana,adjectives,0.2
54,trigo,nafaka,nouns,2.1
55,detener,kuacha,verbs,0.32
56,visado,mhuri,nouns,0.45
57,aplicación,programu tumishi,nouns,0.1
58,cordero,kondoo,nouns,3.8
59,chisme,habari,nouns,1.6
60,sol,matofaa,nouns,0.3
61,unirse,kushiriki,verbs,3.65
62,melodía,muziki,nouns,4.3
63,eléctrico,chenye umeme,adjectives,0.6
64,dar,kukana,verbs,0.1
65,abeja,malkia,nouns,0.5
66,aleación,aloyi,nouns,1.15
67,cárcel,funga,nouns,0.95
68,organizar,kuwa,verbs,0.2
69,poliedro,pembe zaidi ya sita,nouns,0.0
70,impaciente,ana wasiwasi,adjectives,4.4
71,manzana,sosi,nouns,0.35
72,salir,kufika,verbs,0.25
73,asistir,kujitokeza,verbs,3.15
74,pedir,kusali,verbs,1.0
75,sargento,mjeshi,nouns,0.7
76,tobillo,kiwiko,nouns,0.5
77,béisbol,undugu,nouns,0.15
78,pollo,chakula cha usiku,nouns,1.05
79,presidente,kamera,nouns,0.45
80,entropía,kuzorota,nouns,0.4
81,hervir,kuchemsha,verbs,0.9
82,actor,mwimbaji,nouns,0.65
83,preocuparse,kuwa na wasiwasi,verbs,0.05
84,inferior,kushusha,verbs,1.5
85,plato,bakuli,nouns,2.75
86,enfermedad,saratani,nouns,3.25
87,ratón,menejimenti,nouns,0.0
88,lente,kamera,nouns,2.3
89,entender,kusikiliza,verbs,0.85
90,matar,kukaba,verbs,0.65
91,antiguo,mpya,adjectives,0.2
92,biotopo,ekolojia,nouns,0.8
93,agudo,kali,adjectives,0.25
94,soldado,mvulana,nouns,0.3
