ID,SWA,YUE,PoS,score
1,mgomo,暴動,nouns,0.04
2,kuridhisha,理解,verbs,0.0
3,imara,容易,adjectives,0.23
4,mchoro,藝術品,nouns,0.81
5,kiitiko,合唱,nouns,0.46
6,umbali,距離,nouns,0.28
7,chumba,單身牢房,nouns,0.53
8,mpumbavu,聰明,adjectives,0.1
9,kukupiga ngumi,用拳猛擊,verbs,0.47
10,mazoezi,體操,nouns,0.28
11,kupungua,成長,verbs,0.05
12,medali,獎章,nouns,0.34
13,kuvuta,運輸,verbs,0.47
14,mjuzi,公爵,nouns,0.18
15,siku ya kuzaliwa,年,nouns,0.71
16,kutobadilishwa,未成形,adjectives,0.05
17,uhalisi,幻想,nouns,0.41
18,kutakata,扼殺,verbs,0.23
19,gari,橋,nouns,0.18
20,kudhani,假扮,verbs,0.33
21,bunduki,毛,nouns,0.04
22,hadithi,書,nouns,2.4
23,kuhitaji,查詢,verbs,0.1
24,mwigaji,演員,nouns,0.47
25,kuepa,拒絕,verbs,0.79
26,umekua,長大,adjectives,0.04
27,inawezekana,可能,adverbs,0.78
28,nyumba ya nyumbani,同音詞,nouns,0.0
29,kufinya macho,瞇,verbs,0.2
30,chuma,維他命,nouns,0.14
31,porojo,新聞,nouns,1.01
32,bingwa,優勝者,nouns,4.78
33,ujinga,智力,nouns,0.24
34,saizi,一分錢,nouns,0.1
35,baji,徽章,nouns,0.09
36,kwa umaradufu,難以置信地,adverbs,0.69
37,pilipili,辣,adjectives,0.04
38,msichana,女傭,nouns,0.57
39,utandawazi,全球化,nouns,0.23
40,makao,棚屋,nouns,0.63
41,kifaa,硬件,nouns,0.14
42,zaidi,非常,adverbs,0.5
43,kukosa,未打中,verbs,0.04
44,kugongana,撞擊,verbs,3.89
45,mwanaume,女人,nouns,0.57
46,kukutana,聚集,verbs,1.41
47,shimo,隧道,nouns,0.41
48,mvulana,兒童,nouns,1.64
49,neno,報紙,nouns,0.6
50,hospitali,床,nouns,0.34
51,fikra,信念,nouns,0.95
52,bustani,軟管,nouns,0.1
53,mfalme,國王,nouns,4.53
54,kuoga,緊張,adjectives,0.04
55,bowling,保齡球,nouns,2.06
56,wadudu,蟲害,nouns,0.77
57,sarafu,硬幣,nouns,0.88
58,sintaksia,句法,nouns,0.63
59,hakimu,裁判官,nouns,4.64
60,kwa uhai,積極地,adverbs,0.04
61,seneti,參議院,nouns,0.85
62,uzio,擊劍,nouns,0.28
63,mtoto wa kike,父親,nouns,0.42
